,id_db_flocks,flock_id,elevation,species,ind_per_sp,sex,foraging_height_max,foraging_height_min,vocalization,color_band,num_species,num_ind,flock_type,flock_type_ref,flock_type_cat,location,trail,coordinates,weather_cloudy,forest_type,habitat,mean_canopy_H,num_trees,num_sm_steam,num_lg_steam,vain_vol,bamb_vol,canopy_cover,epiphyte_perc,record,day,month,year,time,method,taxon_order_SACC,family,species_clean,species_taxonomy_SACC_2021,action_taxonomy,notes_taxonomy,database_decision
1,887,FF106,2542,Ampelion rubrocristatus,2,UK,NA,NA,Y,NA,4,10,3,5,MontaneHigh_subcanopy,Wayqecha,Oso,NA,20,Cloud forest,Cloud forest,14,10,20,6,0,0,40,20,NA,24,10,2014,9:00,flock_obs,358,Cotingidae,Ampelion rubrocristatus,Ampelion rubrocristatus,NC,NA,include
2,2056,F135,2534,Ampelion rubrocristatus,1,NA,NA,NA,NA,NA,16,29,3,5,MontaneHigh_subcanopy,Wayqecha,Trocha Oso,NA,100,Cloud forest,Disturbed primary forest,14,24,52,15,0,0,70,NA,NA,18,10,2013,9:40,flock_obs,358,Cotingidae,Ampelion rubrocristatus,Ampelion rubrocristatus,NC,NA,include
3,5,FF001,1288,Anabacerthia striaticollis,1,UK,3,2.5,N,NA,5,9,2,4,Montane_subcanopy,San Pedro,Loop,"S13<8d> 03' 29.8"" W71<8d> 32' 52.8""",70,Montane rainforest,Disturbed primary forest,18,15,23,30,15,NA,NA,NA,NA,9,9,2014,8:42,flock_obs,320,Furnariidae,Anabacerthia striaticollis,Anabacerthia striaticollis,NC,NA,include
4,46,FF005,1428,Anabacerthia striaticollis,1,UK,8,8,Y,NA,19,36,2,4,Montane_subcanopy,San Pedro,Carretera arriba,NA,70,Montane rainforest,Primary forest,19,26,16,31,15,40,50,NA,"Folder1 (R1, R2)",11,9,2014,7:40,flock_obs,320,Furnariidae,Anabacerthia striaticollis,Anabacerthia striaticollis,NC,NA,include
5,158,FF014,1721,Anabacerthia striaticollis,1,UK,4,4,NA,NA,11,21,2,4,Montane_subcanopy,San Pedro,Carretera arriba,NA,90,Montane rainforest,Disturbed primary forest,25,15,15,30,20,10,40,NA,"Folder 1(R12, 13,14)",13,9,2014,18:50,flock_obs,320,Furnariidae,Anabacerthia striaticollis,Anabacerthia striaticollis,NC,NA,include
6,283,FF026,1355,Anabacerthia striaticollis,1,UK,6,6,N,NA,13,24,2,4,Montane_subcanopy,San Pedro,Carretera abajo,NA,100,Montane rainforest,Disturbed primary forest,17,28,30,18,5,40,0,0,Folder 1(R38),21,9,2014,10:00,flock_obs,320,Furnariidae,Anabacerthia striaticollis,Anabacerthia striaticollis,NC,NA,include
7,296,FF028,1345,Anabacerthia striaticollis,3,UK,8,4,Y,NA,6,14,2,4,Montane_subcanopy,San Pedro,Trocha maldita,NA,100,Montane rainforest,Disturbed primary forest,24,28,29,17,10,50,5,5,NA,23,9,2014,16:00,flock_obs,320,Furnariidae,Anabacerthia striaticollis,Anabacerthia striaticollis,NC,NA,include
8,913,F002,1267,Anabacerthia striaticollis,1,UK,6,6,N,NA,6,9,2,4,Montane_subcanopy,San Pedro,River,S13 03.255 W71 32.299,90,Montane rainforest,Disturbed primary forest,14,52,25,18,5,50,10,NA,N,12,7,2013,9:45,flock_obs,320,Furnariidae,Anabacerthia striaticollis,Anabacerthia striaticollis,NC,NA,include
9,931,F003,1390,Anabacerthia striaticollis,1,UK,NA,NA,N,NA,20,36,2,4,Montane_subcanopy,San Pedro,Road up,S13 03.571 W71 33.065,80,Montane rainforest,Disturbed primary forest,12,33,145,19,15,10,60,NA,July 14 (F10/02),12,7,2013,15:55,flock_obs,320,Furnariidae,Anabacerthia striaticollis,Anabacerthia striaticollis,NC,NA,include
10,975,F006,1320,Anabacerthia striaticollis,1,UK,14,14,N,NA,16,22,2,4,Montane_subcanopy,San Pedro,Garrocha,S13 03.351 W71 32.403,100,Montane rainforest,Disturbed primary forest,16,22,56,34,10,0,60,NA,F10/29,30,7,2013,7:00,flock_obs,320,Furnariidae,Anabacerthia striaticollis,Anabacerthia striaticollis,NC,NA,include
