species,species1,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.5Cat,TrophicNiche,ForagingNiche,,
Aglaiocercus kingii,Aglaiocercus kingi,10,0,0,0,0,0,0,90,0,0,FruiNect,Nectarivore,Nectarivore aerial,,
Akletos goeldii,Myrmeciza goeldii,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Amazona mercenarius,Amazona mercenaria,0,0,0,0,0,0,60,0,30,10,FruiNect,Frugivore,Fugivore glean,,
Anabacerthia ruficaudata,Philydor ruficaudatum,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Aramides cajaneus,Aramides cajanea,50,0,20,0,0,0,10,0,10,10,Omnivore,Aquatic predator,Aquatic ground,,
Asthenes helleri,Schizoeaca helleri,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Aulacorhynchus albivitta,Aulacorhynchus prasinus,30,0,0,0,10,0,50,0,0,10,Omnivore,Frugivore,Fugivore glean,,
Automolus subulatus,Hyloctistes subulatus,80,0,20,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Buteogallus solitarius,Harpyhaliaetus solitarius,0,10,90,0,0,0,0,0,0,0,VertFishScav,Vertivore,Vertivore perch,,
Cacicus oseryi,Clypicterus oseryi,60,0,0,0,0,0,40,0,0,0,Invertebrate,Omnivore,Omnivore,,
Catharus maculatus,Catharus dryas,60,0,0,0,0,0,40,0,0,0,Invertebrate,Invertivore,Invertivore ground,,
Ceratopipra chloromeros,Pipra chloromeros,20,0,0,0,0,0,80,0,0,0,FruiNect,Frugivore,Fugivore aerial,,
Ceratopipra rubrocapilla,Pipra rubrocapilla,20,0,0,0,0,0,80,0,0,0,FruiNect,Frugivore,Fugivore aerial,,
Cercomacroides nigrescens,Cercomacra nigrescens,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Cercomacroides serva,Cercomacra serva,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Chalcothraupis ruficervix,Tangara ruficervix,50,0,0,0,0,0,50,0,0,0,Omnivore,Frugivore,Fugivore glean,,
Chionomesa lactea,Amazilia lactea,10,0,0,0,0,0,0,90,0,0,FruiNect,Nectarivore,Nectarivore aerial,,
Chlorestes cyanus,Hylocharis cyanus,10,0,0,0,0,0,0,90,0,0,FruiNect,Nectarivore,Nectarivore aerial,,
Chloropipo unicolor,Xenopipo unicolor,20,0,0,0,0,0,80,0,0,0,FruiNect,Frugivore,Fugivore aerial,,
Chlorospingus flavopectus,Chlorospingus ophthalmicus,80,0,0,0,0,0,10,0,10,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Ciccaba albitarsis,Strix albitarsis,50,50,0,0,0,0,0,0,0,0,Omnivore,Omnivore,Omnivore,,
Clibanornis rubiginosus,Automolus rubiginosus,80,0,20,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Colibri cyanotus,Colibri thalassinus,10,0,0,0,0,0,0,90,0,0,FruiNect,Nectarivore,Nectarivore aerial,,Historically part of C.thalasinus but controvertially seperated as C.cyanotus in 2018
Cryptopipo holochlora,Xenopipo holochlora,70,0,0,0,0,0,30,0,0,0,Invertebrate,Frugivore,Fugivore aerial,,
Cyanoloxia cyanoides,Cyanocompsa cyanoides,20,0,0,0,0,0,70,0,10,0,FruiNect,Granivore,Granivore arboreal,,
Dendroma erythroptera,Philydor erythropterum,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Dendroma rufa,Philydor rufum,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
