"","species_taxonomy_SACC_2021","n"
"1","Aburria aburri",47
"2","Accipiter bicolor",1
"3","Accipiter collaris",1
"4","Accipiter striatus",12
"5","Accipiter superciliosus",1
"6","Adelomyia melanogenys",209
"7","Aglaeactis castelnaudii",9
"8","Aglaeactis cupripennis",38
"9","Aglaiocercus kingii",32
"10","Akletos goeldii",70
"11","Amazona farinosa",39
"12","Amazona mercenarius",136
"13","Amazona ochrocephala",34
"14","Amblycercus holosericeus",25
"15","Ammodramus aurifrons",46
"16","Ampelion rubrocristatus",18
"17","Ampelion rufaxilla",1
"18","Anabacerthia ruficaudata",10
"19","Anabacerthia striaticollis",311
"20","Anabazenops dorsalis",78
"21","Anairetes parulus",6
"22","Ancistrops strigilatus",24
"23","Andigena hypoglauca",70
"24","Anisognathus igniventris",241
"25","Anisognathus somptuosus",153
"26","Ara ararauna",22
"27","Ara macao",2
"28","Ara militaris",14
"29","Ara severus",83
"30","Aramides cajaneus",1
"31","Aratinga weddellii",28
"32","Arremon brunneinucha",54
"33","Arremon castaneiceps",14
"34","Arremon taciturnus",195
"35","Arremon torquatus",61
"36","Asthenes helleri",53
"37","Atlapetes melanolaemus",766
"38","Attila spadiceus",18
"39","Aulacorhynchus albivitta",39
"40","Aulacorhynchus coeruleicinctis",114
"41","Aulacorhynchus derbianus",36
"42","Automolus infuscatus",68
"43","Automolus melanopezus",31
"44","Automolus ochrolaemus",227
"45","Automolus rufipileatus",50
"46","Automolus subulatus",66
"47","Baryphthengus martii",66
"48","Basileuterus tristriatus",219
"49","Boissonneaua matthewsii",40
"50","Bolborhynchus lineola",32
"51","Bolborhynchus orbygnesius",5
"52","Brotogeris cyanoptera",6
"53","Brotogeris sanctithomae",22
"54","Bucco capensis",8
"55","Bucco macrodactylus",12
"56","Buteo platypterus",1
"57","Buteogallus solitarius",1
"58","Buteogallus urubitinga",1
"59","Buthraupis montana",300
"60","Cacicus cela",25
"61","Cacicus chrysonotus",213
"62","Cacicus oseryi",9
"63","Cacicus solitarius",8
"64","Campephilus haematogaster",9
"65","Campephilus melanoleucos",43
"66","Campephilus rubricollis",21
"67","Camptostoma obsoletum",1
"68","Campylopterus largipennis",45
"69","Campylorhamphus trochilirostris",88
"70","Campylorhynchus turdinus",82
"71","Capito auratus",69
"72","Catamblyrhynchus diadema",41
"73","Catharus fuscater",2
"74","Catharus maculatus",190
"75","Catharus ustulatus",197
"76","Celeus flavus",2
"77","Celeus grammicus",8
"78","Celeus spectabilis",2
"79","Cephalopterus ornatus",5
"80","Ceratopipra chloromeros",400
"81","Ceratopipra rubrocapilla",2
"82","Cercomacra cinerascens",105
"83","Cercomacra manu",32
"84","Cercomacroides nigrescens",11
"85","Cercomacroides serva",88
"86","Chaetocercus mulsant",5
"87","Chalcostigma ruficeps",200
"88","Chalcothraupis ruficervix",11
