species_taxonomy_SACC_2021,elevation_midpoint
Aburria aburri,1578
Accipiter bicolor,426
Accipiter collaris,1395
Accipiter striatus,2734.5
Accipiter superciliosus,415
Adelomyia melanogenys,1678
Aglaeactis castelnaudii,2932
Aglaeactis cupripennis,2964
Aglaiocercus kingii,1954
Akletos goeldii,438
Amazona farinosa,425
Amazona mercenarius,2033
Amazona ochrocephala,425
Amblycercus holosericeus,2742
Ammodramus aurifrons,387
Ampelion rubrocristatus,2787
Ampelion rufaxilla,2820
Anabacerthia ruficaudata,960
Anabacerthia striaticollis,1397
Anabazenops dorsalis,827.5
Anairetes parulus,2954.5
Ancistrops strigilatus,476.5
Andigena hypoglauca,2787
Anisognathus igniventris,2932
Anisognathus somptuosus,1950
Ara ararauna,425
Ara macao,413.5
Ara militaris,1203.5
Ara severus,435
Aramides cajaneus,865
Aratinga weddellii,421
Arremon brunneinucha,1630.5
Arremon castaneiceps,1359.5
Arremon taciturnus,429
Arremon torquatus,2742
Asthenes helleri,2973
Atlapetes melanolaemus,2617
Attila spadiceus,420
Aulacorhynchus albivitta,687
Aulacorhynchus coeruleicinctis,2555.5
Aulacorhynchus derbianus,1489
Automolus infuscatus,419
Automolus melanopezus,413
Automolus ochrolaemus,680
Automolus rufipileatus,400.5
Automolus subulatus,419
Baryphthengus martii,1156
Basileuterus tristriatus,1459
Boissonneaua matthewsii,2828
Bolborhynchus lineola,2517.5
Bolborhynchus orbygnesius,2973
Brotogeris cyanoptera,421
Brotogeris sanctithomae,409
Bucco capensis,431
Bucco macrodactylus,403.5
Buteo platypterus,2937
Buteogallus solitarius,2364
Buteogallus urubitinga,409
Buthraupis montana,2784
Cacicus cela,421
Cacicus chrysonotus,2707
Cacicus oseryi,536
Cacicus solitarius,387
Campephilus haematogaster,1965
Campephilus melanoleucos,421
Campephilus rubricollis,419
Camptostoma obsoletum,387
Campylopterus largipennis,457
Campylorhamphus trochilirostris,917
Campylorhynchus turdinus,857.5
Capito auratus,538
Catamblyrhynchus diadema,2742
Catharus fuscater,2046.5
Catharus maculatus,1336
Catharus ustulatus,1307
Celeus flavus,381
Celeus grammicus,559.5
Celeus spectabilis,381
Cephalopterus ornatus,1344
Ceratopipra chloromeros,416
Ceratopipra rubrocapilla,411.5
Cercomacra cinerascens,425
Cercomacra manu,821
Cercomacroides nigrescens,850
Cercomacroides serva,1026.5
Chaetocercus mulsant,1954
Chalcostigma ruficeps,2590
Chalcothraupis ruficervix,1432
Chamaeza campanisona,1399.5
Chamaeza mollissima,2585
Chamaeza nobilis,400
Charadrius collaris,387
Chelidoptera tenebrosa,398
Chionomesa lactea,415
Chiroxiphia boliviana,1449
Chlorestes cyanus,414
Chloroceryle aenea,397
