,species_from_detections,species_taxonomy_SACC_2021,n,species,species_jetz,notes_taxonomy.x.x,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,X2010.IUCN.Red.List.category,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,n.y,notes_taxonomy.x.y,missmatches,status,X
1,Aglaiocercus kingii,Aglaiocercus kingii,32,Aglaiocercus kingii,Aglaiocercus kingi,NA,2765,Aglaiocercus_kingi,Trochilidae,Hummingbirds,Hummingbirds,Long-tailed Sylph,bow02765,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,assigned
2,Heliodoxa rubinoides,Heliodoxa rubinoides,7,Heliodoxa rubinoides,Heliodoxa rubinoides,NA,2676,Heliodoxa_rubinoides,Trochilidae,Hummingbirds,Hummingbirds,Fawn-breasted Brilliant,bow02676,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
3,Adelomyia melanogenys,Adelomyia melanogenys,208,Adelomyia melanogenys,Adelomyia melanogenys,NA,2665,Adelomyia_melanogenys,Trochilidae,Hummingbirds,Hummingbirds,Speckled Hummingbird,bow02665,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
4,Carduelis magellanica,Spinus magellanicus,39,Carduelis magellanica,Carduelis magellanica,REV_TAX,12324,Carduelis_magellanica,P10,"Finches, Allies","Finches, Allies",Hooded Siskin,bow12324,LC,BL3,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
5,Coeligena coeligena,Coeligena coeligena,157,Coeligena coeligena,Coeligena coeligena,NA,2697,Coeligena_coeligena,Trochilidae,Hummingbirds,Hummingbirds,Bronzy Inca,bow02697,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
6,Henicorhina leucophrys,Henicorhina leucophrys,844,Henicorhina leucophrys,Henicorhina leucophrys,NA,9777,Henicorhina_leucophrys,M1,"Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers",Grey-breasted Wood-wren,bow09777,LC,BL3,Troglodytidae,Wrens,162,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
7,Basileuterus tristriatus,Basileuterus tristriatus,221,Basileuterus tristriatus,Basileuterus tristriatus,NA,12792,Basileuterus_tristriatus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Three-striped Warbler,bow12792,LC,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
8,Schistes geoffroyi,Schistes geoffroyi,61,Schistes geoffroyi,Schistes geoffroyi,NA,2772,Schistes_geoffroyi,Trochilidae,Hummingbirds,Hummingbirds,Wedge-billed Hummingbird,bow02772,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
9,Myiothlypis coronata,Myiothlypis coronata,503,Basileuterus coronatus,Basileuterus coronatus,REV_TAX,12782,Basileuterus_coronatus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Russet-crowned Warbler,bow12782,LC,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
10,Mionectes striaticollis,Mionectes striaticollis,967,Mionectes striaticollis,Mionectes striaticollis,NA,5761,Mionectes_striaticollis,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Streak-necked Flycatcher,bow05761,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
11,Chaetocercus mulsant,Chaetocercus mulsant,5,Chaetocercus mulsant,Chaetocercus mulsant,NA,2805,Chaetocercus_mulsant,Trochilidae,Hummingbirds,Hummingbirds,White-bellied Woodstar,bow02805,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
12,Atlapetes melanolaemus,Atlapetes melanolaemus,741,Atlapetes melanolaemus,Atlapetes melanolaemus,NA,19576,Atlapetes_melanolaemus,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Black-faced Brush-finch,bow19576,LC,BL3,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
13,Thlypopsis ruficeps,Thlypopsis ruficeps,56,Thlypopsis ruficeps,Thlypopsis ruficeps,NA,12865,Thlypopsis_ruficeps,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Rust-and-yellow Tanager,bow12865,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
14,Synallaxis azarae,Synallaxis azarae,714,Synallaxis azarae,Synallaxis azarae,NA,6697,Synallaxis_azarae,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Azara's Spinetail,bow06697,LC,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
15,Elaenia pallatangae,Elaenia pallatangae,252,Elaenia pallatangae,Elaenia pallatangae,NA,5890,Elaenia_pallatangae,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Sierran Elaenia,bow05890,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
16,Turdus chiguanco,Turdus chiguanco,27,Turdus chiguanco,Turdus chiguanco,NA,8971,Turdus_chiguanco,M5,Thrushes,"Thrushes, Dippers, Chats, Old World Flycatchers",Chiguanco Thrush,bow08971,LC,BL3,Turdidae,Thrushes,178,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
17,Haplophaedia assimilis,Haplophaedia assimilis,9,Haplophaedia assimilis,Haplophaedia assimilis,NA,19038,Haplophaedia_assimilis,Trochilidae,Hummingbirds,Hummingbirds,Buff-thighed Puffleg,bow19038,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
18,Premnornis guttuliger,Premnornis guttuliger,6,Premnornis guttuliger,Premnornis guttuligera,NA,6810,Premnornis_guttuligera,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Rusty-winged Barbtail,bow06810,LC,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,assigned
19,Pseudotriccus simplex,Pseudotriccus simplex,4,Pseudotriccus simplex,Pseudotriccus simplex,NA,5771,Pseudotriccus_simplex,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Hazel-fronted Pygmy-tyrant,bow05771,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
20,Xiphorhynchus triangularis,Xiphorhynchus triangularis,174,Xiphorhynchus triangularis,Xiphorhynchus triangularis,NA,6935,Xiphorhynchus_triangularis,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Olive-backed Woodcreeper,bow06935,LC,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
21,Mecocerculus leucophrys,Mecocerculus leucophrys,55,Mecocerculus leucophrys,Mecocerculus leucophrys,NA,5892,Mecocerculus_leucophrys,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",White-throated Tyrannulet,bow05892,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
22,Tangara xanthocephala,Tangara xanthocephala,20,Tangara xanthocephala,Tangara xanthocephala,NA,13022,Tangara_xanthocephala,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Saffron-crowned Tanager,bow13022,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
