species,mass_tidy,bill_tidy,wing_tidy,tail_tidy,wing_index_tidy,tarsus_tidy,sociality,species_checked,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,ForStrat_watbelowsurf,ForStrat_wataroundsurf,ForStrat_ground,ForStrat_understory,ForStrat_midhigh,ForStrat_canopy,ForStrat_aerial,PelagicSpecialist,A1.x,A2.x,A3.x,A4.x,A1.y,A2.y,A3.y,A4.y
Aburria aburri,1405.1,37.1,337.2,290.4,15.7,65.8,no,Aburria_aburri,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,-0.127670465,0.037601177,-0.045732201,0.018105384,0.093489634,0.007900909,0.116552651,0.049593756
Accipiter bicolor,287.5,25,229.6,186.3,24.6,58.1,no,Accipiter_bicolor,0,100,0,0,0,0,0,0,0,0,0,0,0,33,33,33,0,0,-0.041420158,-0.045797991,0.029656339,0.129350131,0.051189499,-0.021621948,-0.051784081,-0.041608225
Accipiter collaris,126.14,10,155,125,30,43.6,no,Accipiter_collaris,0,80,0,0,20,0,0,0,0,0,0,0,0,0,33,33,33,0,-0.040958047,-0.045672074,0.029081711,0.131731009,0.099418197,0.059321943,-0.035492867,-0.00947455
Accipiter striatus,123.7642857,11.55714286,162,134.3,30.7,49.9,no,Accipiter_striatus,0,100,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,0,-0.041420158,-0.045797991,0.029656339,0.129350131,0.045178681,-0.009063088,-0.05405266,-0.03954931
Accipiter superciliosus,88,10,146,104.6,26.9,37.4,no,Accipiter_superciliosus,0,80,20,0,0,0,0,0,0,0,0,0,0,0,33,33,33,0,-0.039156214,-0.045302849,0.031570036,0.161521128,0.099418197,0.059321943,-0.035492867,-0.00947455
Adelomyia melanogenys,3.535275591,14.06976744,49.89014085,35.4,60.2,6,no,Adelomyia_melanogenys,10,0,0,0,0,0,0,90,0,0,0,0,0,70,30,0,0,0,-0.047481519,-0.149678811,-0.016260937,-0.015783796,-0.010936988,-0.100520488,-0.024095095,0.005762038
Aglaeactis castelnaudii,6.7,22.9,74.2,46.4,59.4,8.2,no,Aglaeactis_castelnaudii,10,0,0,0,0,0,0,90,0,0,0,0,0,40,30,30,0,0,-0.047481519,-0.149678811,-0.016260937,-0.015783796,0.03927239,-0.035932199,-0.060412284,-0.040586468
Aglaeactis cupripennis,7.041935484,17.3152381,80.40625,49.9,62.5,7.3,no,Aglaeactis_cupripennis,10,0,0,0,0,0,0,90,0,0,0,0,0,30,30,30,10,0,-0.047481519,-0.149678811,-0.016260937,-0.015783796,0.050439931,-0.01723785,-0.053904533,-0.045692454
Aglaiocercus kingii,4.642941176,14.9,59.33333333,45.8,62.9,6.3,no,Aglaiocercus_kingi,10,0,0,0,0,0,0,90,0,0,0,0,0,0,30,60,10,0,-0.047481519,-0.149678811,-0.016260937,-0.015783796,0.106531955,0.076099417,-0.068387555,-0.002506622
Akletos goeldii,44.03666667,13.99944444,85.94736842,69.2,11.2,33.8,yes,Myrmeciza_goeldii,100,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.063206991,0.003368306,-0.002351312,-0.001531838,-0.155030965,-0.026345043,-0.011070919,-0.015890345
Amazona farinosa,626,43.3,241.9,134,28.6,26.9,no,Amazona_farinosa,0,0,0,0,0,0,50,0,30,20,0,0,0,0,60,40,0,0,-0.137138899,0.044356052,0.057501169,-0.022666992,0.125208515,0.048181881,0.014676866,0.003014517
Amazona mercenarius,340,32.6,214,100.8,32.4,20.8,no,Amazona_mercenaria,0,0,0,0,0,0,60,0,30,10,0,0,10,20,40,30,0,0,-0.137726938,0.043773477,0.041407121,-0.014319068,0.048661573,0.016400405,-0.015069736,-0.051661524
Amazona ochrocephala,476.9,38.3,212.9,116.5,28.3,22,no,Amazona_ochrocephala,0,0,0,0,0,0,40,0,30,30,0,0,33,33,33,0,0,0,-0.13185105,0.039965111,0.075770944,-0.026693272,-0.050006202,-0.010876046,0.028460239,-0.054407249
Amblycercus holosericeus,50.00190476,20.27944444,88.57142857,97.5,10.6,31.5,no,Amblycercus_holosericeus,100,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0.063206991,0.003368306,-0.002351312,-0.001531838,-0.032218273,-0.107116921,-0.044013085,0.023508688
Ammodramus aurifrons,17.815,8.443333333,57.93939394,47,9.7,21.7,no,Ammodramus_aurifrons,30,0,0,0,0,0,0,0,70,0,0,0,80,20,0,0,0,0,-0.021146252,-0.01062733,0.104408054,-0.008189512,-0.157837135,0.064059422,0.021925587,-0.022350367
Ampelion rubrocristatus,64.774,8.9,107.75,86.2,24.5,24.9,yes,Ampelion_rubrocristatus,10,0,0,0,0,0,90,0,0,0,0,0,0,50,50,0,0,0,-0.11073417,0.026060075,-0.042783645,0.007028315,0.019470436,-0.084260313,0.023695316,-0.005312142
