species_taxonomy_SACC_2021,degree
Conopophaga peruviana,2
Ceratopipra chloromeros,5
Elaenia parvirostris,5
Premnoplex brunnescens,5
Campephilus melanoleucos,7
Ceratopipra erythrocephala,7
Cercomacra manu,7
Conirostrum ferrugineiventre,7
Cryptopipo holochlora,7
Myrmoborus lophotes,7
Tangara callophrys,7
Tangara velia,7
Terenotriccus erythrurus,7
Cranioleuca curtata,8
Diglossa mystacalis,8
Dacnis lineata,9
Dendrocincla merula,9
Diglossa brunneiventris,9
Euchrepornis callinota,9
Hafferia fortis,9
Ochthoeca rufipectoralis,9
Piculus leucolaemus,9
Thamnophilus doliatus,9
NA ,9
Akletos goeldii,10
Arremon torquatus,10
Dysithamnus mentalis,10
Lepidothrix coronata,10
Pheucticus aureoventris,10
Ancistrops strigilatus,11
Cnemotriccus fuscatus,11
Hemitriccus rufigularis,11
Legatus leucophaius,11
Premnornis guttuliger,11
Anabacerthia ruficaudata,12
Diglossa caerulescens,12
Myiarchus cephalotes,12
Myiodynastes maculatus,12
Pachyramphus polychopterus,12
Tangara parzudakii,12
Thripophaga fusciceps,12
Colaptes punctigula,13
Cyanoloxia cyanoides,13
Myiozetetes cayanensis,13
Tangara cyanotis,13
Catamblyrhynchus diadema,14
Coccyzus americanus,14
Myiophobus fasciatus,14
Rhynchocyclus fulvipectus,14
Sittasomus griseicapillus,14
Trogon melanurus,14
Ampelion rubrocristatus,15
Coccyzus melacoryphus,15
Elaenia obscura,15
Hypocnemis subflava,15
Malacoptila fulvogularis,15
Myrmotherula multostriata,15
Bucco capensis,16
Deconychura longicauda,16
Dendroplex picus,16
Dubusia castaneoventris,16
Epinecrophylla ornata,16
Myiarchus tyrannulus,16
Piranga leucoptera,16
Anisognathus somptuosus,17
Cymbilaimus sanctaemariae,17
Drymotoxeres pucheranii,17
Knipolegus signatus,17
Myiophobus inornatus,17
Pipreola intermedia,17
Thamnophilus aethiops,17
Automolus rufipileatus,18
Cissopis leverianus,18
Elaenia gigas,18
Galbula cyanescens,18
Isleria hauxwelli,18
Kleinothraupis parodii,18
Piranga olivacea,18
Gymnoderus foetidus,19
Habia rubica,19
Icterus cayanensis,19
Melanerpes cruentatus,19
Myiobius barbatus,19
Piranga flava,19
Poecilotriccus latirostris,19
Rauenia bonariensis,19
Thraupis episcopus,19
Todirostrum chrysocrotaphum,19
Trogon curucui,19
Arremon taciturnus,20
Myrmotherula longicauda,20
Xiphorhynchus ocellatus,20
Campephilus rubricollis,21
Chiroxiphia boliviana,21
Contopus fumigatus,21
Cyanocorax yncas,21
Dendroma erythroptera,21
Myrmoborus leucophrys,21
Nephelomyias ochraceiventris,21
Phylloscartes poecilotis,21
Poecilotriccus albifacies,21
Thamnophilus unicolor,21
Trogon viridis,21
Colaptes rivolii,22
Metopothrix aurantiaca,22
Poecilotriccus plumbeiceps,22
Thlypopsis ornata,22
Dendrocincla tyrannina,23
Iridosornis jelskii,23
Myiarchus tuberculifer,23
Cyanolyca viridicyanus,24
Dryobates nigriceps,24
Loriotus cristatus,24
Herpsilochmus axillaris,25
Monasa nigrifrons,25
Syndactyla ucayalae,25
Tangara mexicana,25
Microspingus trifasciatus,26
Cacicus chrysonotus,27
Chloropipo unicolor,27
Coereba flaveola,27
Myrmotherula schisticolor,27
Pipra fasciicauda,27
Troglodytes solstitialis,27
Elaenia albiceps,28
Cranioleuca marcapatae,29
Herpsilochmus rufimarginatus,29
Pipraeidea melanonota,29
Tityra semifasciata,29
Drymophila devillei,30
Turdus nigriceps,30
Colaptes rubiginosus,31
Conopias cinchoneti,31
Tangara chrysotis,31
Chlorospingus parvirostris,32
Conirostrum sitticolor,32
Myiopagis gaimardii,32
Sclerurus obscurior,32
Thamnophilus palliatus,32
Cranioleuca gutturata,33
Eubucco richardsoni,33
Myiothlypis bivittata,33
Cinnycerthia fulva,34
Phylloscartes ventralis,34
Pseudospingus xanthophthalmus,34
Trogon violaceus,34
Dendrocolaptes picumnus,35
Diglossa sittoides,35
Euphonia rufiventris,36
Campylorhamphus trochilirostris,37
Cnemoscopus rubrirostris,37
Celeus grammicus,38
Trogon collaris,38
Myiothlypis coronata,39
Myiothlypis luteoviridis,39
Anisognathus igniventris,40
Mionectes macconnelli,40
Diglossa glauca,41
Automolus melanopezus,43
Conirostrum albifrons,43
Cyanerpes cyaneus,43
Loriotus luctuosus,43
Cymbilaimus lineatus,44
Dacnis cayana,44
Hemitriccus granadensis,44
Pachyramphus versicolor,44
Automolus subulatus,45
Pachyramphus minor,45
Sporathraupis cyanocephala,45
Myiothlypis signata,46
Saltator grossus,46
Thlypopsis superciliaris,46
Tolmomyias assimilis,46
Buthraupis montana,47
Iridophanes pulcherrimus,47
Pseudocolaptes boissonneautii,47
Euphonia mesochrysa,48
Lathrotriccus euleri,48
Ramphocelus carbo,48
Tangara nigroviridis,48
Chlorornis riefferii,49
Eubucco tucinkae,49
Ixothraupis xanthogastra,49
Thraupis palmarum,49
Tunchiornis ochraceiceps,49
Vireo olivaceus,49
Tangara vassorii,50
Dendrocincla fuliginosa,51
Entomodestes leucotis,52
Microrhopias quixensis,52
Thripadectes melanorhynchus,52
Anabazenops dorsalis,53
Creurgops dentatus,54
Epinecrophylla leucophthalma,54
Hemithraupis flavicollis,54
Myrmoborus myotherinus,54
Synallaxis azarae,54
Trichothraupis melanops,54
Chlorophonia cyanea,55
Myiothlypis chrysogaster,55
Ramphotrigon fuscicauda,55
Tangara xanthocephala,55
Trogon personatus,55
Margarornis squamiger,56
Chalcothraupis ruficervix,57
Hemithraupis guira,57
Mecocerculus leucophrys,57
Xenops tenuirostris,57
Chlorospingus flavopectus,58
Kleinothraupis atropileus,58
Odontorchilus branickii,58
Setophaga pitiayumi,58
Xenops rutilans,59
Zimmerius bolivianus,59
Piaya cayana,60
Capito auratus,61
Chlorothraupis carmioli,62
Eubucco versicolor,62
Mionectes oleagineus,62
Atlapetes melanolaemus,64
Epinecrophylla erythrura,65
Mecocerculus stictopterus,65
Phyllomyias cinereiceps,65
Vireo leucophrys,65
Basileuterus tristriatus,66
Iridosornis analis,66
Cyanerpes caeruleus,67
Diglossa cyanea,67
Phylloscartes ophthalmicus,67
Automolus infuscatus,68
Thamnomanes ardesiacus,68
Monasa morphoeus,69
Myioborus melanocephalus,69
Pachysylvia hypoxantha,69
Xenops minutus,69
Xiphocolaptes promeropirhynchus,69
Thlypopsis ruficeps,70
Sphenopsis melanotis,72
Chlorophanes spiza,74
Philydor erythrocercum,75
Mionectes olivaceus,76
Myrmotherula menetriesii,77
Pygiptila stellaris,77
Anabacerthia striaticollis,78
Ixothraupis punctata,79
Elaenia pallatangae,81
Lepidocolaptes lacrymiger,81
Myrmotherula brachyura,82
Myrmotherula longipennis,84
Stilpnia cyanicollis,84
Xiphorhynchus elegans,85
Thamnophilus schistaceus,89
Xiphorhynchus triangularis,90
Leptopogon amaurocephalus,93
Xiphorhynchus guttatus,95
Lanio versicolor,97
Myrmotherula axillaris,97
Tangara schrankii,99
Pyrrhomyias cinnamomeus,102
Tangara arthus,102
Saltator maximus,104
Chlorochrysa calliparaea,106
Chlorospingus flavigularis,106
Mionectes striaticollis,107
Glyphorynchus spirurus,108
Euphonia xanthogaster,110
Leptopogon superciliaris,111
Thamnomanes schistogynus,112
Myioborus miniatus,119
Tangara gyrola,120
Loriotus rufiventer,126
Automolus ochrolaemus,128
Tangara chilensis,129
