species,w_degree
Chlorochrysa_calliparaea,11.10692484
Myioborus_miniatus,10.67468762
Tangara_arthus,10.47767758
Chlorospingus_flavigularis,10.27773746
Loriotus_rufiventer,10.20238979
Leptopogon_superciliaris,10.01949443
Tangara_chilensis,9.967314992
Stilpnia_cyanicollis,9.639402758
Lanio_versicolor,9.608152078
Saltator_maximus,9.489172598
Tangara_schrankii,9.337833186
Automolus_ochrolaemus,9.335834161
Pygiptila_stellaris,9.324868089
Philydor_erythrocercum,9.212429898
Mionectes_striaticollis,8.999235138
Pyrrhomyias_cinnamomeus,8.938209634
Euphonia_xanthogaster,8.935766985
Glyphorynchus_spirurus,8.929666271
Tangara_gyrola,8.809226877
Anabacerthia_striaticollis,8.768245732
Mecocerculus_stictopterus,8.70661462
Myrmotherula_brachyura,8.644571691
Ixothraupis_punctata,8.635071634
Leptopogon_amaurocephalus,8.591800503
Pachysylvia_hypoxantha,8.558442215
Mecocerculus_leucophrys,8.23013201
Myrmotherula_longipennis,8.225946015
Myioborus_melanocephalus,8.183346828
Iridosornis_analis,8.128682743
Xiphorhynchus_triangularis,8.061920788
Capito_auratus,8.029411295
Basileuterus_tristriatus,7.910535746
Monasa_morphoeus,7.865871343
Xiphorhynchus_elegans,7.730049261
Myrmotherula_axillaris,7.701598672
Sphenopsis_melanotis,7.648793343
Hemithraupis_flavicollis,7.626441497
Tangara_vassorii,7.584725444
Eubucco_versicolor,7.557584082
Kleinothraupis_atropileus,7.555573571
Diglossa_cyanea,7.48902072
Thamnomanes_schistogynus,7.266322068
Xiphorhynchus_guttatus,7.257142863
Elaenia_pallatangae,7.246185819
Phylloscartes_ophthalmicus,7.216003229
Margarornis_squamiger,7.200257828
Zimmerius_bolivianus,7.084974321
Thamnophilus_schistaceus,7.052464235
Myrmotherula_menetriesii,6.938075149
Ixothraupis_xanthogastra,6.928618105
Lepidocolaptes_lacrymiger,6.921243694
Eubucco_tucinkae,6.89356714
Pseudocolaptes_boissonneautii,6.887316097
Thlypopsis_ruficeps,6.835413644
Chlorophanes_spiza,6.830183053
Xenops_tenuirostris,6.784045753
Xiphocolaptes_promeropirhynchus,6.653290016
Chalcothraupis_ruficervix,6.606813918
Odontorchilus_branickii,6.586949989
Automolus_infuscatus,6.55732564
Tangara_xanthocephala,6.542351845
Vireo_leucophrys,6.489413049
Chlorornis_riefferii,6.446265492
Thraupis_palmarum,6.439842572
Chlorospingus_flavopectus,6.352051618
Phyllomyias_cinereiceps,6.335912083
Thlypopsis_superciliaris,6.334775692
Xenops_rutilans,6.322354276
Buthraupis_montana,6.173414929
Dendrocincla_fuliginosa,6.147166665
Creurgops_dentatus,6.083096854
Thripadectes_melanorhynchus,5.994101102
Ramphotrigon_fuscicauda,5.934204634
Ramphocelus_carbo,5.932956382
Mionectes_olivaceus,5.901747981
Epinecrophylla_erythrura,5.897017123
Chlorophonia_cyanea,5.884614686
Trichothraupis_melanops,5.778017008
Cyanerpes_caeruleus,5.757468603
Saltator_grossus,5.74294988
Atlapetes_melanolaemus,5.733462527
Piaya_cayana,5.697393549
Myrmoborus_myotherinus,5.595179627
Thamnomanes_ardesiacus,5.592660458
Hemithraupis_guira,5.537636017
Cymbilaimus_lineatus,5.50096809
Gymnoderus_foetidus,5.485963665
Icterus_cayanensis,5.485963665
Melanerpes_cruentatus,5.485963665
Todirostrum_chrysocrotaphum,5.485963665
Anisognathus_igniventris,5.462899245
Cnemoscopus_rubrirostris,5.438285158
Loriotus_luctuosus,5.43609901
Trogon_collaris,5.397651412
Myiothlypis_luteoviridis,5.39525858
Iridophanes_pulcherrimus,5.379500423
Trogon_personatus,5.366486231
Conirostrum_albifrons,5.351130932
Pachyramphus_minor,5.327156923
Epinecrophylla_leucophthalma,5.323434718
Myiothlypis_coronata,5.300949067
Chlorothraupis_carmioli,5.29726645
Sporathraupis_cyanocephala,5.160589524
Entomodestes_leucotis,5.082983473
Tangara_nigroviridis,5.078950099
Setophaga_pitiayumi,5.068544066
Euphonia_mesochrysa,5.061631232
Diglossa_sittoides,5.001338306
Celeus_grammicus,4.924340919
Tolmomyias_assimilis,4.922571014
Xenops_minutus,4.871310843
Vireo_olivaceus,4.783544589
Diglossa_glauca,4.780878022
Mionectes_oleagineus,4.771319754
Conirostrum_sitticolor,4.764508268
Dacnis_cayana,4.64330388
Cyanerpes_cyaneus,4.635413081
Anabazenops_dorsalis,4.58888469
Automolus_subulatus,4.584758723
Pseudospingus_xanthophthalmus,4.575991278
Tangara_mexicana,4.539371705
Tityra_semifasciata,4.527784671
Microrhopias_quixensis,4.523221628
Synallaxis_azarae,4.506054203
Myiopagis_gaimardii,4.409717644
Eubucco_richardsoni,4.393010223
Mionectes_macconnelli,4.307359161
Tunchiornis_ochraceiceps,4.306208394
Colaptes_rivolii,4.26628643
Thlypopsis_ornata,4.26628643
Hemitriccus_granadensis,4.263433737
Myiothlypis_chrysogaster,4.250113579
Automolus_melanopezus,4.177260727
Cinnycerthia_fulva,4.165584275
Bucco_capensis,4.11350402
Deconychura_longicauda,4.11350402
Dendroplex_picus,4.11350402
Campephilus_rubricollis,4.04207549
Poecilotriccus_albifacies,4.04207549
