"","elevation_cat","sociality","foraging_cat","species_jetz","species_clean","ectoparasites_PA_max","sample_size"
"1","lowland_iquitos",0,"ground","Willisornis_poecilinotus","Willisornis poecilinotus",1,60
"2","lowland_iquitos",1,"canopy","Glyphorynchus_spirurus","Glyphorynchus spirurus",1,99
"3","lowland_iquitos",0,"understory","Hylophylax_naevius","Hylophylax naevius",1,13
"4","lowland_iquitos",0,"ground","Schistocichla_leucostigma","Myrmelastes leucostigma",1,8
"5","lowland_iquitos",0,"ground","Corythopis_torquatus","Corythopis torquatus",1,18
"6","lowland_iquitos",0,"understory","Schiffornis_turdina","Schiffornis turdina",1,14
"7","lowland_iquitos",1,"midhigh","Myrmotherula_axillaris","Myrmotherula axillaris",1,24
"8","lowland_iquitos",1,"ground-understory","Myrmoborus_myotherinus","Myrmoborus myotherinus",1,22
"9","lowland_iquitos",1,"canopy","Tachyphonus_cristatus","Loriotus cristatus",0,1
"10","lowland_iquitos",0,"understory","Epinecrophylla_haematonota","Epinecrophylla haematonota",1,3
"11","lowland_iquitos",0,"understory","Manacus_manacus","Manacus manacus",1,13
"12","lowland_iquitos",1,"undersory-midhigh","Mionectes_oleagineus","Mionectes oleagineus",1,24
"13","lowland_iquitos",1,"undersory-midhigh","Lepidothrix_coronata","Lepidothrix coronata",1,40
"14","lowland_iquitos",1,"midhigh","Xiphorhynchus_elegans","Xiphorhynchus elegans",1,19
"15","lowland_iquitos",0,"understory","Threnetes_leucurus","Threnetes leucurus",1,1
"16","lowland_iquitos",1,"other","Myrmotherula_hauxwelli","Isleria hauxwelli",1,23
"17","lowland_iquitos",1,"ground-midhigh","Dendrocincla_fuliginosa","Dendrocincla fuliginosa",1,14
"18","lowland_iquitos",0,"ground","Sclerurus_caudacutus","Sclerurus caudacutus",1,11
"19","lowland_iquitos",1,"midhigh-canopy","Philydor_erythrocercum","Philydor erythrocercum",0,1
"20","lowland_iquitos",1,"other","Dendrocincla_merula","Dendrocincla merula",1,11
"21","lowland_iquitos",1,"canopy","Tangara_chilensis","Tangara chilensis",0,1
"22","lowland_iquitos",1,"undersory-midhigh","Xenops_minutus","Xenops minutus",1,11
"23","lowland_iquitos",0,"ground-understory","Microcerculus_marginatus","Microcerculus marginatus",1,19
"24","lowland_iquitos",0,"midhigh","Onychorhynchus_coronatus","Onychorhynchus coronatus",1,3
