"","elevation_cat","sociality","foraging_cat","species_jetz","species_clean","ectoparasites_PA_max","sample_size"
"1","high_montane_manu",0,"ground","Chamaeza_mollissima","Chamaeza mollissima",1,1
"2","high_montane_manu",1,"undersory-midhigh","Pipreola_intermedia","Pipreola intermedia",1,19
"3","high_montane_manu",0,"undersory-midhigh","Pipreola_arcuata","Pipreola arcuata",1,8
"4","high_montane_manu",1,"understory","Rhynchocyclus_fulvipectus","Rhynchocyclus fulvipectus",1,6
"5","high_montane_manu",1,"midhigh","Chlorornis_riefferii","Chlorornis riefferii",1,14
"6","high_montane_manu",1,"midhigh","Anisognathus_igniventris","Anisognathus igniventris",1,14
"7","high_montane_manu",1,"understory","Iridosornis_jelskii","Iridosornis jelskii",1,18
"8","high_montane_manu",1,"undersory-midhigh","Arremon_torquatus","Arremon torquatus",1,13
"9","high_montane_manu",1,"understory","Hemispingus_atropileus","Kleinothraupis atropileus",1,28
"10","high_montane_manu",1,"canopy","Myioborus_melanocephalus","Myioborus melanocephalus",1,12
"11","high_montane_manu",1,"midhigh-canopy","Mecocerculus_stictopterus","Mecocerculus stictopterus",1,1
"12","high_montane_manu",1,"understory","Pyrrhomyias_cinnamomeus","Pyrrhomyias cinnamomeus",1,3
"13","high_montane_manu",1,"midhigh","Buthraupis_montana","Buthraupis montana",1,4
"14","high_montane_manu",1,"understory","Hemispingus_melanotis","Sphenopsis melanotis",1,10
"15","high_montane_manu",1,"canopy","Thraupis_cyanocephala","Sporathraupis cyanocephala",1,12
"16","high_montane_manu",0,"understory","Dubusia_taeniata","Dubusia taeniata",1,1
"17","high_montane_manu",0,"ground","Haplospiza_rustica","Haplospiza rustica",1,5
"18","lowland_manu",0,"ground","Formicarius_analis","Formicarius analis",1,7
"19","lowland_manu",0,"ground","Formicarius_rufipectus","Formicarius rufipectus",1,1
"20","lowland_manu",1,"other","Myrmotherula_hauxwelli","Isleria hauxwelli",1,21
"21","lowland_manu",1,"midhigh","Thamnomanes_ardesiacus","Thamnomanes ardesiacus",1,13
"22","lowland_manu",1,"midhigh","Myrmotherula_axillaris","Myrmotherula axillaris",1,20
"23","lowland_manu",1,"understory","Hylophilus_ochraceiceps","Tunchiornis ochraceiceps",1,6
"24","lowland_manu",1,"midhigh","Thamnomanes_schistogynus","Thamnomanes schistogynus",1,12
"25","lowland_manu",0,"ground","Corythopis_torquatus","Corythopis torquatus",1,14
"26","lowland_manu",0,"ground","Willisornis_poecilinotus","Willisornis poecilinotus",1,26
"27","lowland_manu",0,"ground","Sclerurus_caudacutus","Sclerurus caudacutus",1,9
"28","lowland_manu",0,"ground-understory","Microcerculus_marginatus","Microcerculus marginatus",1,12
"29","lowland_manu",1,"canopy","Lanio_versicolor","Lanio versicolor",1,5
"30","lowland_manu",1,"ground-midhigh","Monasa_morphoeus","Monasa morphoeus",0,3
"31","lowland_manu",1,"undersory-midhigh","Lepidothrix_coronata","Lepidothrix coronata",1,16
"32","lowland_manu",0,"ground-midhigh","Malacoptila_semicincta","Malacoptila semicincta",1,5
"33","lowland_manu",1,"undersory-midhigh","Pipra_chloromeros","Ceratopipra chloromeros",1,102
"34","lowland_manu",1,"other","Monasa_nigrifrons","Monasa nigrifrons",0,2
"35","lowland_manu",0,"ground-midhigh","Rupicola_peruvianus","Rupicola peruvianus",1,8
"36","lowland_manu",1,"midhigh","Galbula_cyanescens","Galbula cyanescens",1,2
"37","lowland_manu",0,"understory","Schiffornis_turdina","Schiffornis turdina",1,9
"38","lowland_manu",1,"other","Chlorothraupis_carmioli","Chlorothraupis carmioli",1,6
"39","lowland_manu",1,"midhigh","Myiobius_barbatus","Myiobius barbatus",1,5
"40","lowland_manu",1,"canopy","Glyphorynchus_spirurus","Glyphorynchus spirurus",1,8
