elevation_cat,sociality,foraging_cat,species_jetz,species_clean,mean_lice
lowland_manu,0,ground,Formicarius_rufipectus,Formicarius rufipectus,5
high_montane_manu,0,ground,Chamaeza_mollissima,Chamaeza mollissima,6
lowland_manu,0,ground,Formicarius_analis,Formicarius analis,4
lowland_manu,0,ground,Sclerurus_caudacutus,Sclerurus caudacutus,4
lowland_manu,1,canopy,Lanio_versicolor,Lanio versicolor,7
lowland_manu,0,ground-midhigh,Malacoptila_semicincta,Malacoptila semicincta,2
montane_manu,0,ground-midhigh,Rupicola_peruvianus,Rupicola peruvianus,17.125
lowland_manu,0,ground-midhigh,Rupicola_peruvianus,Rupicola peruvianus,17.125
montane_manu,1,undersory-midhigh,Malacoptila_fulvogularis,Malacoptila fulvogularis,1
high_montane_manu,0,undersory-midhigh,Pipreola_arcuata,Pipreola arcuata,6.333333333333333
high_montane_manu,1,undersory-midhigh,Pipreola_intermedia,Pipreola intermedia,1.5
lowland_manu,1,midhigh,Galbula_cyanescens,Galbula cyanescens,1
lowland_manu,1,midhigh,Myrmotherula_axillaris,Myrmotherula axillaris,8.5
lowland_manu,0,understory,Schiffornis_turdina,Schiffornis turdina,5.25
lowland_manu,1,other,Chlorothraupis_carmioli,Chlorothraupis carmioli,4.166666666666667
lowland_manu,1,canopy,Glyphorynchus_spirurus,Glyphorynchus spirurus,6.75
montane_manu,1,understory,Chlorospingus_flavigularis,Chlorospingus flavigularis,10.214285714285714
montane_manu,1,midhigh,Anabacerthia_striaticollis,Anabacerthia striaticollis,4.5
montane_manu,1,midhigh,Leptopogon_superciliaris,Leptopogon superciliaris,3
montane_manu,1,understory,Basileuterus_tristriatus,Basileuterus tristriatus,1.8888888888888888
lowland_manu,0,ground,Willisornis_poecilinotus,Willisornis poecilinotus,3
montane_manu,1,midhigh,Tangara_arthus,Tangara arthus,3.8
montane_manu,1,midhigh,Phylloscartes_ophthalmicus,Phylloscartes ophthalmicus,6.333333333333333
