"","elevation_cat","sociality","foraging_cat","species_jetz","species_clean","richness_sp","n_samples_lice"
"1","lowland_manu",1,"undersory-midhigh","Xenops minutus","Xenops minutus",1,1
"2","lowland_manu",0,"ground","Willisornis poecilinotus","Willisornis poecilinotus",1,1
"3","lowland_manu",0,"ground","Turdus albicollis","Turdus albicollis",1,3
"4","montane_manu",1,"other","Trichothraupis melanops","Trichothraupis melanops",1,4
"5","montane_manu",1,"understory","Thripadectes melanorhynchus","Thripadectes melanorhynchus",4,11
"6","high_montane_manu",1,"canopy","Thraupis cyanocephala","Sporathraupis cyanocephala",2,4
"7","lowland_manu",1,"midhigh","Thamnophilus schistaceus","Thamnophilus schistaceus",2,3
"8","lowland_manu",0,"other","Thalurania furcata","Thalurania furcata",1,1
"9","lowland_manu",1,"midhigh","Terenotriccus erythrurus","Terenotriccus erythrurus",2,2
"10","lowland_manu",1,"midhigh","Tangara schrankii","Tangara schrankii",1,2
"11","montane_manu",1,"midhigh","Tangara arthus","Tangara arthus",1,5
"12","lowland_manu",0,"understory","Synallaxis cabanisi","Synallaxis cabanisi",1,1
"13","lowland_manu",1,"understory","Simoxenops ucayalae","Syndactyla ucayalae",1,1
"14","lowland_manu",0,"ground","Sclerurus caudacutus","Sclerurus caudacutus",1,2
"15","lowland_manu",0,"understory","Schiffornis turdina","Schiffornis turdina",1,4
"16","lowland_manu",1,"other","Saltator maximus","Saltator maximus",1,1
"17","lowland_manu",0,"ground-midhigh","Rupicola peruvianus","Rupicola peruvianus",1,8
"18","montane_manu",0,"ground-midhigh","Rupicola peruvianus","Rupicola peruvianus",1,8
"19","lowland_manu",0,"undersory-midhigh","Rhytipterna simplex","Rhytipterna simplex",2,2
"20","lowland_manu",0,"ground","Rhegmatorhina melanosticta","Rhegmatorhina melanosticta",2,3
"21","lowland_manu",0,"canopy","Ramphastos tucanus","Ramphastos tucanus",1,1
"22","high_montane_manu",1,"understory","Pyrrhomyias cinnamomeus","Pyrrhomyias cinnamomeus",1,1
"23","lowland_manu",0,"canopy","Psarocolius angustifrons","Psarocolius angustifrons",1,1
"24","montane_manu",1,"understory","Premnoplex brunnescens","Premnoplex brunnescens",2,3
"25","high_montane_manu",1,"undersory-midhigh","Pipreola intermedia","Pipreola intermedia",2,2
"26","high_montane_manu",0,"undersory-midhigh","Pipreola arcuata","Pipreola arcuata",2,6
"27","lowland_manu",1,"undersory-midhigh","Pipra fasciicauda","Pipra fasciicauda",6,19
"28","lowland_manu",1,"undersory-midhigh","Pipra chloromeros","Ceratopipra chloromeros",6,9
"29","montane_manu",1,"midhigh","Phylloscartes ophthalmicus","Phylloscartes ophthalmicus",2,3
"30","lowland_manu",0,"ground","Phlegopsis nigromaculata","Phlegopsis nigromaculata",1,1
"31","lowland_manu",0,"canopy","Philydor rufum","Dendroma rufa",1,1
"32","lowland_manu",1,"ground-understory","Percnostola lophotes","Myrmoborus lophotes",1,1
"33","lowland_manu",1,"midhigh","Myrmotherula axillaris","Myrmotherula axillaris",1,2
"34","lowland_manu",1,"ground-understory","Myrmoborus myotherinus","Myrmoborus myotherinus",2,2
"35","lowland_manu",0,"ground-understory","Myrmeciza hemimelaena","Sciaphylax hemimelaena",1,1
"36","lowland_manu",1,"ground-understory","Myrmeciza goeldii","Akletos goeldii",3,4
