NO.,Collection,Sample.label,Sample.No...,Full_Label,Powder.lvl,species_binomial,Order,Family,Lice,Mites,Ticks,Other,Host.Family,Order2,Date.of.collection,Country,Province,Locality,Altitude,species_clean,mass_tidy,bill_tidy,wing_tidy,tail_tidy,wing_index_tidy,tarsus_tidy,sociality,ForStrat_ground,ForStrat_understory,ForStrat_midhigh,ForStrat_canopy,species_jetz,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,foraging_cat,elevation_cat,sample
1,JUM,V,V01,V01,,Willisornis_poecilinotus,Passeriformes,Thamnophilidae,0,0,0,Yes,NA,NA,NA,NA,NA,NA,NA,Willisornis poecilinotus,18.39630137,10.27342105,64.65822785,42.8,16.3,23,0,60,40,0,0,Willisornis poecilinotus,6612,Willisornis_poecilinotus,Thamnophilidae,Antbirds,Antbirds,Scale-backed Antbird,bow06612,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,1
2,JUM,V,V02,V02,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,2
3,JUM,V,V03,V03,,Willisornis_poecilinotus,Passeriformes,Thamnophilidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Willisornis poecilinotus,18.39630137,10.27342105,64.65822785,42.8,16.3,23,0,60,40,0,0,Willisornis poecilinotus,6612,Willisornis_poecilinotus,Thamnophilidae,Antbirds,Antbirds,Scale-backed Antbird,bow06612,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,3
4,JUM,V,V05,V05,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,5
5,JUM,V,V06,V06,,Hylophylax_naevius,Passeriformes,Thamnophilidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Hylophylax naevius,13.63936508,8.975555556,58.31746032,39.8,14.1,20.2,0,0,80,20,0,Hylophylax naevius,6610,Hylophylax_naevius,Thamnophilidae,Antbirds,Antbirds,Spot-backed Antbird,bow06610,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,6
6,JUM,V,V07,V07,,Hylophylax_naevius,Passeriformes,Thamnophilidae,0,0,0,Yes,NA,NA,NA,NA,NA,NA,NA,Hylophylax naevius,13.63936508,8.975555556,58.31746032,39.8,14.1,20.2,0,0,80,20,0,Hylophylax naevius,6610,Hylophylax_naevius,Thamnophilidae,Antbirds,Antbirds,Spot-backed Antbird,bow06610,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,7
7,JUM,V,V10,V10,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,10
10,JUM,V,V13,V13,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,13
12,JUM,V,V15,V15,,Myrmelastes_leucostigma,Passeriformes,Thamnophilidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Myrmelastes leucostigma,25.7,21.9,66.1,56.4,9.5,26.2,0,60,40,0,0,Schistocichla leucostigma,6572,Schistocichla_leucostigma,Thamnophilidae,Antbirds,Antbirds,Spot-winged Antbird,bow06572,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,15
13,JUM,V,V17,V17,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,17
