NO#,Collection,Sample label,Sample No. #,Full_Label,Powder lvl,Host genus,Host species,Order,Family,Lice,Mites,Ticks,Other,Host Family,Order2,Date of collection,Country,Province,Locality,Altitude
1,JUM,V,V01,V01,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,No,No,No,Yes,,,,,,,
2,JUM,V,V02,V02,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
3,JUM,V,V03,V03,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
4,JUM,V,V05,V05,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
5,JUM,V,V06,V06,,Hylophylax,naevius,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
6,JUM,V,V07,V07,,Hylophylax,naevius,Passeriformes,Thamnophilidae,No,No,No,Yes,,,,,,,
7,JUM,V,V10,V10,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
8,JUM,V,V11,V11,,Megastictus,margaritatus,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
9,JUM,V,V12,V12,,Xenops,margaritatus,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
10,JUM,V,V13,V13,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
11,JUM,V,V14,V14,,Megastictus,margaritatus,Passeriformes,Thamnophilidae,No,No,No,Yes,,,,,,,
12,JUM,V,V15,V15,,Myrmelastes,leucostigma,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
13,JUM,V,V17,V17,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
14,JUM,V,V19,V19,,Corythopis,torquatus,Passeriformes,Tyrannidae,No,No,No,No,,,,,,,
15,JUM,V,V20,V20,,Myrmelastes,leucostigma,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
16,JUM,V,V22,V22,,Myrmelastes,leucostigma,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
17,JUM,V,V23,V23,,Myrmelastes,leucostigma,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
18,JUM,V,V26,V26,,Schiffornis,turdina,Passeriformes,Tityridae,No,No,No,No,,,,,,,
19,JUM,V,V29,V29,,Megastictus,margaritatus,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
20,JUM,V,V30,V30,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
21,JUM,V,V31,V31,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
22,JUM,V,V32,V32,,Pithys,albifrons,Passeriformes,Thamnophilidae,Yes,No,No,No,,,,,,,
23,JUM,V,V33,V33,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,Yes,No,No,No,,,,,,,
24,JUM,V,V34,V34,,Myrmelastes,leucostigma,Passeriformes,Thamnophilidae,No,No,Yes,No,,,,,,,
25,JUM,V,V36,V36,,Megastictus,margaritatus,Passeriformes,Thamnophilidae,No,No,No,Yes,,,,,,,
26,JUM,V,V39,V39,,Megastictus,margaritatus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
27,JUM,V,V40,V40,,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
28,JUM,V,V41,V41,,Megastictus,margaritatus,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
29,JUM,V,V44,V44,,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
30,JUM,V,V49,V49,,Corythopis,torquatus,Passeriformes,Tyrannidae,No,No,No,No,,,,,,,
31,JUM,V,V50,V50,,Loriotus,cristatus,Passeriformes,Thraupidae,No,No,No,No,,,,,,,
32,JUM,V,V64,V64,,Ceratopipra,erythrocephala,Passeriformes,Pipridae,Yes,No,No,No,,,,,,,
33,JUM,V,V68,V68,,Epinecrophylla,haematonota,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
34,JUM,V,V81,V81,,Megastictus,margaritatus,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
35,JUM,V,V82,V82,,Pithys,albifrons,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
36,JUM,V,V87,V87,,Pithys,albifrons,Passeriformes,Thamnophilidae,Yes,No,No,No,,,,,,,
37,JUM,V,V90,V90,,Manacus,manacus,Passeriformes,Pipridae,Yes,No,Yes,Yes,,,,,,,
38,JUM,V,V91,V91,,Mionectes,oleagineus,Passeriformes,Tyrannidae,Yes,No,No,Yes,,,,,,,
39,JUM,V,V93,V93,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
40,JUM,V,V96,V96,,Lepidothrix,coronata,Passeriformes,Pipridae,No,Yes,No,No,,,,,,,
41,JUM,V,V102,V102,,Pheugopedius,coraya,Passeriformes,Troglodytidae,No,Yes,No,No,,,,,,,
42,JUM,V,V103,V103,,Hylophylax,naevius,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
43,JUM,V,V104,V104,,Megastictus,margaritatus,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
