No#,Collection,Sample_Group,Sample No. #,Sample Full #,Box Location,Host Genus,Host Species,Host Order,Host Family,Tick Genus,Tick Species,Female,Male,Nimph,Larvae,Eggs,Total,Tick Family,Comments
1,JUM,V,V34,V34,,Myrmelastes,leucostigma,Passeriformes,Thamnophilidae,???Mite,,0,0,0,10,,10,Ixodidae?,
2,JUM,V,V90,V90,,Manacus,manacus,Passeriformes,Pipridae,Ixodes?,,?,0,? (prob),1,,1,Ixodidae,
3,JUM,V,V192,V192,,Xiphorhynchus,elegans,Passeriformes,Furnariidae,Ixodidae?,,,,,,,1,Ixodidae?,
4,JUM,V,V224,V224,,Pithys,albifrons,Passeriformes,Thamnophilidae,Unknown?,,0,0,1,0,,1,,
5,JUM,V,V285,V285,,Dendrocincla,fuliginosa,Passeriformes,"Furnariidae
",Unknown?,,,,,,,1,,
6,JUM,V,V304,V304,,Celeus,elegans,Piciformes,Picidae,Unknown?,,,,,,,3,,
7,JUM,V,V387,V387,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,Unknown?,,,,,,,1,,
8,JUM,V,V399,V399,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,Unknown?,,,,,,,5,,
9,JUM,V,V468,V468,,Pithys,albifrons,Passeriformes,Thamnophilidae,Unknown?,,,,,,,1,,
10,JUM,M,M504,M504,,Xiphorhynchus,elegans,Passeriformes,Furnariidae,Unknown?,,,,,,,1,,
11,JUM,M,M549,M549,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,Unknown?,,,,,,,1,,
12,JUM,M,M582,M582,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,Unknown?,,0,1,0,0,,1,,
13,JUM,M,M588,M588,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,Unknown?,,0,1,0,0,,1,,
14,JUM,V,V678,V678,,Microcerculus,marginatus,Passeriformes,Troglodytidae,Unknown?,,,,,,,2,,
15,JUM,V,V685,V685,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,Unknown?,,0,0,0,1,,1,,
16,JUM,V,V725,V725,,Pithys,albifrons,Passeriformes,Thamnophilidae,Unknown?,,0,0,0,15,,15,,fed
17,JUM,,4003,4003,,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",Unknown?,,0,0,0,1?,,1,,
18,JUM,,791,791,,Microcerculus,marginatus,Passeriformes,Troglodytidae,Unknown?,,0,0,0,1,,1,,
19,JEJ,W12,733,W120733,,Chamaeza,mollissima,Passeriformes,Formicariidae,R?,,1,0,0,0,,1,,
20,JEJ,P11,149,P110149,,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,Unknown?,,1,0,0,0,,1,,
21,JUM,,1093,1093,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,Unknown?,,,,,1,,1,,
22,JUM,,1084,1084,,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,Unknown?,,0,0,0,1,,1,,
23,JEJ,W13,270,W130270,,Anisognathus,igniventris,Passeriformes,"Thraupidae
",Unknown?,,0,0,1,0,,1,,
24,JEJ,P11,111,P110111,,Automolus,ochrolaemus,Passeriformes,Furnariidae,Unknown?,,0,0,1,0,,1,,
25,JEJ,P11,142,P110142,,Automolus,ochrolaemus,Passeriformes,Furnariidae,Unknown?,,1,0,0,0,,1,,
26,JEJ,P11,6048,P116048,,Deconychura,longicauda,Passeriformes,"Furnariidae
",Unknown?,,1,0,0,0,,1,,
27,JEJ,P12,1399,P121399,,Xiphorhynchus,elegans,Passeriformes,Furnariidae,Unknown?,,,,,1?,,1,,
28,JEJ,W13,814,W130814,,Haplospiza,rustica,Passeriformes,Thraupidae,Unknown?,,1,0,0,0,,1,,
