X.No,Collection,Sample_group,Sample.No...,Full_Label,comment,species_binomial,Host.Order,Host.Family,New.Association,Lice.Genus,Lice.Species,Female,Male,Nimph,Eggs,Total,BoxLocation1,Lice.Genus2,Lice.Species2,Female2,Male2,Nimph2,Eggs2,Total2,BoxLocation2,Lice.Genus3,Lice.Species3,Female3,Male3,Nimph3,Eggs3,Total.1,BoxLocation3,total_lice,species_clean,mass_tidy,bill_tidy,wing_tidy,tail_tidy,wing_index_tidy,tarsus_tidy,sociality,ForStrat_ground,ForStrat_understory,ForStrat_midhigh,ForStrat_canopy,species_jetz,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,foraging_cat,elevation_cat,sample,infestation_lice
2,JUM,,V33,V33,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,No,Myrsidea,dalgleishi?,0,1,0,,1,L-01,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,1,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus_spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,33,0
5,JUM,,V90,V90,,Manacus_manacus,Passeriformes,Pipridae,No,Philopterus,bruneri?,1,0,0,,1,L-01,Ricinus,pessimalis?,0,0,2,NA,2,L-01,,,NA,NA,NA,,NA,NA,3,Manacus manacus,16.455,7.9,57,32.8,15.9,20.9,0,0,80,20,0,Manacus_manacus,6369,Manacus_manacus,Pipridae,Manakins,Manakins,White-bearded Manakin,bow06369,BL3,Pipridae,Manakins,103,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,90,0
6,JUM,,V91,V91,,Mionectes_oleagineus,Passeriformes,Tyrannidae,No,Myrsidea,oleaginei?,0,0,2,,2,L-01,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,2,Mionectes oleagineus,11.49915698,7.792196721,60.54227405,48.2,17.1,16,1,0,50,50,0,Mionectes_oleagineus,5763,Mionectes_oleagineus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Ochre-bellied Flycatcher,bow05763,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,undersory-midhigh,lowland_iquitos,91,0
8,JUM,,V120,V120,,Threnetes_leucurus,Passeriformes,Apodiformes,Yes,Myrsidea,new sp.?/or contamination,1,0,0,,1,L-01,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,1,Threnetes leucurus,5.956779661,26.88261261,59.95275591,33.5,65.3,4.7,0,0,100,0,0,Threnetes_leucurus,19875,Threnetes_leucurus,Trochilidae,Hummingbirds,Hummingbirds,Pale-tailed Barbthroat,bow19875,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,understory,lowland_iquitos,120,0
9,JUM,,V135,V135,,Sclerurus_caudacutus,Passeriformes,Furnariidae,Yes,Myrsidea,(scansori/calvi),2,0,0,,2,L-01,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,2,Sclerurus caudacutus,37.54095238,15.42761905,88.47619048,63.4,17.4,22.6,0,100,0,0,0,Sclerurus_caudacutus,6874,Sclerurus_caudacutus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Black-tailed Leaftosser,bow06874,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,135,0
10,JUM,,V163,V163,,Willisornis_poecilinotus,Passeriformes,Thamnophilidae,Yes,Philopteridae,new sp.?,0,0,1,,1,L-01,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,1,Willisornis poecilinotus,18.39630137,10.27342105,64.65822785,42.8,16.3,23,0,60,40,0,0,Willisornis_poecilinotus,6612,Willisornis_poecilinotus,Thamnophilidae,Antbirds,Antbirds,Scale-backed Antbird,bow06612,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,163,0
13,JUM,,V192,V192,,Xiphorhynchus_elegans,Passeriformes,Furnariidae,Yes,Rallicola,(various…),2,1,1,,4,L-01,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,4,Xiphorhynchus elegans,38.50835294,24.42858824,100.1363636,82,20.1,21.9,1,0,30,60,10,Xiphorhynchus_elegans,20106,Xiphorhynchus_elegans,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Elegant Woodcreeper,bow20106,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,192,0
14,JUM,,V235,V235,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,0,1,2,,3,L-01,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,3,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus_spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,235,0
15,JUM,,V240,V240,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,0,0,1,,1,L-01,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,1,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus_spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,240,0
18,JUM,,V254,V254,,Formicarius_colma,Passeriformes,Formicariidae,No,Formicaricola,analoides?,0,0,1,,1,L-01,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,1,Formicarius colma,45.426,12,85.8,53.4,19,29.9,0,80,20,0,0,Formicarius_colma,6953,Formicarius_colma,Antthrushes,Antthrushes,"Ovenbirds, Woodcreepers, Antthrushes",Rufous-capped Antthrush,bow06953,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,254,0
