Host.Family,BLFamilyLatin,species_clean,species_jetz,sociality,foraging_cat,elevation_cat,TipLabel,Full_Label,keycol,valuecol
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V694,Lice.Genus,Myrsidea
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,M502,Lice.Genus,Rallicola
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V192,Lice.Genus,Rallicola
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V820,Lice.Genus,Ricinus
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V694,Lice.Genus2,Ricinus
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,1,ground-understory,lowland_iquitos,Xenops_minutus,M561,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,1,ground-understory,lowland_iquitos,Xenops_minutus,P116096,Lice.Genus,Rallicola
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,0,ground,lowland_iquitos,Willisornis_poecilinotus,V813,Lice.Genus,Myrsidea
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,0,ground,lowland_iquitos,Willisornis_poecilinotus,V163,Lice.Genus,Philopteridae
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,0,ground,lowland_iquitos,Willisornis_poecilinotus,1022,Lice.Genus,Ricinus
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,0,ground,lowland_iquitos,Willisornis_poecilinotus,P120675,Lice.Genus,Ricinus
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,0,ground,lowland_iquitos,Willisornis_poecilinotus,1022,Lice.Genus,Ricinus
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,0,ground,lowland_iquitos,Willisornis_poecilinotus,1022,Lice.Genus2,Philopterus?
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,0,ground,lowland_iquitos,Turdus_albicollis,M581,Lice.Genus,Myrsidea
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,0,ground,lowland_iquitos,Turdus_albicollis,P110144,Lice.Genus,Myrsidea
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,0,ground,lowland_iquitos,Turdus_albicollis,P110166,Lice.Genus,Myrsidea
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,0,ground,lowland_iquitos,Turdus_albicollis,P110334,Lice.Genus,Myrsidea
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,0,ground,lowland_iquitos,Turdus_albicollis,M500,Lice.Genus,Philopterus
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,1,ground-understory,lowland_iquitos,Trichothraupis_melanops,SP110004,Lice.Genus,Myrsidea
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,1,ground-understory,lowland_iquitos,Trichothraupis_melanops,SP110036,Lice.Genus,Myrsidea
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,1,ground-understory,lowland_iquitos,Trichothraupis_melanops,SP110038,Lice.Genus,Myrsidea
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,1,ground-understory,lowland_iquitos,Trichothraupis_melanops,SP120764,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,1,understory,lowland_iquitos,Thripadectes_melanorhynchus,SP110027,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,1,understory,lowland_iquitos,Thripadectes_melanorhynchus,SP110047,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,1,understory,lowland_iquitos,Thripadectes_melanorhynchus,SP110367,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,1,understory,lowland_iquitos,Thripadectes_melanorhynchus,SP121002,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,1,understory,lowland_iquitos,Thripadectes_melanorhynchus,SP121046,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,1,understory,lowland_iquitos,Thripadectes_melanorhynchus,SP121163,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,1,understory,lowland_iquitos,Thripadectes_melanorhynchus,SP110039,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,1,understory,lowland_iquitos,Thripadectes_melanorhynchus,SP121019,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,1,understory,lowland_iquitos,Thripadectes_melanorhynchus,SP121090,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,1,understory,lowland_iquitos,Thripadectes_melanorhynchus,SP120954,Lice.Genus,Myrsidea
