X.,Collection,Sample_Group,Sample.No...,Sample.Full..,species_binomial,Host.Order,Host.Family,Box.Location,Mite.Group,Mite.Genus,Mite.Species,Total,Mite.Group2,Mite.Genus2,Mite.Species2,Total2,Comment,total_mites,X,X.1,X.2,X.3,species_clean,mass_tidy,bill_tidy,wing_tidy,tail_tidy,wing_index_tidy,tarsus_tidy,sociality,ForStrat_ground,ForStrat_understory,ForStrat_midhigh,ForStrat_canopy,species_jetz,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,foraging_cat,elevation_cat,sample,total_lice
1,JUM,V,V02,V02,Glyphorynchus_spirurus,Passeriformes,Furnariidae,,Mesostigmatid,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,02,1
2,JUM,V,V17,V17,Glyphorynchus_spirurus,Passeriformes,Furnariidae,,unknown,?/Aceria,NA,2,,,NA,NA,,2,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,17,2
3,JUM,V,V30,V30,Glyphorynchus_spirurus,Passeriformes,Furnariidae,,Mesostigmatid,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,30,1
5,JUM,V,V40,V40,Myrmotherula_axillaris,Passeriformes,Thamnophilidae,,Feather,,NA,4,,,NA,NA,,4,NA,NA,NA,NA,Myrmotherula axillaris,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,Myrmotherula axillaris,6486,Myrmotherula_axillaris,Thamnophilidae,Antbirds,Antbirds,White-flanked Antwren,bow06486,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,40,4
6,JUM,V,V68,V68,Epinecrophylla_haematonota,Passeriformes,Thamnophilidae,,Oribatida,Oribatida,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Epinecrophylla haematonota,11.08,9.3,51,37.8,13.6,16.1,0,0,80,20,0,Epinecrophylla haematonota,6481,Epinecrophylla_haematonota,Thamnophilidae,Antbirds,Antbirds,Stipple-throated Antwren,bow06481,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,68,1
7,JUM,V,V96,V96,Lepidothrix_coronata,Passeriformes,Pipridae,,not found in box,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Lepidothrix coronata,9.769768786,6.224307229,56.94444444,26.6,17.9,14.2,1,0,50,50,0,Lepidothrix coronata,6346,Lepidothrix_coronata,Pipridae,Manakins,Manakins,Blue-crowned Manakin,bow06346,BL3,Pipridae,Manakins,103,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,96,1
9,JUM,V,V108,V108,Glyphorynchus_spirurus,Passeriformes,Furnariidae,,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,108,1
10,JUM,Delete?,V138,V138,Dendrocincla_merula,Passeriformes,"Furnariidae
",,Feather,,NA,1,Mesostigmatid,,NA,1,,2,NA,NA,NA,NA,Dendrocincla merula,46.92958333,19.43829268,102.744186,80,20.3,24.7,1,40,40,20,0,Dendrocincla merula,6896,Dendrocincla_merula,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",White-chinned Woodcreeper,bow06896,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,138,2
11,JUM,V,V157,V157,Xenops_minutus,Passeriformes,Furnariidae,,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Xenops minutus,12.16725806,10.44927273,61.44827586,49.2,22.1,14.7,1,0,50,50,0,Xenops minutus,6880,Xenops_minutus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Plain Xenops,bow06880,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,157,1
12,JUM,V,V163,V163,Willisornis_poecilinotus,Passeriformes,Thamnophilidae,,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Willisornis poecilinotus,18.39630137,10.27342105,64.65822785,42.8,16.3,23,0,60,40,0,0,Willisornis poecilinotus,6612,Willisornis_poecilinotus,Thamnophilidae,Antbirds,Antbirds,Scale-backed Antbird,bow06612,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,163,1
