elevation_cat,sociality,foraging_cat,species_jetz,species_clean,mean_mites
lowland_iquitos,1,canopy,Glyphorynchus_spirurus,Glyphorynchus spirurus,4.516129032258065
lowland_iquitos,1,midhigh,Myrmotherula_axillaris,Myrmotherula axillaris,16.416666666666668
lowland_iquitos,0,understory,Epinecrophylla_haematonota,Epinecrophylla haematonota,1
lowland_iquitos,1,undersory-midhigh,Lepidothrix_coronata,Lepidothrix coronata,4.416666666666667
lowland_iquitos,1,other,Dendrocincla_merula,Dendrocincla merula,3.2
lowland_iquitos,1,undersory-midhigh,Xenops_minutus,Xenops minutus,101.16666666666667
lowland_iquitos,0,ground,Willisornis_poecilinotus,Willisornis poecilinotus,4.65625
lowland_iquitos,1,ground-midhigh,Dendrocincla_fuliginosa,Dendrocincla fuliginosa,1.8333333333333333
lowland_iquitos,0,midhigh,Onychorhynchus_coronatus,Onychorhynchus coronatus,1.5
lowland_iquitos,0,ground,Formicarius_colma,Formicarius colma,4.333333333333333
lowland_iquitos,0,ground,Geotrygon_montana,Geotrygon montana,11.428571428571429
lowland_iquitos,1,understory,Automolus_ochrolaemus,Automolus ochrolaemus,23.857142857142858
lowland_iquitos,1,midhigh,Xiphorhynchus_elegans,Xiphorhynchus elegans,6.111111111111111
lowland_iquitos,1,ground-understory,Myrmoborus_myotherinus,Myrmoborus myotherinus,35.705882352941174
lowland_iquitos,0,undersory-midhigh,Ramphotrigon_ruficauda,Ramphotrigon ruficauda,1
lowland_iquitos,0,ground-midhigh,Momotus_momota,Momotus momota,2
lowland_iquitos,1,midhigh,Terenotriccus_erythrurus,Terenotriccus erythrurus,7.133333333333334
lowland_iquitos,1,midhigh,Euphonia_xanthogaster,Euphonia xanthogaster,7
lowland_iquitos,0,ground-understory,Microcerculus_marginatus,Microcerculus marginatus,11.466666666666667
lowland_iquitos,0,other,Frederickena_unduligera,Frederickena unduliger,2
lowland_iquitos,1,ground,Conopophaga_peruviana,Conopophaga peruviana,32.5
lowland_iquitos,0,ground,Turdus_albicollis,Turdus albicollis,4
lowland_iquitos,1,ground,Myrmeciza_fortis,Hafferia fortis,10.75
lowland_iquitos,1,undersory-midhigh,Mionectes_oleagineus,Mionectes oleagineus,11.866666666666667
lowland_iquitos,1,midhigh,Celeus_grammicus,Celeus grammicus,55
lowland_iquitos,0,midhigh,Dendrocolaptes_certhia,Dendrocolaptes certhia,5
lowland_iquitos,1,ground-understory,Ancistrops_strigilatus,Ancistrops strigilatus,4.666666666666667
other_iquitos,0,ground,Formicarius_colma,Formicarius colma,4.333333333333333
other_iquitos,1,midhigh,Terenotriccus_erythrurus,Terenotriccus erythrurus,7.133333333333334
other_iquitos,0,ground,Willisornis_poecilinotus,Willisornis poecilinotus,4.65625
other_iquitos,1,ground-midhigh,Dendrocincla_fuliginosa,Dendrocincla fuliginosa,1.8333333333333333
lowland_iquitos,1,midhigh,Deconychura_longicauda,Deconychura longicauda,56.75
lowland_iquitos,1,ground,Cyanocompsa_cyanoides,Cyanoloxia cyanoides,64.33333333333333
lowland_iquitos,0,ground,Schistocichla_leucostigma,Myrmelastes leucostigma,4.5
other_iquitos,0,understory,Manacus_manacus,Manacus manacus,2
other_iquitos,1,undersory-midhigh,Lepidothrix_coronata,Lepidothrix coronata,4.416666666666667
other_iquitos,1,midhigh,Euphonia_xanthogaster,Euphonia xanthogaster,7
other_iquitos,0,ground-understory,Microcerculus_marginatus,Microcerculus marginatus,11.466666666666667
other_iquitos,0,ground-midhigh,Momotus_momota,Momotus momota,2
other_iquitos,1,canopy,Glyphorynchus_spirurus,Glyphorynchus spirurus,4.516129032258065
other_iquitos,1,midhigh,Xiphorhynchus_elegans,Xiphorhynchus elegans,6.111111111111111
other_iquitos,1,ground-understory,Myrmoborus_myotherinus,Myrmoborus myotherinus,35.705882352941174
other_iquitos,0,ground,Schistocichla_leucostigma,Myrmelastes leucostigma,4.5
other_iquitos,1,midhigh,Capito_auratus,Capito auratus,2
other_iquitos,1,ground,Myrmeciza_fortis,Hafferia fortis,10.75
other_iquitos,0,other,Chloroceryle_aenea,Chloroceryle aenea,1.5
lowland_manu,0,ground,Formicarius_analis,Formicarius analis,7.5
high_montane_manu,0,ground,Chamaeza_mollissima,Chamaeza mollissima,3
lowland_manu,1,midhigh,Thamnomanes_ardesiacus,Thamnomanes ardesiacus,8.571428571428571
lowland_manu,1,other,Myrmotherula_hauxwelli,Isleria hauxwelli,2
lowland_manu,1,midhigh,Thamnomanes_schistogynus,Thamnomanes schistogynus,22.5
lowland_manu,0,ground,Corythopis_torquatus,Corythopis torquatus,37.625
lowland_manu,0,ground,Willisornis_poecilinotus,Willisornis poecilinotus,4.65625
lowland_manu,0,ground,Sclerurus_caudacutus,Sclerurus caudacutus,467
other_iquitos,1,undersory-midhigh,Hyloctistes_subulatus,Automolus subulatus,11
lowland_manu,0,ground-understory,Microcerculus_marginatus,Microcerculus marginatus,11.466666666666667
lowland_manu,1,midhigh,Myrmotherula_axillaris,Myrmotherula axillaris,16.416666666666668
lowland_manu,1,canopy,Lanio_versicolor,Lanio versicolor,15.8
lowland_iquitos,0,other,Selenidera_reinwardtii,Selenidera reinwardtii,1
lowland_iquitos,0,understory,Phaethornis_superciliosus,Phaethornis superciliosus,1
lowland_iquitos,0,ground,Sclerurus_caudacutus,Sclerurus caudacutus,467
other_iquitos,0,ground-midhigh,Micromonacha_lanceolata,Micromonacha lanceolata,1
montane_manu,0,ground-midhigh,Rupicola_peruvianus,Rupicola peruvianus,8.5
montane_manu,1,undersory-midhigh,Malacoptila_fulvogularis,Malacoptila fulvogularis,7.25
high_montane_manu,1,undersory-midhigh,Pipreola_intermedia,Pipreola intermedia,24.75
high_montane_manu,0,undersory-midhigh,Pipreola_arcuata,Pipreola arcuata,4.5
lowland_manu,0,understory,Schiffornis_turdina,Schiffornis turdina,6
lowland_manu,1,other,Chlorothraupis_carmioli,Chlorothraupis carmioli,42.75
lowland_manu,1,midhigh,Myiobius_barbatus,Myiobius barbatus,10.5
lowland_manu,1,canopy,Glyphorynchus_spirurus,Glyphorynchus spirurus,4.516129032258065
lowland_manu,0,understory,Hylophylax_naevius,Hylophylax naevius,18.2
montane_manu,1,understory,Chlorospingus_flavigularis,Chlorospingus flavigularis,4.666666666666667
montane_manu,1,midhigh,Tangara_arthus,Tangara arthus,12.555555555555555
montane_manu,1,understory,Premnoplex_brunnescens,Premnoplex brunnescens,62.666666666666664
montane_manu,1,understory,Rhynchocyclus_fulvipectus,Rhynchocyclus fulvipectus,3.75
montane_manu,1,midhigh,Myioborus_miniatus,Myioborus miniatus,21.2
montane_manu,1,understory,Basileuterus_tristriatus,Basileuterus tristriatus,7.181818181818182
montane_manu,1,other,Chlorospingus_ophthalmicus,Chlorospingus flavopectus,37.75
montane_manu,0,understory,Eutoxeres_condamini,Eutoxeres condamini,6
montane_manu,1,midhigh,Anabacerthia_striaticollis,Anabacerthia striaticollis,4.25
montane_manu,0,understory,Hylophylax_naevius,Hylophylax naevius,18.2
montane_manu,1,midhigh,Leptopogon_superciliaris,Leptopogon superciliaris,2.2
