Host.Family,BLFamilyLatin,species_clean,species_jetz,Mite.Group,Mite.Group2,sociality,foraging_cat,elevation_cat,TipLabel,Sample.Full..,keycol,valuecol
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,Feather,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,M533,Mite.Genus,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,Feather,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V1268,Mite.Genus,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,Feather,,1,midhigh,lowland_manu,Xiphorhynchus_elegans,P120795,Mite.Genus,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,Feather,,1,midhigh,lowland_manu,Xiphorhynchus_elegans,P121399,Mite.Genus,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,Feather,Mesostigmatid,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V694,Mite.Genus,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,Feather,Mesostigmatid,1,midhigh,other_iquitos,Xiphorhynchus_elegans,820,Mite.Genus,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,Feather,Oribatida,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V680,Mite.Genus,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,Feather,Trombiculid,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V1235,Mite.Genus,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,Feather,Unknown,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V299,Mite.Genus,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,Feather,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,M533,Mite.Genus2,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,Feather,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V1268,Mite.Genus2,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,Feather,,1,midhigh,lowland_manu,Xiphorhynchus_elegans,P120795,Mite.Genus2,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,Feather,,1,midhigh,lowland_manu,Xiphorhynchus_elegans,P121399,Mite.Genus2,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,Feather,Mesostigmatid,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V694,Mite.Genus2,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,Feather,Mesostigmatid,1,midhigh,other_iquitos,Xiphorhynchus_elegans,820,Mite.Genus2,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,Feather,Oribatida,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V680,Mite.Genus2,Oribatida
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,Feather,Trombiculid,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V1235,Mite.Genus2,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,Feather,Unknown,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V299,Mite.Genus2,
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,Feather,,1,undersory-midhigh,lowland_iquitos,Xenops_minutus,M561,Mite.Genus,
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,Feather,,1,undersory-midhigh,lowland_iquitos,Xenops_minutus,V157,Mite.Genus,
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,Feather,,1,undersory-midhigh,lowland_manu,Xenops_minutus,P116096,Mite.Genus,
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,Feather,,1,undersory-midhigh,lowland_manu,Xenops_minutus,P116097,Mite.Genus,
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,Feather,Oribatida,1,undersory-midhigh,lowland_manu,Xenops_minutus,P110367,Mite.Genus,
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,Feather,Oribatida,1,undersory-midhigh,lowland_manu,Xenops_minutus,P115935,Mite.Genus,
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,Feather,,1,undersory-midhigh,lowland_iquitos,Xenops_minutus,M561,Mite.Genus2,
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,Feather,,1,undersory-midhigh,lowland_iquitos,Xenops_minutus,V157,Mite.Genus2,
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,Feather,,1,undersory-midhigh,lowland_manu,Xenops_minutus,P116096,Mite.Genus2,
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,Feather,,1,undersory-midhigh,lowland_manu,Xenops_minutus,P116097,Mite.Genus2,
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,Feather,Oribatida,1,undersory-midhigh,lowland_manu,Xenops_minutus,P110367,Mite.Genus2,
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,Feather,Oribatida,1,undersory-midhigh,lowland_manu,Xenops_minutus,P115935,Mite.Genus2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_iquitos,Willisornis_poecilinotus,M487,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_iquitos,Willisornis_poecilinotus,M507,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_iquitos,Willisornis_poecilinotus,M588,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V1200,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V163,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V182,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V399,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V401,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V663,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_manu,Willisornis_poecilinotus,P110159,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_manu,Willisornis_poecilinotus,P110238,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_manu,Willisornis_poecilinotus,P110290,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_manu,Willisornis_poecilinotus,P115962,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_manu,Willisornis_poecilinotus,P116087,Mite.Genus,
