flock_id,elevation,elevation_bin,num_species,num_ind,flock_type,flock_type_ref,flock_type_cat,sites,trail,weather_cloudy,forest_type,habitat,mean_canopy_H,num_trees,num_sm_steam,num_lg_steam,vain_vol,bamb_vol,canopy_cover,epiphyte_perc,site_network_q1,site_network_q1_1
F108,468,300_500,8,10,1,3,Lowland_canopy,Pantiacolla,Monk-saki Trail,80,Lowland forest,Disturbed primary forest,30,NA,NA,NA,NA,NA,NA,NA,Site1_Lowland_Pantiacolla,Site1_Lowland_Pantiacolla_ Lowland_canopy
F110,411,300_500,10,14,1,3,Lowland_canopy,Pantiacolla,Monk-saki Trail,0,Lowland forest,Disturbed primary forest,30,30,21,25,10,0,20,NA,Site1_Lowland_Pantiacolla,Site1_Lowland_Pantiacolla_ Lowland_canopy
FF044,427,300_500,4,5,1,3,Lowland_canopy,Pantiacolla,Monk-saki,10,Lowland rainforest,Terra Firme,29,12,15,17,10,0,10,15,Site1_Lowland_Pantiacolla,Site1_Lowland_Pantiacolla_ Lowland_canopy
FF047,404,300_500,21,38,1,3,Lowland_canopy,Pantiacolla,Capibara,30,Lowland rainforest,Flooded forest,29,9,10,17,30,0,60,10,Site1_Lowland_Pantiacolla,Site1_Lowland_Pantiacolla_ Lowland_canopy
FF049,648,500_700,7,12,1,3,Lowland_canopy,Pantiacolla,Mirador,20,Lowland rainforest,Terra Firme,29,24,18,13,10,0,50,0,Site1_Lowland_Pantiacolla,Site1_Lowland_Pantiacolla_ Lowland_canopy
FF052,431,300_500,25,40,1,3,Lowland_canopy,Pantiacolla,Pichico,5,Lowland rainforest,Terra Firme,28,24,15,17,30,0,10,10,Site1_Lowland_Pantiacolla,Site1_Lowland_Pantiacolla_ Lowland_canopy
FF053,418,300_500,8,12,1,3,Lowland_canopy,Pantiacolla,Aracari,5,Lowland rainforest,Terra Firme,18,18,10,29,20,0,20,25,Site1_Lowland_Pantiacolla,Site1_Lowland_Pantiacolla_ Lowland_canopy
FF054,430,300_500,6,7,1,3,Lowland_canopy,Pantiacolla,Pichico,5,Lowland rainforest,Terra Firme,31,17,19,9,30,0,30,20,Site1_Lowland_Pantiacolla,Site1_Lowland_Pantiacolla_ Lowland_canopy
FF057,409,300_500,8,11,1,3,Lowland_canopy,Pantiacolla,Itahuania,50,Lowland rainforest,Flooded forest,20,11,13,8,10,0,40,10,Site1_Lowland_Pantiacolla,Site1_Lowland_Pantiacolla_ Lowland_canopy
FF060,846,700_900,10,13,1,3,Lowland_canopy,Pantiacolla,Mirador,20,Lowland rainforest,Terra Firme,21,11,15,26,5,0,40,5,Site1_Lowland_Pantiacolla,Site1_Lowland_Pantiacolla_ Lowland_canopy
FF063,434,300_500,7,15,1,3,Lowland_canopy,Pantiacolla,Oropendola,10,Lowland rainforest,Terra Firme,30,15,24,10,10,0,40,5,Site1_Lowland_Pantiacolla,Site1_Lowland_Pantiacolla_ Lowland_canopy
F072,568,500_700,11,19,1,3,Lowland_canopy,Villa Carmen,Loop,100,Lowland forest,Bamboo forest,25,42,29,32,0,0,20,NA,Site2_LowlandsBamboo_500_1100,Site2_LowlandsBamboo_500_1100_ Lowland_canopy
F090,419,300_500,8,12,1,1,Lowland_understory,Pantiacolla,Pichico trail,100,Lowland forest,Disturbed primary forest,NA,NA,NA,NA,NA,NA,NA,NA,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
F091,431,300_500,8,11,1,1,Lowland_understory,Pantiacolla,Pichico trail,40,Lowland forest,Disturbed primary forest,NA,NA,NA,NA,NA,NA,NA,NA,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
F092,399,300_500,3,6,1,1,Lowland_understory,Pantiacolla,Capibara trail,100,Lowland forest,Disturbed primary forest,NA,NA,NA,NA,NA,NA,NA,NA,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
F093,424,300_500,5,8,1,1,Lowland_understory,Pantiacolla,Pichico trail,100,Lowland forest,Disturbed primary forest,NA,NA,NA,NA,NA,NA,NA,NA,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
F094,396,300_500,8,11,1,1,Lowland_understory,Pantiacolla,Capibara trail,100,Lowland forest,Disturbed primary forest,11,15,22,13,0,20,30,NA,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
F095,406,300_500,7,11,1,1,Lowland_understory,Pantiacolla,Capibara trail,100,Lowland forest,Disturbed primary forest,NA,NA,NA,NA,NA,NA,NA,NA,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
