"","deg_weighted"
"Akletos_goeldii",0.830364849522458
"Ampelion_rubrocristatus",1.35402347495189
"Anabacerthia_ruficaudata",1.92305078749846
"Anabacerthia_striaticollis",8.7682457324401
"Anabazenops_dorsalis",4.47777357920211
"Ancistrops_strigilatus",1.84494575171206
"Anisognathus_igniventris",5.46289924482406
"Anisognathus_somptuosus",3.15679668213686
"Arremon_taciturnus",2.58350878670139
"Arremon_torquatus",0.55564246284008
"Atlapetes_melanolaemus",5.73346252719169
"Automolus_infuscatus",6.55732564032157
"Automolus_melanopezus",4.17726072719647
"Automolus_ochrolaemus",9.301351402272
"Automolus_rufipileatus",1.75939075027209
"Automolus_subulatus",4.58475872311701
"Basileuterus_tristriatus",7.91053574558216
"Bucco_capensis",4.11350401971111
"Buthraupis_montana",6.17341492885205
"Cacicus_chrysonotus",3.43484419498295
"Campephilus_melanoleucos",0.324933862433862
"Campephilus_rubricollis",4.04207549002434
"Campylorhamphus_trochilirostris",3.49684496671433
"Capito_auratus",7.86274462816634
"Catamblyrhynchus_diadema",1.6615722711849
"Celeus_grammicus",4.92434091902545
"Ceratopipra_chloromeros",0.204069658719028
"Cercomacra_manu",0.78083619811561
"Chalcothraupis_ruficervix",6.60681391830228
"Chiroxiphia_boliviana",1.82841703532106
"Chlorochrysa_calliparaea",11.1069248374801
"Chlorophanes_spiza",6.8301830527117
"Chlorophonia_cyanea",5.88461468639553
"Chloropipo_unicolor",3.11137830522174
"Chlorornis_riefferii",6.44626549217259
"Chlorospingus_flavigularis",10.2777374567592
"Chlorospingus_flavopectus",6.3520516184675
"Chlorospingus_parvirostris",2.73904105824587
"Chlorothraupis_carmioli",5.17961939085059
"Cinnycerthia_fulva",4.16558427509813
"Cissopis_leverianus",1.41529480166439
"Cnemoscopus_rubrirostris",5.43828515766838
"Cnemotriccus_fuscatus",1.84494575171206
"Coccyzus_americanus",1.83278974896008
"Coccyzus_melacoryphus",2.51289672775127
"Coereba_flaveola",3.29770535062509
"Colaptes_punctigula",0.649770888456924
"Colaptes_rivolii",4.26628642957553
"Colaptes_rubiginosus",3.73915872666243
"Conirostrum_albifrons",5.35113093162169
"Conirostrum_ferrugineiventre",1.46473429951691
"Conirostrum_sitticolor",4.76450826823825
"Conopias_cinchoneti",3.41734778136443
"Conopophaga_peruviana",0.0616666666666667
"Contopus_fumigatus",2.33939573275963
"Cranioleuca_curtata",0.608296833885069
"Cranioleuca_gutturata",3.45633787945601
"Cranioleuca_marcapatae",3.98411380663242
