"","species_taxonomy_SACC_2021","deg_weighted","species","species_jetz","TipLabel"
"1","Akletos_goeldii",0.830364849522458,"Myrmeciza goeldi","Myrmeciza goeldii","Myrmeciza_goeldii"
"2","Ampelion_rubrocristatus",1.35402347495189,"Ampelion rubrocristatus","Ampelion rubrocristatus","Ampelion_rubrocristatus"
"3","Anabacerthia_ruficaudata",1.92305078749846,"Philydor ruficaudatum","Philydor ruficaudatum","Philydor_ruficaudatum"
"4","Anabacerthia_striaticollis",8.7682457324401,"Anabacerthia striaticollis","Anabacerthia striaticollis","Anabacerthia_striaticollis"
"5","Anabazenops_dorsalis",4.47777357920211,"Anabazenops dorsalis","Anabazenops dorsalis","Anabazenops_dorsalis"
"6","Ancistrops_strigilatus",1.84494575171206,"Ancistrops strigilatus","Ancistrops strigilatus","Ancistrops_strigilatus"
"7","Anisognathus_igniventris",5.46289924482406,"Anisognathus igniventris","Anisognathus igniventris","Anisognathus_igniventris"
"8","Anisognathus_somptuosus",3.15679668213686,"Anisognathus somptuosus","Anisognathus somptuosus","Anisognathus_somptuosus"
"9","Arremon_taciturnus",2.58350878670139,"Arremon taciturnus","Arremon taciturnus","Arremon_taciturnus"
"10","Arremon_torquatus",0.55564246284008,"Arremon torquatus","Arremon torquatus","Arremon_torquatus"
"11","Atlapetes_melanolaemus",5.73346252719169,"Atlapetes melanolaemus","Atlapetes melanolaemus","Atlapetes_melanolaemus"
"12","Automolus_infuscatus",6.55732564032157,"Automolus infuscatus","Automolus infuscatus","Automolus_infuscatus"
"13","Automolus_melanopezus",4.17726072719647,"Automolus melanopezus","Automolus melanopezus","Automolus_melanopezus"
"14","Automolus_ochrolaemus",9.301351402272,"Automolus ochrolaemus","Automolus ochrolaemus","Automolus_ochrolaemus"
"15","Automolus_rufipileatus",1.75939075027209,"Automolus rufipileatus","Automolus rufipileatus","Automolus_rufipileatus"
"16","Automolus_subulatus",4.58475872311701,"Hyloctistes subulatus","Hyloctistes subulatus","Hyloctistes_subulatus"
"17","Basileuterus_tristriatus",7.91053574558216,"Basileuterus tristriatus","Basileuterus tristriatus","Basileuterus_tristriatus"
"18","Bucco_capensis",4.11350401971111,"Bucco capensis","Bucco capensis","Bucco_capensis"
"19","Buthraupis_montana",6.17341492885205,"Buthraupis montana","Buthraupis montana","Buthraupis_montana"
"20","Cacicus_chrysonotus",3.43484419498295,"Cacicus chrysonotus","Cacicus chrysonotus","Cacicus_chrysonotus"
"21","Campephilus_melanoleucos",0.324933862433862,"Campephilus melanoleucos","Campephilus melanoleucos","Campephilus_melanoleucos"
"22","Campephilus_rubricollis",4.04207549002434,"Campephilus rubricollis","Campephilus rubricollis","Campephilus_rubricollis"
"23","Campylorhamphus_trochilirostris",3.49684496671433,"Campylorhamphus trochilirostris","Campylorhamphus trochilirostris","Campylorhamphus_trochilirostris"
"24","Capito_auratus",7.86274462816634,"Capito auratus","Capito auratus","Capito_auratus"
"25","Catamblyrhynchus_diadema",1.6615722711849,"Catamblyrhynchus diadema","Catamblyrhynchus diadema","Catamblyrhynchus_diadema"
"26","Celeus_grammicus",4.92434091902545,"Celeus grammicus","Celeus grammicus","Celeus_grammicus"
"27","Ceratopipra_chloromeros",0.204069658719028,"Dixiphia chloromeros","Pipra chloromeros","Pipra_chloromeros"
"28","Cercomacra_manu",0.78083619811561,"Cercomacra manu","Cercomacra manu","Cercomacra_manu"
"29","Chalcothraupis_ruficervix",6.60681391830228,"Tangara ruficervix","Tangara ruficervix","Tangara_ruficervix"
"30","Chiroxiphia_boliviana",1.82841703532106,"Chiroxiphia boliviana","Chiroxiphia boliviana","Chiroxiphia_boliviana"
"31","Chlorochrysa_calliparaea",11.1069248374801,"Chlorochrysa calliparaea","Chlorochrysa calliparaea","Chlorochrysa_calliparaea"
"32","Chlorophanes_spiza",6.8301830527117,"Chlorophanes spiza","Chlorophanes spiza","Chlorophanes_spiza"
"33","Chlorophonia_cyanea",5.88461468639553,"Chlorophonia cyanea","Chlorophonia cyanea","Chlorophonia_cyanea"
"34","Chloropipo_unicolor",3.11137830522174,"Xenopipo unicolor","Xenopipo unicolor","Xenopipo_unicolor"
"35","Chlorornis_riefferii",6.44626549217259,"Chlorornis riefferii","Chlorornis riefferii","Chlorornis_riefferii"
"36","Chlorospingus_flavigularis",10.2777374567592,"Chlorospingus flavigularis","Chlorospingus flavigularis","Chlorospingus_flavigularis"
"37","Chlorospingus_flavopectus",6.3520516184675,"Chlorospingus ophthalmicus","Chlorospingus ophthalmicus","Chlorospingus_ophthalmicus"
"38","Chlorospingus_parvirostris",2.73904105824587,"Chlorospingus parvirostris","Chlorospingus parvirostris","Chlorospingus_parvirostris"
"39","Chlorothraupis_carmioli",5.17961939085059,"Chlorothraupis carmioli","Chlorothraupis carmioli","Chlorothraupis_carmioli"
