"","deg_binary"
"Akletos_goeldii",10
"Ampelion_rubrocristatus",15
"Anabacerthia_ruficaudata",12
"Anabacerthia_striaticollis",78
"Anabazenops_dorsalis",51
"Ancistrops_strigilatus",11
"Anisognathus_igniventris",40
"Anisognathus_somptuosus",17
"Arremon_taciturnus",20
"Arremon_torquatus",10
"Atlapetes_melanolaemus",64
"Automolus_infuscatus",68
"Automolus_melanopezus",43
"Automolus_ochrolaemus",127
"Automolus_rufipileatus",18
"Automolus_subulatus",45
"Basileuterus_tristriatus",66
"Bucco_capensis",16
"Buthraupis_montana",47
"Cacicus_chrysonotus",27
"Campephilus_melanoleucos",7
"Campephilus_rubricollis",21
"Campylorhamphus_trochilirostris",35
"Capito_auratus",60
"Catamblyrhynchus_diadema",14
"Celeus_grammicus",38
"Ceratopipra_chloromeros",5
"Cercomacra_manu",7
"Chalcothraupis_ruficervix",57
"Chiroxiphia_boliviana",21
"Chlorochrysa_calliparaea",106
"Chlorophanes_spiza",74
"Chlorophonia_cyanea",55
"Chloropipo_unicolor",27
"Chlorornis_riefferii",49
"Chlorospingus_flavigularis",106
"Chlorospingus_flavopectus",58
"Chlorospingus_parvirostris",32
"Chlorothraupis_carmioli",60
"Cinnycerthia_fulva",34
"Cissopis_leverianus",18
"Cnemoscopus_rubrirostris",37
"Cnemotriccus_fuscatus",11
"Coccyzus_americanus",14
"Coccyzus_melacoryphus",15
"Coereba_flaveola",27
"Colaptes_punctigula",13
"Colaptes_rivolii",22
"Colaptes_rubiginosus",31
"Conirostrum_albifrons",43
"Conirostrum_ferrugineiventre",7
"Conirostrum_sitticolor",32
"Conopias_cinchoneti",31
"Conopophaga_peruviana",2
"Contopus_fumigatus",21
"Cranioleuca_curtata",8
"Cranioleuca_gutturata",33
"Cranioleuca_marcapatae",29
"Creurgops_dentatus",54
"Cryptopipo_holochlora",7
"Cyanerpes_caeruleus",67
"Cyanerpes_cyaneus",43
"Cyanocorax_yncas",21
"Cyanoloxia_cyanoides",13
"Cyanolyca_viridicyanus",24
"Cymbilaimus_lineatus",44
"Cymbilaimus_sanctaemariae",17
"Dacnis_cayana",44
"Dacnis_lineata",9
"Deconychura_longicauda",16
"Dendrocincla_fuliginosa",51
"Dendrocincla_merula",8
"Dendrocincla_tyrannina",23
"Dendrocolaptes_picumnus",35
"Dendroma_erythroptera",21
"Dendroplex_picus",16
"Diglossa_brunneiventris",9
"Diglossa_caerulescens",12
"Diglossa_cyanea",67
"Diglossa_glauca",41
"Diglossa_mystacalis",8
"Diglossa_sittoides",35
"Drymophila_devillei",30
"Drymotoxeres_pucheranii",17
"Dryobates_nigriceps",24
"Dubusia_castaneoventris",16
"Dysithamnus_mentalis",10
"Elaenia_albiceps",28
"Elaenia_gigas",18
"Elaenia_obscura",15
"Elaenia_pallatangae",81
"Elaenia_parvirostris",5
"Entomodestes_leucotis",52
"Epinecrophylla_erythrura",64
"Epinecrophylla_leucophthalma",54
"Epinecrophylla_ornata",14
"Eubucco_richardsoni",33
"Eubucco_tucinkae",49
"Eubucco_versicolor",62
"Euphonia_mesochrysa",48
"Euphonia_rufiventris",36
"Euphonia_xanthogaster",110
"Galbula_cyanescens",18
"Glyphorynchus_spirurus",106
"Gymnoderus_foetidus",19
"Habia_rubica",19
"Hafferia_fortis",9
"Hemithraupis_flavicollis",54
"Hemithraupis_guira",57
"Hemitriccus_granadensis",44
"Hemitriccus_rufigularis",11
"Herpsilochmus_axillaris",25
"Herpsilochmus_rufimarginatus",29
"Hypocnemis_subflava",15
"Icterus_cayanensis",19
"Iridophanes_pulcherrimus",47
"Iridosornis_analis",66
