"","species_taxonomy_SACC_2021","deg_binary","species","species_jetz","TipLabel"
"1","Akletos_goeldii",10,"Myrmeciza goeldi","Myrmeciza goeldii","Myrmeciza_goeldii"
"2","Ampelion_rubrocristatus",15,"Ampelion rubrocristatus","Ampelion rubrocristatus","Ampelion_rubrocristatus"
"3","Anabacerthia_ruficaudata",12,"Philydor ruficaudatum","Philydor ruficaudatum","Philydor_ruficaudatum"
"4","Anabacerthia_striaticollis",78,"Anabacerthia striaticollis","Anabacerthia striaticollis","Anabacerthia_striaticollis"
"5","Anabazenops_dorsalis",51,"Anabazenops dorsalis","Anabazenops dorsalis","Anabazenops_dorsalis"
"6","Ancistrops_strigilatus",11,"Ancistrops strigilatus","Ancistrops strigilatus","Ancistrops_strigilatus"
"7","Anisognathus_igniventris",40,"Anisognathus igniventris","Anisognathus igniventris","Anisognathus_igniventris"
"8","Anisognathus_somptuosus",17,"Anisognathus somptuosus","Anisognathus somptuosus","Anisognathus_somptuosus"
"9","Arremon_taciturnus",20,"Arremon taciturnus","Arremon taciturnus","Arremon_taciturnus"
"10","Arremon_torquatus",10,"Arremon torquatus","Arremon torquatus","Arremon_torquatus"
"11","Atlapetes_melanolaemus",64,"Atlapetes melanolaemus","Atlapetes melanolaemus","Atlapetes_melanolaemus"
"12","Automolus_infuscatus",68,"Automolus infuscatus","Automolus infuscatus","Automolus_infuscatus"
"13","Automolus_melanopezus",43,"Automolus melanopezus","Automolus melanopezus","Automolus_melanopezus"
"14","Automolus_ochrolaemus",127,"Automolus ochrolaemus","Automolus ochrolaemus","Automolus_ochrolaemus"
"15","Automolus_rufipileatus",18,"Automolus rufipileatus","Automolus rufipileatus","Automolus_rufipileatus"
"16","Automolus_subulatus",45,"Hyloctistes subulatus","Hyloctistes subulatus","Hyloctistes_subulatus"
"17","Basileuterus_tristriatus",66,"Basileuterus tristriatus","Basileuterus tristriatus","Basileuterus_tristriatus"
"18","Bucco_capensis",16,"Bucco capensis","Bucco capensis","Bucco_capensis"
"19","Buthraupis_montana",47,"Buthraupis montana","Buthraupis montana","Buthraupis_montana"
"20","Cacicus_chrysonotus",27,"Cacicus chrysonotus","Cacicus chrysonotus","Cacicus_chrysonotus"
"21","Campephilus_melanoleucos",7,"Campephilus melanoleucos","Campephilus melanoleucos","Campephilus_melanoleucos"
"22","Campephilus_rubricollis",21,"Campephilus rubricollis","Campephilus rubricollis","Campephilus_rubricollis"
"23","Campylorhamphus_trochilirostris",35,"Campylorhamphus trochilirostris","Campylorhamphus trochilirostris","Campylorhamphus_trochilirostris"
"24","Capito_auratus",60,"Capito auratus","Capito auratus","Capito_auratus"
"25","Catamblyrhynchus_diadema",14,"Catamblyrhynchus diadema","Catamblyrhynchus diadema","Catamblyrhynchus_diadema"
"26","Celeus_grammicus",38,"Celeus grammicus","Celeus grammicus","Celeus_grammicus"
"27","Ceratopipra_chloromeros",5,"Dixiphia chloromeros","Pipra chloromeros","Pipra_chloromeros"
"28","Cercomacra_manu",7,"Cercomacra manu","Cercomacra manu","Cercomacra_manu"
"29","Chalcothraupis_ruficervix",57,"Tangara ruficervix","Tangara ruficervix","Tangara_ruficervix"
"30","Chiroxiphia_boliviana",21,"Chiroxiphia boliviana","Chiroxiphia boliviana","Chiroxiphia_boliviana"
"31","Chlorochrysa_calliparaea",106,"Chlorochrysa calliparaea","Chlorochrysa calliparaea","Chlorochrysa_calliparaea"
"32","Chlorophanes_spiza",74,"Chlorophanes spiza","Chlorophanes spiza","Chlorophanes_spiza"
"33","Chlorophonia_cyanea",55,"Chlorophonia cyanea","Chlorophonia cyanea","Chlorophonia_cyanea"
"34","Chloropipo_unicolor",27,"Xenopipo unicolor","Xenopipo unicolor","Xenopipo_unicolor"
"35","Chlorornis_riefferii",49,"Chlorornis riefferii","Chlorornis riefferii","Chlorornis_riefferii"
"36","Chlorospingus_flavigularis",106,"Chlorospingus flavigularis","Chlorospingus flavigularis","Chlorospingus_flavigularis"
"37","Chlorospingus_flavopectus",58,"Chlorospingus ophthalmicus","Chlorospingus ophthalmicus","Chlorospingus_ophthalmicus"
"38","Chlorospingus_parvirostris",32,"Chlorospingus parvirostris","Chlorospingus parvirostris","Chlorospingus_parvirostris"
"39","Chlorothraupis_carmioli",60,"Chlorothraupis carmioli","Chlorothraupis carmioli","Chlorothraupis_carmioli"
"40","Cinnycerthia_fulva",34,"Cinnycerthia fulva","Cinnycerthia fulva","Cinnycerthia_fulva"
"41","Cissopis_leverianus",18,"Cissopis leverianus","Cissopis leverianus","Cissopis_leverianus"
"42","Cnemoscopus_rubrirostris",37,"Cnemoscopus rubrirostris","Cnemoscopus rubrirostris","Cnemoscopus_rubrirostris"
"43","Cnemotriccus_fuscatus",11,"Cnemotriccus fuscatus","Cnemotriccus fuscatus","Cnemotriccus_fuscatus"
"44","Coccyzus_americanus",14,"Coccyzus americanus","Coccyzus americanus","Coccyzus_americanus"
"45","Coccyzus_melacoryphus",15,"Coccyzus melacoryphus","Coccyzus melacoryphus","Coccyzus_melacoryphus"
"46","Coereba_flaveola",27,"Coereba flaveola","Coereba flaveola","Coereba_flaveola"
"47","Colaptes_punctigula",13,"Colaptes punctigula","Colaptes punctigula","Colaptes_punctigula"
"48","Colaptes_rivolii",22,"Colaptes rivolii","Colaptes rivolii","Colaptes_rivolii"
"49","Colaptes_rubiginosus",31,"Colaptes rubiginosus","Colaptes rubiginosus","Colaptes_rubiginosus"
"50","Conirostrum_albifrons",43,"Conirostrum albifrons","Conirostrum albifrons","Conirostrum_albifrons"
"51","Conirostrum_ferrugineiventre",7,"Conirostrum ferrugineiventre","Conirostrum ferrugineiventre","Conirostrum_ferrugineiventre"
"52","Conirostrum_sitticolor",32,"Conirostrum sitticolor","Conirostrum sitticolor","Conirostrum_sitticolor"
"53","Conopias_cinchoneti",31,"Conopias cinchoneti","Conopias cinchoneti","Conopias_cinchoneti"
"54","Conopophaga_peruviana",2,"Conopophaga peruviana","Conopophaga peruviana","Conopophaga_peruviana"
"55","Contopus_fumigatus",21,"Contopus fumigatus","Contopus fumigatus","Contopus_fumigatus"
"56","Cranioleuca_curtata",8,"Cranioleuca curtata","Cranioleuca curtata","Cranioleuca_curtata"
"57","Cranioleuca_gutturata",33,"Cranioleuca gutturata","Cranioleuca gutturata","Cranioleuca_gutturata"
"58","Cranioleuca_marcapatae",29,"Cranioleuca marcapatae","Cranioleuca marcapatae","Cranioleuca_marcapatae"
"59","Creurgops_dentatus",54,"Creurgops dentatus","Creurgops dentatus","Creurgops_dentatus"
"60","Cryptopipo_holochlora",7,"Xenopipo holochlora","Xenopipo holochlora","Xenopipo_holochlora"
"61","Cyanerpes_caeruleus",67,"Cyanerpes caeruleus","Cyanerpes caeruleus","Cyanerpes_caeruleus"
"62","Cyanerpes_cyaneus",43,"Cyanerpes cyaneus","Cyanerpes cyaneus","Cyanerpes_cyaneus"
"63","Cyanocorax_yncas",21,"Cyanocorax yncas","Cyanocorax yncas","Cyanocorax_yncas"
"64","Cyanoloxia_cyanoides",13,"Cyanocompsa cyanoides","Cyanocompsa cyanoides","Cyanocompsa_cyanoides"
"65","Cyanolyca_viridicyanus",24,"Cyanolyca viridicyanus","Cyanolyca viridicyanus","Cyanolyca_viridicyanus"
"66","Cymbilaimus_lineatus",44,"Cymbilaimus lineatus","Cymbilaimus lineatus","Cymbilaimus_lineatus"
"67","Cymbilaimus_sanctaemariae",17,"Cymbilaimus sanctaemariae","Cymbilaimus sanctaemariae","Cymbilaimus_sanctaemariae"
"68","Dacnis_cayana",44,"Dacnis cayana","Dacnis cayana","Dacnis_cayana"
"69","Dacnis_lineata",9,"Dacnis lineata","Dacnis lineata","Dacnis_lineata"
"70","Deconychura_longicauda",16,"Deconychura longicauda","Deconychura longicauda","Deconychura_longicauda"
"71","Dendrocincla_fuliginosa",51,"Dendrocincla fuliginosa","Dendrocincla fuliginosa","Dendrocincla_fuliginosa"
"72","Dendrocincla_merula",8,"Dendrocincla merula","Dendrocincla merula","Dendrocincla_merula"
"73","Dendrocincla_tyrannina",23,"Dendrocincla tyrannina","Dendrocincla tyrannina","Dendrocincla_tyrannina"
"74","Dendrocolaptes_picumnus",35,"Dendrocolaptes picumnus","Dendrocolaptes picumnus","Dendrocolaptes_picumnus"
"75","Dendroma_erythroptera",21,"Philydor erythropterum","Philydor erythropterum","Philydor_erythropterum"
"76","Dendroplex_picus",16,"Xyphorinchus picus","Dendroplex picus","Dendroplex_picus"
"77","Diglossa_brunneiventris",9,"Diglossa brunneiventris","Diglossa brunneiventris","Diglossa_brunneiventris"
"78","Diglossa_caerulescens",12,"Diglossa caerulescens","Diglossa caerulescens","Diglossa_caerulescens"
"79","Diglossa_cyanea",67,"Diglossa cyanea","Diglossa cyanea","Diglossa_cyanea"
"80","Diglossa_glauca",41,"Diglossa glauca","Diglossa glauca","Diglossa_glauca"
"81","Diglossa_mystacalis",8,"Diglossa mystacalis","Diglossa mystacalis","Diglossa_mystacalis"
"82","Diglossa_sittoides",35,"Diglossa sittoides","Diglossa sittoides","Diglossa_sittoides"
"83","Drymophila_devillei",30,"Drymophila devillei","Drymophila devillei","Drymophila_devillei"
"84","Drymotoxeres_pucheranii",17,"Drymotoxeres pucheranii","Campylorhamphus pucherani","Campylorhamphus_pucherani"
"85","Dryobates_nigriceps",24,"Veniliornis nigriceps","Veniliornis nigriceps","Veniliornis_nigriceps"
"86","Dubusia_castaneoventris",16,"Delothraupis castaneoventris","Delothraupis castaneoventris","Delothraupis_castaneoventris"
"87","Dysithamnus_mentalis",10,"Dysithamnus mentalis","Dysithamnus mentalis","Dysithamnus_mentalis"
"88","Elaenia_albiceps",28,"Elaenia albiceps","Elaenia albiceps","Elaenia_albiceps"
"89","Elaenia_gigas",18,"Elaenia gigas","Elaenia gigas","Elaenia_gigas"
"90","Elaenia_obscura",15,"Elaenia obscura","Elaenia obscura","Elaenia_obscura"
"91","Elaenia_pallatangae",81,"Elaenia pallatangae","Elaenia pallatangae","Elaenia_pallatangae"
"92","Elaenia_parvirostris",5,"Elaenia parvirostris","Elaenia parvirostris","Elaenia_parvirostris"
"93","Entomodestes_leucotis",52,"Entomodestes leucotis","Entomodestes leucotis","Entomodestes_leucotis"
"94","Epinecrophylla_erythrura",64,"Myrmotherula erythrura","Epinecrophylla erythrura","Epinecrophylla_erythrura"
"95","Epinecrophylla_leucophthalma",54,"Epinecrophylla leucophthalma","Epinecrophylla leucophthalma","Epinecrophylla_leucophthalma"
"96","Epinecrophylla_ornata",14,"Epinecrophylla ornata","Epinecrophylla ornata","Epinecrophylla_ornata"
"97","Eubucco_richardsoni",33,"Eubucco richardsoni","Eubucco richardsoni","Eubucco_richardsoni"
"98","Eubucco_tucinkae",49,"Eubucco tucinkae","Eubucco tucinkae","Eubucco_tucinkae"
"99","Eubucco_versicolor",62,"Eubucco versicolor","Eubucco versicolor","Eubucco_versicolor"
"100","Euphonia_mesochrysa",48,"Euphonia mesochrysa","Euphonia mesochrysa","Euphonia_mesochrysa"
"101","Euphonia_rufiventris",36,"Euphonia rufiventris","Euphonia rufiventris","Euphonia_rufiventris"
"102","Euphonia_xanthogaster",110,"Euphonia xanthogaster","Euphonia xanthogaster","Euphonia_xanthogaster"
"103","Galbula_cyanescens",18,"Galbula cyanescens","Galbula cyanescens","Galbula_cyanescens"
"104","Glyphorynchus_spirurus",106,"Glyphorynchus spirurus","Glyphorynchus spirurus","Glyphorynchus_spirurus"
"105","Gymnoderus_foetidus",19,"Gymnoderus foetidus","Gymnoderus foetidus","Gymnoderus_foetidus"
"106","Habia_rubica",19,"Habia rubica","Habia rubica","Habia_rubica"
"107","Hafferia_fortis",9,"Myrmeciza fortis","Myrmeciza fortis","Myrmeciza_fortis"
"108","Hemithraupis_flavicollis",54,"Hemithraupis flavicollis","Hemithraupis flavicollis","Hemithraupis_flavicollis"
"109","Hemithraupis_guira",57,"Hemithraupis guira","Hemithraupis guira","Hemithraupis_guira"
"110","Hemitriccus_granadensis",44,"Hemitriccus granadensis","Hemitriccus granadensis","Hemitriccus_granadensis"
"111","Hemitriccus_rufigularis",11,"Hemitriccus rufigularis","Hemitriccus rufigularis","Hemitriccus_rufigularis"
"112","Herpsilochmus_axillaris",25,"Herpsilochmus axillaris","Herpsilochmus axillaris","Herpsilochmus_axillaris"
"113","Herpsilochmus_rufimarginatus",29,"Herpsilochmus rufimarginatus","Herpsilochmus rufimarginatus","Herpsilochmus_rufimarginatus"
"114","Hypocnemis_subflava",15,"Hypocnemis cantator","Hypocnemis cantator","Hypocnemis_cantator"
"115","Icterus_cayanensis",19,"Icterus cayanensis","Icterus cayanensis","Icterus_cayanensis"
"116","Iridophanes_pulcherrimus",47,"Iridophanes pulcherrimus","Iridophanes pulcherrimus","Iridophanes_pulcherrimus"
"117","Iridosornis_analis",66,"Iridosornis analis","Iridosornis analis","Iridosornis_analis"
"118","Iridosornis_jelskii",23,"Iridosornis jelskii","Iridosornis jelskii","Iridosornis_jelskii"
"119","Isleria_hauxwelli",18,"Isleria hauxwelli","Myrmotherula hauxwelli","Myrmotherula_hauxwelli"
"120","Ixothraupis_punctata",79,"Tangara punctata","Tangara punctata","Tangara_punctata"
"121","Ixothraupis_xanthogastra",48,"Tangara xanthogastra","Tangara xanthogastra","Tangara_xanthogastra"
"122","Kleinothraupis_atropileus",58,"Hemispingus atropileus","Hemispingus atropileus","Hemispingus_atropileus"
"123","Kleinothraupis_parodii",18,"Hemispingus parodii","Hemispingus parodii","Hemispingus_parodii"
"124","Knipolegus_signatus",17,"Knipolegus signatus","Knipolegus signatus","Knipolegus_signatus"
"125","Lanio_versicolor",96,"Lanio versicolor","Lanio versicolor","Lanio_versicolor"
"126","Lathrotriccus_euleri",48,"Lathrotriccus euleri","Lathrotriccus euleri","Lathrotriccus_euleri"
"127","Legatus_leucophaius",11,"Legatus leucophaius","Legatus leucophaius","Legatus_leucophaius"
"128","Lepidocolaptes_lacrymiger",81,"Lepidocolaptes lacrymiger","Lepidocolaptes lacrymiger","Lepidocolaptes_lacrymiger"
"129","Lepidothrix_coronata",10,"Lepidothrix coronata","Lepidothrix coronata","Lepidothrix_coronata"
"130","Leptopogon_amaurocephalus",92,"Leptopogon amaurocephalus","Leptopogon amaurocephalus","Leptopogon_amaurocephalus"
"131","Leptopogon_superciliaris",111,"Leptopogon superciliaris","Leptopogon superciliaris","Leptopogon_superciliaris"
"132","Loriotus_cristatus",24,"Tachyphonus cristatus","Tachyphonus cristatus","Tachyphonus_cristatus"
"133","Loriotus_luctuosus",43,"Tachyphonus luctuosus","Tachyphonus luctuosus","Tachyphonus_luctuosus"
"134","Loriotus_rufiventer",126,"Tachyphonus rufiventer","Tachyphonus rufiventer","Tachyphonus_rufiventer"
"135","Malacoptila_fulvogularis",15,"Malacoptila fulvogularis","Malacoptila fulvogularis","Malacoptila_fulvogularis"
"136","Margarornis_squamiger",56,"Margarornis squamiger","Margarornis squamiger","Margarornis_squamiger"
"137","Mecocerculus_leucophrys",57,"Mecocerculus leucophrys","Mecocerculus leucophrys","Mecocerculus_leucophrys"
"138","Mecocerculus_stictopterus",65,"Mecocerculus stictopterus","Mecocerculus stictopterus","Mecocerculus_stictopterus"
"139","Melanerpes_cruentatus",19,"Melanerpes cruentatus","Melanerpes cruentatus","Melanerpes_cruentatus"
"140","Metopothrix_aurantiaca",22,"Metopothrix aurantiaca","Metopothrix aurantiaca","Metopothrix_aurantiaca"
"141","Microrhopias_quixensis",49,"Microrhopias quixensis","Microrhopias quixensis","Microrhopias_quixensis"
"142","Microspingus_trifasciatus",26,"Hemispingus trifasciatus","Hemispingus trifasciatus","Hemispingus_trifasciatus"
"143","Mionectes_macconnelli",39,"Mionectes macconnelli","Mionectes macconnelli","Mionectes_macconnelli"
"144","Mionectes_oleagineus",62,"Mionectes oleagineus","Mionectes oleagineus","Mionectes_oleagineus"
"145","Mionectes_olivaceus",76,"Mionectes olivaceus","Mionectes olivaceus","Mionectes_olivaceus"
"146","Mionectes_striaticollis",107,"Mionectes striaticollis","Mionectes striaticollis","Mionectes_striaticollis"
"147","Monasa_morphoeus",68,"Monasa morphoeus","Monasa morphoeus","Monasa_morphoeus"
"148","Monasa_nigrifrons",25,"Monasa nigrifrons","Monasa nigrifrons","Monasa_nigrifrons"
"149","Myiarchus_cephalotes",12,"Myiarchus cephalotes","Myiarchus cephalotes","Myiarchus_cephalotes"
"150","Myiarchus_tuberculifer",23,"Myiarchus tuberculifer","Myiarchus tuberculifer","Myiarchus_tuberculifer"
"151","Myiobius_barbatus",19,"Myiobius barbatus","Myiobius barbatus","Myiobius_barbatus"
"152","Myioborus_melanocephalus",69,"Myioborus melanocephalus","Myioborus melanocephalus","Myioborus_melanocephalus"
"153","Myioborus_miniatus",119,"Myioborus miniatus","Myioborus miniatus","Myioborus_miniatus"
"154","Myiodynastes_maculatus",12,"Myiodynastes maculatus","Myiodynastes maculatus","Myiodynastes_maculatus"
"155","Myiopagis_gaimardii",32,"Myiopagis gaimardii","Myiopagis gaimardii","Myiopagis_gaimardii"
"156","Myiophobus_fasciatus",14,"Myiophobus fasciatus","Myiophobus fasciatus","Myiophobus_fasciatus"
"157","Myiophobus_inornatus",17,"Myiophobus inornatus","Myiophobus inornatus","Myiophobus_inornatus"
