"","species_pair","species","species2","low_limit","high_limit"
"1","Cercomacra.manu&Akletos.goeldii","Cercomacra.manu","Akletos.goeldii",380.0000471,816.2073002
"2","Cercomacroides.serva&Akletos.goeldii","Cercomacroides.serva","Akletos.goeldii",380.0000471,816.2073002
"3","Cymbilaimus.sanctaemariae&Akletos.goeldii","Cymbilaimus.sanctaemariae","Akletos.goeldii",405.5124356,816.2073002
"4","Dysithamnus.mentalis&Akletos.goeldii","Dysithamnus.mentalis","Akletos.goeldii",583.0497077,816.2073002
"5","Epinecrophylla.ornata&Akletos.goeldii","Epinecrophylla.ornata","Akletos.goeldii",478.8607096,816.2073002
"6","Hafferia.fortis&Akletos.goeldii","Hafferia.fortis","Akletos.goeldii",380.0000471,613.5858084
"7","Hylophylax.naevius&Akletos.goeldii","Hylophylax.naevius","Akletos.goeldii",380.0000471,816.2073002
"8","Hypocnemis.subflava&Akletos.goeldii","Hypocnemis.subflava","Akletos.goeldii",451.2888823,816.2073002
"9","Microrhopias.quixensis&Akletos.goeldii","Microrhopias.quixensis","Akletos.goeldii",380.9074699,816.2073002
"10","Myrmelastes.brunneiceps&Akletos.goeldii","Myrmelastes.brunneiceps","Akletos.goeldii",380.0000471,746.5097098
"11","Myrmelastes.leucostigma&Akletos.goeldii","Myrmelastes.leucostigma","Akletos.goeldii",555.8201003,816.2073002
"12","Myrmoborus.leucophrys&Akletos.goeldii","Myrmoborus.leucophrys","Akletos.goeldii",380.0000471,816.2073002
"13","Myrmoborus.lophotes&Akletos.goeldii","Myrmoborus.lophotes","Akletos.goeldii",380.0000471,816.2073002
"14","Myrmoborus.myotherinus&Akletos.goeldii","Myrmoborus.myotherinus","Akletos.goeldii",380.0000471,747.5128609
"15","Myrmotherula.axillaris&Akletos.goeldii","Myrmotherula.axillaris","Akletos.goeldii",380.0000471,534.2222829
"16","Myrmotherula.brachyura&Akletos.goeldii","Myrmotherula.brachyura","Akletos.goeldii",380.0000471,776.2948127
"17","Myrmotherula.menetriesii&Akletos.goeldii","Myrmotherula.menetriesii","Akletos.goeldii",380.0000471,553.0720514
"18","Oneillornis.salvini&Akletos.goeldii","Oneillornis.salvini","Akletos.goeldii",380.0000471,508.6982498
"19","Rhegmatorhina.melanosticta&Akletos.goeldii","Rhegmatorhina.melanosticta","Akletos.goeldii",380.0000471,816.2073002
"20","Sciaphylax.hemimelaena&Akletos.goeldii","Sciaphylax.hemimelaena","Akletos.goeldii",380.0000471,816.2073002
"21","Thamnomanes.ardesiacus&Akletos.goeldii","Thamnomanes.ardesiacus","Akletos.goeldii",380.0000471,525.366705
"22","Thamnomanes.schistogynus&Akletos.goeldii","Thamnomanes.schistogynus","Akletos.goeldii",380.0000471,782.9777507
"23","Thamnophilus.schistaceus&Akletos.goeldii","Thamnophilus.schistaceus","Akletos.goeldii",380.0000471,816.2073002
"24","Akletos.goeldii&Cercomacra.manu","Akletos.goeldii","Cercomacra.manu",380.0000471,816.2073002
"25","Cercomacroides.serva&Cercomacra.manu","Cercomacroides.serva","Cercomacra.manu",380,1047.448962
"26","Cymbilaimus.sanctaemariae&Cercomacra.manu","Cymbilaimus.sanctaemariae","Cercomacra.manu",405.5124356,1047.448962
"27","Dysithamnus.mentalis&Cercomacra.manu","Dysithamnus.mentalis","Cercomacra.manu",583.0497077,1047.448962
"28","Epinecrophylla.ornata&Cercomacra.manu","Epinecrophylla.ornata","Cercomacra.manu",478.8607096,1047.448962
"29","Epinecrophylla.spodionota&Cercomacra.manu","Epinecrophylla.spodionota","Cercomacra.manu",854.8672431,1047.448962
"30","Hafferia.fortis&Cercomacra.manu","Hafferia.fortis","Cercomacra.manu",380.0000471,613.5858084
"31","Herpsilochmus.axillaris&Cercomacra.manu","Herpsilochmus.axillaris","Cercomacra.manu",920.4601664,1047.448962
"32","Hylophylax.naevius&Cercomacra.manu","Hylophylax.naevius","Cercomacra.manu",380,1047.448962
"33","Hypocnemis.subflava&Cercomacra.manu","Hypocnemis.subflava","Cercomacra.manu",451.2888823,1047.448962
"34","Microrhopias.quixensis&Cercomacra.manu","Microrhopias.quixensis","Cercomacra.manu",380.9074699,1047.448962
"35","Myrmelastes.brunneiceps&Cercomacra.manu","Myrmelastes.brunneiceps","Cercomacra.manu",380.0000471,746.5097098
"36","Myrmelastes.leucostigma&Cercomacra.manu","Myrmelastes.leucostigma","Cercomacra.manu",555.8201003,1047.448962
"37","Myrmoborus.leucophrys&Cercomacra.manu","Myrmoborus.leucophrys","Cercomacra.manu",380,1047.448962
"38","Myrmoborus.lophotes&Cercomacra.manu","Myrmoborus.lophotes","Cercomacra.manu",380,1047.448962
"39","Myrmoborus.myotherinus&Cercomacra.manu","Myrmoborus.myotherinus","Cercomacra.manu",380.0000471,747.5128609
"40","Myrmotherula.axillaris&Cercomacra.manu","Myrmotherula.axillaris","Cercomacra.manu",380.0000471,534.2222829
"41","Myrmotherula.brachyura&Cercomacra.manu","Myrmotherula.brachyura","Cercomacra.manu",380.0000471,776.2948127
"42","Myrmotherula.longicauda&Cercomacra.manu","Myrmotherula.longicauda","Cercomacra.manu",969.1766003,1047.448962
