,elevation,flock_id,Ampelion_rubrocristatus,Anabacerthia_striaticollis,Anabazenops_dorsalis,Ancistrops_strigilatus,Anisognathus_igniventris,Anisognathus_somptuosus,Arremon_taciturnus,Arremon_torquatus,Atlapetes_melanolaemus,Automolus_infuscatus,Automolus_melanopezus,Automolus_ochrolaemus,Automolus_rufipileatus,Myiothlypis_bivittata,Myiothlypis_chrysogaster,Myiothlypis_coronata,Myiothlypis_luteoviridis,Myiothlypis_signata,Basileuterus_tristriatus,Bucco_capensis,Buthraupis_montana,Cacicus_chrysonotus,Campephilus_melanoleucos,Campephilus_rubricollis,Campylorhamphus_trochilirostris,Capito_auratus,Catamblyrhynchus_diadema,Celeus_grammicus,Cercomacra_manu,Chiroxiphia_boliviana,Chlorochrysa_calliparaea,Chlorophanes_spiza,Chlorophonia_cyanea,Chlorornis_riefferii,Chlorospingus_flavigularis,Chlorospingus_flavopectus,Chlorospingus_parvirostris,Chlorothraupis_carmioli,Cinnycerthia_fulva,Cissopis_leverianus,Cnemoscopus_rubrirostris,Cnemotriccus_fuscatus,Coccyzus_americanus,Coccyzus_melacoryphus,Coereba_flaveola,Colaptes_punctigula,Colaptes_rivolii,Colaptes_rubiginosus,Conirostrum_albifrons,Conirostrum_ferrugineiventre,Conirostrum_sitticolor,Conopias_cinchoneti,Conopophaga_peruviana,Contopus_fumigatus,Cranioleuca_curtata,Cranioleuca_gutturata,Cranioleuca_marcapatae,Creurgops_dentatus,Cyanerpes_caeruleus,Cyanerpes_cyaneus,Cyanoloxia_cyanoides,Cyanocorax_yncas,Cyanolyca_viridicyanus,Cymbilaimus_lineatus,Cymbilaimus_sanctaemariae,Dacnis_cayana,Dacnis_lineata,Deconychura_longicauda,Dubusia_castaneoventris,Dendrocincla_fuliginosa,Dendrocincla_merula,Dendrocincla_tyrannina,Dendrocolaptes_picumnus,Diglossa_brunneiventris,Diglossa_caerulescens,Diglossa_cyanea,Diglossa_glauca,Diglossa_mystacalis,Diglossa_sittoides,Drymophila_devillei,Drymotoxeres_pucheranii,Dysithamnus_mentalis,Elaenia_albiceps,Elaenia_gigas,Elaenia_obscura,Elaenia_pallatangae,Elaenia_parvirostris,Entomodestes_leucotis,Epinecrophylla_erythrura,Epinecrophylla_leucophthalma,Epinecrophylla_ornata,Eubucco_versicolor,Eubucco_richardsoni,Eubucco_tucinkae,Euphonia_mesochrysa,Euphonia_rufiventris,Euphonia_xanthogaster,Galbula_cyanescens,Glyphorynchus_spirurus,Gymnoderus_foetidus,Habia_rubica,Kleinothraupis_atropileus,Sphenopsis_melanotis,Kleinothraupis_parodii,Thlypopsis_superciliaris,Microspingus_trifasciatus,Pseudospingus_xanthophthalmus,Hemithraupis_flavicollis,Hemithraupis_guira,Hemitriccus_granadensis,Hemitriccus_rufigularis,Herpsilochmus_axillaris,Herpsilochmus_rufimarginatus,Automolus_subulatus,Pachysylvia_hypoxantha,Tunchiornis_ochraceiceps,Hypocnemis_subflava,Icterus_cayanensis,Iridophanes_pulcherrimus,Iridosornis_analis,Iridosornis_jelskii,Isleria_hauxwelli,Knipolegus_signatus,Lanio_versicolor,Lathrotriccus_euleri,Legatus_leucophaius,Lepidocolaptes_lacrymiger,Lepidothrix_coronata,Leptopogon_amaurocephalus,Leptopogon_superciliaris,Malacoptila_fulvogularis,Margarornis_squamiger,Mecocerculus_leucophrys,Mecocerculus_stictopterus,Melanerpes_cruentatus,Metopothrix_aurantiaca,Microrhopias_quixensis,Mionectes_macconnelli,Mionectes_oleagineus,Mionectes_olivaceus,Mionectes_striaticollis,Monasa_morphoeus,Monasa_nigrifrons,Myiarchus_cephalotes,Myiarchus_tuberculifer,Myiobius_barbatus,Myioborus_miniatus,Myioborus_melanocephalus,Myiodynastes_maculatus,Myiopagis_gaimardii,Myiophobus_fasciatus,Myiophobus_inornatus,Nephelomyias_ochraceiventris,Myiozetetes_cayanensis,Hafferia_fortis,Akletos_goeldii,Myrmoborus_leucophrys,Myrmoborus_myotherinus,Myrmotherula_axillaris,Myrmotherula_brachyura,Myrmotherula_longicauda,Myrmotherula_longipennis,Myrmotherula_menetriesii,Myrmotherula_multostriata,Myrmotherula_schisticolor,Ochthoeca_rufipectoralis,Odontorchilus_branickii,Pachyramphus_minor,Pachyramphus_polychopterus,Pachyramphus_versicolor,Setophaga_pitiayumi,Myrmoborus_lophotes,Pheucticus_aureoventris,Dendroma_erythroptera,Philydor_erythrocercum,Anabacerthia_ruficaudata,Phyllomyias_cinereiceps,Phylloscartes_ophthalmicus,Phylloscartes_poecilotis,Phylloscartes_ventralis,Piaya_cayana,Piculus_leucolaemus,Ceratopipra_chloromeros,Pipra_fasciicauda,Pipraeidea_melanonota,Pipreola_intermedia,Piranga_leucoptera,Piranga_flava,Piranga_olivacea,Poecilotriccus_albifacies,Poecilotriccus_latirostris,Poecilotriccus_plumbeiceps,Premnoplex_brunnescens,Premnornis_guttuliger,Pseudocolaptes_boissonneautii,Pygiptila_stellaris,Pyrrhomyias_cinnamomeus,Ramphocelus_carbo,Ramphotrigon_fuscicauda,Rhynchocyclus_fulvipectus,Saltator_grossus,Saltator_maximus,Sclerurus_obscurior,Syndactyla_ucayalae,Sittasomus_griseicapillus,Synallaxis_azarae,Loriotus_cristatus,Loriotus_luctuosus,Loriotus_rufiventer,Tangara_arthus,Tangara_callophrys,Tangara_chilensis,Tangara_chrysotis,Stilpnia_cyanicollis,Tangara_cyanotis,Tangara_gyrola,Tangara_mexicana,Tangara_nigroviridis,Tangara_parzudakii,Ixothraupis_punctata,Chalcothraupis_ruficervix,Tangara_schrankii,Tangara_vassorii,Tangara_velia,Tangara_xanthocephala,Ixothraupis_xanthogastra,Terenotriccus_erythrurus,Euchrepornis_callinota,Thamnomanes_ardesiacus,Thamnomanes_schistogynus,Thamnophilus_doliatus,Thamnophilus_aethiops,Thamnophilus_palliatus,Thamnophilus_schistaceus,Thamnophilus_unicolor,Thlypopsis_ornata,Thlypopsis_ruficeps,Rauenia_bonariensis,Sporathraupis_cyanocephala,Thraupis_episcopus,Thraupis_palmarum,Trichothraupis_melanops,Thripadectes_melanorhynchus,Thripophaga_fusciceps,Tityra_semifasciata,Todirostrum_chrysocrotaphum,Tolmomyias_assimilis,Troglodytes_solstitialis,Trogon_personatus,Trogon_collaris,Trogon_curucui,Trogon_melanurus,Trogon_violaceus,Trogon_viridis,Turdus_nigriceps,Dryobates_nigriceps,Vireo_leucophrys,Vireo_olivaceus,Cryptopipo_holochlora,Chloropipo_unicolor,Xenops_minutus,Xenops_rutilans,Xenops_tenuirostris,Xiphocolaptes_promeropirhynchus,Xiphorhynchus_elegans,Xiphorhynchus_guttatus,Xiphorhynchus_ocellatus,Xiphorhynchus_triangularis,Dendroplex_picus,Zimmerius_bolivianus
1,1273,F001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1267,F002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1390,F003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,1306,F004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1298,F005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1320,F006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
7,1468,F007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1385,F008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1348,F009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1354,F010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
