species,low_limit,high_limit
Ammodramus_aurifrons,380.0000471,816.2073002
Anabazenops_dorsalis,380.0000471,816.2073002
Arremon_taciturnus,380.0000471,789.8583768
Automolus_infuscatus,380.0000471,576.1070774
Automolus_ochrolaemus,380.0000471,816.2073002
Automolus_rufipileatus,380.0000471,659.9768402
Automolus_subulatus,380.0000471,724.7440193
Campephilus_melanoleucos,380.0000471,810.587347
Campylorhamphus_trochilirostris,380.0000471,816.2073002
Campylorhynchus_turdinus,380.0000471,816.2073002
Capito_auratus,380.0000471,816.2073002
Catharus_maculatus,380.0000471,816.2073002
Catharus_ustulatus,380.0000471,816.2073002
Ceratopipra_chloromeros,380.0000471,635.2510097
Cercomacra_manu,380.0000471,816.2073002
Cercomacroides_serva,380.0000471,816.2073002
Chlorothraupis_carmioli,380.0000471,816.2073002
Clibanornis_rubiginosus,380.0000471,816.2073002
Corythopis_torquatus,380.0000471,663.6282747
Cryptopipo_holochlora,380.0000471,741.5720476
Cyanerpes_caeruleus,380.0000471,816.2073002
Cyanocorax_violaceus,380.0000471,816.2073002
Cyanoloxia_cyanoides,380.0000471,676.2608194
Cymbilaimus_sanctaemariae,405.5124356,816.2073002
Deconychura_longicauda,380.0000471,816.2073002
Dendrexetastes_rufigula,380.0000471,816.2073002
Dendrocincla_fuliginosa,380.0000471,816.2073002
Dendrocolaptes_picumnus,380.0000471,816.2073002
Dysithamnus_mentalis,583.0497077,816.2073002
Epinecrophylla_ornata,478.8607096,816.2073002
Euphonia_rufiventris,380.0000471,733.6059807
Euphonia_xanthogaster,719.2837437,816.2073002
Galbula_cyanescens,380.0000471,816.2073002
Glyphorynchus_spirurus,380.0000471,700.9939589
Hafferia_fortis,380.0000471,613.5858084
Hylophylax_naevius,380.0000471,816.2073002
Hypocnemis_subflava,451.2888823,816.2073002
Lanio_versicolor,380.0000471,806.5349696
Lathrotriccus_euleri,380.0000471,816.2073002
Legatus_leucophaius,380.0000471,816.2073002
Lepidothrix_coronata,380.0000471,542.4015667
Leptopogon_amaurocephalus,380.0000471,619.196993
Loriotus_rufiventer,380.0000471,816.2073002
Machaeropterus_pyrocephalus,380.0000471,816.2073002
Malacoptila_semicincta,380.0000471,713.329019
Microcerculus_marginatus,380.0000471,816.2073002
Micromonacha_lanceolata,760.8903,816.2073002
Microrhopias_quixensis,380.9074699,816.2073002
Mionectes_macconnelli,380.0000471,533.9964236
Mionectes_oleagineus,380.0000471,637.0630182
Mionectes_olivaceus,380.0000727,816.2073002
Mionectes_striaticollis,392.9517686,816.2073002
Myadestes_ralloides,584.7768255,816.2073002
Myiobius_barbatus,380.0000471,504.430549
Myiobius_villosus,757.8127699,816.2073002
Myiodynastes_chrysocephalus,695.1247549,816.2073002
Myiotheretes_striaticollis,572.5914365,816.2073002
Myiothlypis_chrysogaster,614.0064834,816.2073002
Myiothlypis_fulvicauda,380.0000471,715.2676102
Myiotriccus_ornatus,772.9249806,816.2073002
Myrmelastes_brunneiceps,380.0000471,746.5097098
Myrmelastes_leucostigma,555.8201003,816.2073002
Myrmoborus_leucophrys,380.0000471,816.2073002
Myrmoborus_lophotes,380.0000471,816.2073002
Myrmoborus_myotherinus,380.0000471,747.5128609
Myrmotherula_axillaris,380.0000471,534.2222829
Myrmotherula_brachyura,380.0000471,776.2948127
Myrmotherula_menetriesii,380.0000471,553.0720514
Oneillornis_salvini,380.0000471,508.6982498
Pachysylvia_hypoxantha,380.0000471,636.6950575
Pheugopedius_genibarbis,686.3796686,816.2073002
Piaya_cayana,380.0000471,816.2073002
Pipra_fasciicauda,380.0000471,531.4677202
Psarocolius_angustifrons,380.0000471,816.2073002
Psarocolius_bifasciatus,380.0000471,772.4584179
Psarocolius_decumanus,380.0000471,816.2073002
Ramphocelus_carbo,380.0000471,816.2073002
Ramphotrigon_megacephalum,502.5432852,816.2073002
Rhegmatorhina_melanosticta,380.0000471,816.2073002
Saltator_grossus,380.0000471,737.1027516
Saltator_maximus,380.0000471,816.2073002
Schiffornis_turdina,506.2266987,816.2073002
Sciaphylax_hemimelaena,380.0000471,816.2073002
Spinus_magellanicus,803.5929157,816.2073002
Synallaxis_cabanisi,380.0000471,816.2073002
Syndactyla_ucayalae,380.0000471,816.2073002
Tangara_chilensis,380.0000471,816.2073002
Tangara_gyrola,380.0000471,816.2073002
Tangara_schrankii,380.0000471,630.5838781
Thamnomanes_ardesiacus,380.0000471,525.366705
Thamnomanes_schistogynus,380.0000471,782.9777507
Thamnophilus_schistaceus,380.0000471,816.2073002
Tolmomyias_assimilis,380.0000471,816.2073002
Troglodytes_aedon,380.0000471,816.2073002
Trogon_collaris,380.0000471,816.2073002
Trogon_curucui,380.0000471,816.2073002
Trogon_melanurus,380.0000471,699.243252
Trogon_violaceus,380.0000471,816.2073002
Tunchiornis_ochraceiceps,380.0000471,816.2073002
Turdus_hauxwelli,380.0000471,816.2073002
Turdus_ignobilis,380.0000471,816.2073002
Turdus_nigriceps,757.3182765,816.2073002
Vireo_leucophrys,380.0000471,816.2073002
Xenops_minutus,380.0000471,656.6093798
Xiphorhynchus_elegans,380.0000471,556.9725997
Xiphorhynchus_guttatus,380.0000471,741.2686403
Xiphorhynchus_ocellatus,501.1134514,816.2073002
Akletos_goeldii,380.0000471,816.2073002
Anabazenops_dorsalis,380.0000471,1070.321603
Arremon_taciturnus,380.0000471,789.8583768
Automolus_infuscatus,380.0000471,576.1070774
Automolus_ochrolaemus,380.0000471,1070.173187
Automolus_rufipileatus,380.0000471,659.9768402
Automolus_subulatus,380.0000471,724.7440193
Campephilus_melanoleucos,380.0000471,810.587347
Campylorhamphus_trochilirostris,380.0000471,1070.321603
Campylorhynchus_turdinus,380.0000471,1070.321603
Capito_auratus,380.0000471,974.6591689
Catharus_maculatus,380.0000471,1070.321603
Catharus_ustulatus,380.0000471,1070.321603
Ceratopipra_chloromeros,380.0000471,635.2510097
