,ectoparasite_code,species,species_taxonomy_SACC_2021,jetz_species,elevation_all_years,net_elevation,elevation_extrapolated_date,Species_parameters,Event.Number,Station
5331,____,NA,NA,NA,NA,NA,NA,,P120644,
5336,____,NA,NA,NA,NA,NA,NA,,P121103,
5343,____,NA,NA,NA,NA,NA,NA,,VC120001,
5344,____,NA,NA,NA,NA,NA,NA,,VC120005,
5345,____,NA,NA,NA,NA,NA,NA,,VC120006,
5346,____,NA,NA,NA,NA,NA,NA,,VC120008,
5347,____,NA,NA,NA,NA,NA,NA,,VC120010,
5348,____,NA,NA,NA,NA,NA,NA,,VC120012,
5349,____,NA,NA,NA,NA,NA,NA,,VC120014,
5350,____,NA,NA,NA,NA,NA,NA,,VC120020,
5351,____,NA,NA,NA,NA,NA,NA,,VC120021,
5352,____,NA,NA,NA,NA,NA,NA,,VC120022,
5353,____,NA,NA,NA,NA,NA,NA,,VC120028,
5354,____,NA,NA,NA,NA,NA,NA,,VC120031,
5355,____,NA,NA,NA,NA,NA,NA,,VC120032,
5356,____,NA,NA,NA,NA,NA,NA,,VC120033,
5357,____,NA,NA,NA,NA,NA,NA,,VC120034,
5358,____,NA,NA,NA,NA,NA,NA,,VC120037,
5359,____,NA,NA,NA,NA,NA,NA,,VC120038,
5360,____,NA,NA,NA,NA,NA,NA,,VC120040,
5361,____,NA,NA,NA,NA,NA,NA,,VC120055,
5362,____,NA,NA,NA,NA,NA,NA,,VC120056,
5363,____,NA,NA,NA,NA,NA,NA,,VC120057,
5364,____,NA,NA,NA,NA,NA,NA,,VC120058,
5365,____,NA,NA,NA,NA,NA,NA,,VC120062,
5366,____,NA,NA,NA,NA,NA,NA,,VC120063,
5367,____,NA,NA,NA,NA,NA,NA,,VC120064,
5368,____,NA,NA,NA,NA,NA,NA,,VC120065,
5369,____,NA,NA,NA,NA,NA,NA,,VC120125,
5370,____,NA,NA,NA,NA,NA,NA,,VC120129,
5371,____,NA,NA,NA,NA,NA,NA,,VC120130,
5372,____,NA,NA,NA,NA,NA,NA,,VC120132,
5373,____,NA,NA,NA,NA,NA,NA,,VC120134,
5374,____,NA,NA,NA,NA,NA,NA,,VC120136,
5375,____,NA,NA,NA,NA,NA,NA,,VC120137,
5376,____,NA,NA,NA,NA,NA,NA,,VC120138,
5377,____,NA,NA,NA,NA,NA,NA,,VC120145,
5378,____,NA,NA,NA,NA,NA,NA,,VC120149,
5379,____,NA,NA,NA,NA,NA,NA,,VC120152,
5380,____,NA,NA,NA,NA,NA,NA,,VC120153,
5381,____,NA,NA,NA,NA,NA,NA,,VC120154,
5382,____,NA,NA,NA,NA,NA,NA,,VC120156,
5383,____,NA,NA,NA,NA,NA,NA,,VC120157,
5384,____,NA,NA,NA,NA,NA,NA,,VC120158,
5385,____,NA,NA,NA,NA,NA,NA,,VC120161,
5386,____,NA,NA,NA,NA,NA,NA,,VC120162,
5387,____,NA,NA,NA,NA,NA,NA,,VC120164,
5388,____,NA,NA,NA,NA,NA,NA,,VC120165,
5389,____,NA,NA,NA,NA,NA,NA,,VC120166,
5390,____,NA,NA,NA,NA,NA,NA,,VC120170,
5391,____,NA,NA,NA,NA,NA,NA,,VC120171,
5392,____,NA,NA,NA,NA,NA,NA,,VC120172,
5393,____,NA,NA,NA,NA,NA,NA,,VC120174,
5394,____,NA,NA,NA,NA,NA,NA,,VC120177,
5395,____,NA,NA,NA,NA,NA,NA,,VC120178,
5396,____,NA,NA,NA,NA,NA,NA,,VC120180,
5397,____,NA,NA,NA,NA,NA,NA,,VC120182,
5398,____,NA,NA,NA,NA,NA,NA,,VC120183,
5399,____,NA,NA,NA,NA,NA,NA,,VC120184,
5400,____,NA,NA,NA,NA,NA,NA,,VC120185,
5401,____,NA,NA,NA,NA,NA,NA,,VC120186,
5402,____,NA,NA,NA,NA,NA,NA,,VC120187,
5403,____,NA,NA,NA,NA,NA,NA,,VC120188,
5404,____,NA,NA,NA,NA,NA,NA,,VC120189,
5405,____,NA,NA,NA,NA,NA,NA,,VC120190,
5406,____,NA,NA,NA,NA,NA,NA,,VC120194,
5407,____,NA,NA,NA,NA,NA,NA,,VC120196,
5408,____,NA,NA,NA,NA,NA,NA,,VC120197,
5409,____,NA,NA,NA,NA,NA,NA,,VC120199,
5410,____,NA,NA,NA,NA,NA,NA,,VC120201,
5411,____,NA,NA,NA,NA,NA,NA,,VC120202,
5412,____,NA,NA,NA,NA,NA,NA,,VC120203,
5413,____,NA,NA,NA,NA,NA,NA,,VC120205,
5414,____,NA,NA,NA,NA,NA,NA,,VC120207,
5415,____,NA,NA,NA,NA,NA,NA,,VC120208,
5416,____,NA,NA,NA,NA,NA,NA,,VC120210,
5417,____,NA,NA,NA,NA,NA,NA,,VC120212,
5418,____,NA,NA,NA,NA,NA,NA,,VC120213,
5419,____,NA,NA,NA,NA,NA,NA,,VC120215,
5420,____,NA,NA,NA,NA,NA,NA,,VC120216,
5421,____,NA,NA,NA,NA,NA,NA,,VC120217,
5422,____,NA,NA,NA,NA,NA,NA,,VC120219,
