"","species_jetz","low_limit","high_limit"
"1","Aburria_aburri",1074,1948
"2","Accipiter_bicolor",426,426
"3","Accipiter_collaris",1395,1395
"4","Accipiter_striatus",1514,2995
"5","Accipiter_superciliosus",415,415
"6","Adelomyia_melanogenys",938,2995
"7","Aglaeactis_castelnaudii",2911,2937
"8","Aglaeactis_cupripennis",2521,2991
"9","Aglaiocercus_kingi",1224,2650
"10","Amazilia_chionogaster",797,797
"11","Amazilia_lactea",415,415
"12","Amazilia_viridicauda",1501,1501
"13","Amazona_farinosa",398,837
"14","Amazona_mercenaria",826,2942
"15","Amazona_ochrocephala",398,749
"16","Amblycercus_holosericeus",2458,3013
"17","Ammodramus_aurifrons",387,1492
"18","Ampelion_rubrocristatus",2521,2924
"19","Ampelion_rufaxilla",2820,2820
"20","Anabacerthia_striaticollis",969,2728
"21","Anabazenops_dorsalis",397,1304
"22","Anairetes_parulus",2816,2973
"23","Ancistrops_strigilatus",411,980
"24","Andigena_hypoglauca",2525,3159
"25","Anisognathus_igniventris",1717,3482
"26","Anisognathus_somptuosus",1514,2470
"27","Ara_ararauna",398,829
"28","Ara_macao",402,425
"29","Ara_militaris",718,1716
"30","Ara_severus",400,1236
"31","Aramides_cajanea",865,865
"32","Aratinga_leucophthalma",398,878
"33","Aratinga_mitrata",1621,3414
"34","Aratinga_weddellii",399,536
"35","Arremon_brunneinucha",1362,2109
"36","Arremon_castaneiceps",1129,1735
"37","Arremon_taciturnus",385,989
"38","Arremon_torquatus",2475,3032
"39","Atlapetes_melanolaemus",1383,3239
"40","Attila_spadiceus",399,1173
"41","Aulacorhynchus_coeruleicinctis",1454,2937
"42","Aulacorhynchus_derbianus",990,1852
"43","Aulacorhynchus_prasinus",381,1429
"44","Automolus_infuscatus",385,1134
"45","Automolus_melanopezus",354,1024
"46","Automolus_ochrolaemus",381,1655
"47","Automolus_rubiginosus",398,1279
"48","Automolus_rufipileatus",376,989
"49","Baryphthengus_martii",385,1621
"50","Basileuterus_bivittatus",634,1591
"51","Basileuterus_chrysogaster",535,1282
"52","Basileuterus_coronatus",1307,2728
"53","Basileuterus_luteoviridis",2305,3215
"54","Basileuterus_signatus",1428,2993
"55","Basileuterus_tristriatus",1146,2973
"56","Boissonneaua_matthewsii",1514,2974
"57","Bolborhynchus_lineola",1551,3383
"58","Bolborhynchus_orbygnesius",2673,2973
"59","Brotogeris_cyanoptera",414,426
"60","Brotogeris_sanctithomae",398,1074
"61","Bucco_capensis",395,449
"62","Bucco_macrodactylus",381,435
"63","Buteo_magnirostris",413,1202
"64","Buteo_platypterus",2937,2937
"65","Buteo_polyosoma",2972,2972
"66","Buteogallus_urubitinga",409,409
"67","Buthraupis_montana",2295,3239
"68","Cacicus_cela",381,934
"69","Cacicus_chrysonotus",2010,3342
"70","Cacicus_solitarius",381,387
"71","Campephilus_haematogaster",1362,2981
"72","Campephilus_melanoleucos",399,1336
"73","Campephilus_rubricollis",400,878
"74","Camptostoma_obsoletum",387,387
"75","Campylopterus_largipennis",381,1610
"76","Campylorhamphus_pucherani",797,2795
"77","Campylorhamphus_trochilirostris",381,1514
"78","Campylorhynchus_turdinus",400,1332
"79","Capito_auratus",398,1141
"80","Carduelis_magellanica",797,2973
"81","Carduelis_olivacea",1376,2741
"82","Catamblyrhynchus_diadema",1573,2981
"83","Catharus_dryas",1117,1573
"84","Catharus_fuscater",1348,2745
"85","Catharus_ustulatus",344,2650
"86","Celeus_flavus",381,381
"87","Celeus_grammicus",410,725
"88","Celeus_spectabilis",381,381
"89","Cephalopterus_ornatus",1262,1583
