"","species_jetz","low_limit","high_limit","n","species_from_detections","species_taxonomy_SACC_2021"
"1","Aburria_aburri",1074,1948,47,"Aburria_aburri","Aburria_aburri"
"2","Accipiter_bicolor",426,426,1,"Accipiter_bicolor","Accipiter_bicolor"
"3","Accipiter_collaris",1395,1395,1,"Accipiter_collaris","Accipiter_collaris"
"4","Accipiter_striatus",1514,2995,12,"Accipiter_striatus","Accipiter_striatus"
"5","Accipiter_superciliosus",415,415,1,"Accipiter_superciliosus","Accipiter_superciliosus"
"6","Adelomyia_melanogenys",938,2995,209,"Adelomyia_melanogenys","Adelomyia_melanogenys"
"7","Aglaeactis_castelnaudii",2911,2937,9,"Aglaeactis_castelnaudii","Aglaeactis_castelnaudii"
"8","Aglaeactis_cupripennis",2521,2991,38,"Aglaeactis_cupripennis","Aglaeactis_cupripennis"
"9","Aglaiocercus_kingi",1224,2650,32,"Aglaiocercus_kingii","Aglaiocercus_kingii"
"10","Amazilia_chionogaster",797,797,1,"Amazilia_chionogaster","Elliotomyia_chionogaster"
"11","Amazilia_lactea",415,415,1,"Amazilia_lactea","Chionomesa_lactea"
"12","Amazilia_viridicauda",1501,1501,1,"Amazilia_viridicauda","Elliotomyia_viridicauda"
"13","Amazona_farinosa",398,837,39,"Amazona_farinosa","Amazona_farinosa"
"14","Amazona_mercenaria",826,2942,136,"Amazona_mercenarius","Amazona_mercenarius"
"15","Amazona_ochrocephala",398,749,34,"Amazona_ochrocephala","Amazona_ochrocephala"
"16","Amblycercus_holosericeus",2458,3013,25,"Amblycercus_holosericeus","Amblycercus_holosericeus"
"17","Ammodramus_aurifrons",387,1492,46,"Ammodramus_aurifrons","Ammodramus_aurifrons"
"18","Ampelion_rubrocristatus",2521,2924,18,"Ampelion_rubrocristatus","Ampelion_rubrocristatus"
"19","Ampelion_rufaxilla",2820,2820,1,"Ampelion_rufaxilla","Ampelion_rufaxilla"
"20","Anabacerthia_striaticollis",969,2728,311,"Anabacerthia_striaticollis","Anabacerthia_striaticollis"
"21","Anabazenops_dorsalis",397,1304,78,"Anabazenops_dorsalis","Anabazenops_dorsalis"
"22","Anairetes_parulus",2816,2973,6,"Anairetes_parulus","Anairetes_parulus"
"23","Ancistrops_strigilatus",411,980,24,"Ancistrops_strigilatus","Ancistrops_strigilatus"
"24","Andigena_hypoglauca",2525,3159,70,"Andigena_hypoglauca","Andigena_hypoglauca"
"25","Anisognathus_igniventris",1717,3482,241,"Anisognathus_igniventris","Anisognathus_igniventris"
"26","Anisognathus_somptuosus",1514,2470,153,"Anisognathus_somptuosus","Anisognathus_somptuosus"
"27","Ara_ararauna",398,829,22,"Ara_ararauna","Ara_ararauna"
"28","Ara_macao",402,425,2,"Ara_macao","Ara_macao"
"29","Ara_militaris",718,1716,14,"Ara_militaris","Ara_militaris"
"30","Ara_severus",400,1236,83,"Ara_severus","Ara_severus"
"31","Aramides_cajanea",865,865,1,"Aramides_cajaneus","Aramides_cajaneus"
"32","Aratinga_leucophthalma",398,878,107,"Aratinga_leucophthalma","Psittacara_leucophthalmus"
"33","Aratinga_leucophthalma",398,878,107,NA,"Psittacara_leucophtalmus"
"34","Aratinga_mitrata",1621,3414,38,"Aratinga_mitrata","Psittacara_mitratus"
"35","Aratinga_weddellii",399,536,28,"Aratinga_weddellii","Aratinga_weddellii"
