"","species_jetz","low_limit","high_limit","species_taxonomy_SACC_2021","flocking","species_from_detections"
"1","Ampelion_rubrocristatus",2521,2924,"Ampelion_rubrocristatus","yes","Ampelion rubrocristatus"
"2","Anabacerthia_striaticollis",969,2728,"Anabacerthia_striaticollis","yes","Anabacerthia striaticollis"
"3","Anabazenops_dorsalis",397,1304,"Anabazenops_dorsalis","yes","Anabazenops dorsalis"
"4","Ancistrops_strigilatus",411,980,"Ancistrops_strigilatus","yes","Ancistrops strigilatus"
"5","Anisognathus_igniventris",1717,3482,"Anisognathus_igniventris","yes","Anisognathus igniventris"
"6","Anisognathus_somptuosus",1514,2470,"Anisognathus_somptuosus","yes","Anisognathus somptuosus"
"7","Arremon_taciturnus",385,989,"Arremon_taciturnus","yes","Arremon taciturnus"
"8","Arremon_torquatus",2475,3032,"Arremon_torquatus","yes","Arremon torquatus"
"9","Atlapetes_melanolaemus",1383,3239,"Atlapetes_melanolaemus","yes","Atlapetes melanolaemus"
"10","Automolus_infuscatus",385,1134,"Automolus_infuscatus","yes","Automolus infuscatus"
"11","Automolus_melanopezus",354,1024,"Automolus_melanopezus","yes","Automolus melanopezus"
"12","Automolus_ochrolaemus",381,1655,"Automolus_ochrolaemus","yes","Automolus ochrolaemus"
"13","Automolus_rufipileatus",376,989,"Automolus_rufipileatus","yes","Automolus rufipileatus"
"14","Basileuterus_bivittatus",634,1591,"Myiothlypis_bivittata","yes","Myiothlypis bivittata"
"15","Basileuterus_chrysogaster",535,1282,"Myiothlypis_chrysogaster","yes","Myiothlypis chrysogaster"
"16","Basileuterus_coronatus",1307,2728,"Myiothlypis_coronata","yes","Myiothlypis coronata"
"17","Basileuterus_luteoviridis",2305,3215,"Myiothlypis_luteoviridis","yes","Myiothlypis luteoviridis"
"18","Basileuterus_signatus",1428,2993,"Myiothlypis_signata","yes","Myiothlypis signata"
"19","Basileuterus_tristriatus",1146,2973,"Basileuterus_tristriatus","yes","Basileuterus tristriatus"
"20","Bucco_capensis",395,449,"Bucco_capensis","yes","Bucco capensis"
"21","Buthraupis_montana",2295,3239,"Buthraupis_montana","yes","Buthraupis montana"
"22","Cacicus_chrysonotus",2010,3342,"Cacicus_chrysonotus","yes","Cacicus chrysonotus"
"23","Campephilus_melanoleucos",399,1336,"Campephilus_melanoleucos","yes","Campephilus melanoleucos"
"24","Campephilus_rubricollis",400,878,"Campephilus_rubricollis","yes","Campephilus rubricollis"
"25","Campylorhamphus_pucherani",797,2795,"Drymotoxeres_pucheranii","yes","Drymotoxeres pucheranii"
"26","Campylorhamphus_trochilirostris",381,1514,"Campylorhamphus_trochilirostris","yes","Campylorhamphus trochilirostris"
"27","Capito_auratus",398,1141,"Capito_auratus","yes","Capito auratus"
"28","Catamblyrhynchus_diadema",1573,2981,"Catamblyrhynchus_diadema","yes","Catamblyrhynchus diadema"
"29","Celeus_grammicus",410,725,"Celeus_grammicus","yes","Celeus grammicus"
"30","Cercomacra_manu",397,942,"Cercomacra_manu","yes","Cercomacra manu"
"31","Chiroxiphia_boliviana",866,2033,"Chiroxiphia_boliviana","yes","Chiroxiphia boliviana"
"32","Chlorochrysa_calliparaea",969,1888,"Chlorochrysa_calliparaea","yes","Chlorochrysa calliparaea"
"33","Chlorophanes_spiza",402,1371,"Chlorophanes_spiza","yes","Chlorophanes spiza"
"34","Chlorophonia_cyanea",876,2527,"Chlorophonia_cyanea","yes","Chlorophonia cyanea"
"35","Chlorornis_riefferii",2292,3239,"Chlorornis_riefferii","yes","Chlorornis riefferii"
"36","Chlorospingus_flavigularis",850,2335,"Chlorospingus_flavigularis","yes","Chlorospingus flavigularis"
"37","Chlorospingus_ophthalmicus",1193,2728,"Chlorospingus_flavopectus","yes","Chlorospingus ophthalmicus"
"38","Chlorospingus_parvirostris",1134,2681,"Chlorospingus_parvirostris","yes","Chlorospingus parvirostris"
"39","Chlorothraupis_carmioli",385,1090,"Chlorothraupis_carmioli","yes","Chlorothraupis carmioli"
"40","Cinnycerthia_fulva",1948,3286,"Cinnycerthia_fulva","yes","Cinnycerthia fulva"
"41","Cissopis_leverianus",387,1309,"Cissopis_leverianus","yes","Cissopis leverianus"
"42","Cnemoscopus_rubrirostris",2319,2995,"Cnemoscopus_rubrirostris","yes","Cnemoscopus rubrirostris"
"43","Cnemotriccus_fuscatus",387,411,"Cnemotriccus_fuscatus","yes","Cnemotriccus fuscatus"
"44","Coccyzus_americanus",412,412,"Coccyzus_americanus","yes","Coccyzus americanus"
"45","Coccyzus_melacoryphus",444,444,"Coccyzus_melacoryphus","yes","Coccyzus melacoryphus"
"46","Coereba_flaveola",797,1449,"Coereba_flaveola","yes","Coereba flaveola"
"47","Colaptes_punctigula",1280,1280,"Colaptes_punctigula","yes","Colaptes punctigula"
"48","Colaptes_rivolii",1230,2991,"Colaptes_rivolii","yes","Colaptes rivolii"
"49","Colaptes_rubiginosus",425,2010,"Colaptes_rubiginosus","yes","Colaptes rubiginosus"
"50","Conirostrum_albifrons",2319,2872,"Conirostrum_albifrons","yes","Conirostrum albifrons"
"51","Conirostrum_ferrugineiventre",2711,3424,"Conirostrum_ferrugineiventre","yes","Conirostrum ferrugineiventre"
"52","Conirostrum_sitticolor",2305,2993,"Conirostrum_sitticolor","yes","Conirostrum sitticolor"
"53","Conopias_cinchoneti",968,1584,"Conopias_cinchoneti","yes","Conopias cinchoneti"
"54","Conopophaga_peruviana",360,732,"Conopophaga_peruviana","yes","Conopophaga peruviana"
"55","Contopus_fumigatus",1081,3101,"Contopus_fumigatus","yes","Contopus fumigatus"
"56","Cranioleuca_curtata",613,1821,"Cranioleuca_curtata","yes","Cranioleuca curtata"
"57","Cranioleuca_gutturata",419,680,"Cranioleuca_gutturata","yes","Cranioleuca gutturata"
"58","Cranioleuca_marcapatae",2636,2993,"Cranioleuca_marcapatae","yes","Cranioleuca marcapatae"
"59","Creurgops_dentatus",1468,2344,"Creurgops_dentatus","yes","Creurgops dentatus"
"60","Cyanerpes_caeruleus",408,1432,"Cyanerpes_caeruleus","yes","Cyanerpes caeruleus"
"61","Cyanerpes_cyaneus",431,1134,"Cyanerpes_cyaneus","yes","Cyanerpes cyaneus"
"62","Cyanocompsa_cyanoides",381,1213,"Cyanoloxia_cyanoides","yes","Cyanocompsa cyanoides"
"63","Cyanocorax_yncas",1061,2065,"Cyanocorax_yncas","yes","Cyanocorax yncas"
"64","Cyanolyca_viridicyanus",2290,3101,"Cyanolyca_viridicyanus","yes","Cyanolyca viridicyanus"
"65","Cymbilaimus_lineatus",422,453,"Cymbilaimus_lineatus","yes","Cymbilaimus lineatus"
"66","Cymbilaimus_sanctaemariae",409,1279,"Cymbilaimus_sanctaemariae","yes","Cymbilaimus sanctaemariae"
"67","Dacnis_cayana",419,1397,"Dacnis_cayana","yes","Dacnis cayana"
"68","Dacnis_lineata",568,568,"Dacnis_lineata","yes","Dacnis lineata"
"69","Deconychura_longicauda",395,1339,"Deconychura_longicauda","yes","Deconychura longicauda"
"70","Delothraupis_castaneoventris",2305,3101,"Dubusia_castaneoventris","yes","Delothraupis castaneoventris"
"71","Dendrocincla_fuliginosa",381,1454,"Dendrocincla_fuliginosa","yes","Dendrocincla fuliginosa"
"72","Dendrocincla_merula",381,648,"Dendrocincla_merula","yes","Dendrocincla merula"
"73","Dendrocincla_tyrannina",2319,2973,"Dendrocincla_tyrannina","yes","Dendrocincla tyrannina"
"74","Dendrocolaptes_picumnus",397,1654,"Dendrocolaptes_picumnus","yes","Dendrocolaptes picumnus"
"75","Dendroplex_picus",430,430,"Dendroplex_picus","yes","Xyphorinchus picus"
"76","Diglossa_brunneiventris",2527,3049,"Diglossa_brunneiventris","yes","Diglossa brunneiventris"
"77","Diglossa_caerulescens",1397,2676,"Diglossa_caerulescens","yes","Diglossa caerulescens"
"78","Diglossa_cyanea",1397,3482,"Diglossa_cyanea","yes","Diglossa cyanea"
"79","Diglossa_glauca",1061,2728,"Diglossa_glauca","yes","Diglossa glauca"
"80","Diglossa_mystacalis",2742,3482,"Diglossa_mystacalis","yes","Diglossa mystacalis"
"81","Diglossa_sittoides",2527,2810,"Diglossa_sittoides","yes","Diglossa sittoides"
"82","Drymophila_devillei",392,1083,"Drymophila_devillei","yes","Drymophila devillei"
"83","Dysithamnus_mentalis",610,1735,"Dysithamnus_mentalis","yes","Dysithamnus mentalis"
"84","Elaenia_albiceps",956,2991,"Elaenia_albiceps","yes","Elaenia albiceps"
"85","Elaenia_gigas",387,2993,"Elaenia_gigas","yes","Elaenia gigas"
"86","Elaenia_obscura",2845,2845,"Elaenia_obscura","yes","Elaenia obscura"
"87","Elaenia_pallatangae",1724,3095,"Elaenia_pallatangae","yes","Elaenia pallatangae"
"88","Elaenia_parvirostris",1146,1146,"Elaenia_parvirostris","yes","Elaenia parvirostris"
"89","Entomodestes_leucotis",1134,2816,"Entomodestes_leucotis","yes","Entomodestes leucotis"
"90","Epinecrophylla_erythrura",384,877,"Epinecrophylla_erythrura","yes","Epinecrophylla erythrura"
"91","Epinecrophylla_leucophthalma",385,600,"Epinecrophylla_leucophthalma","yes","Epinecrophylla leucophthalma"
"92","Epinecrophylla_ornata",441,1651,"Epinecrophylla_ornata","yes","Epinecrophylla ornata"
"93","Eubucco_richardsoni",398,431,"Eubucco_richardsoni","yes","Eubucco richardsoni"
"94","Eubucco_tucinkae",392,450,"Eubucco_tucinkae","yes","Eubucco tucinkae"
"95","Eubucco_versicolor",1110,1862,"Eubucco_versicolor","yes","Eubucco versicolor"
"96","Euphonia_mesochrysa",1095,1735,"Euphonia_mesochrysa","yes","Euphonia mesochrysa"
"97","Euphonia_rufiventris",400,1117,"Euphonia_rufiventris","yes","Euphonia rufiventris"
"98","Euphonia_xanthogaster",369,2728,"Euphonia_xanthogaster","yes","Euphonia xanthogaster"
"99","Galbula_cyanescens",361,1425,"Galbula_cyanescens","yes","Galbula cyanescens"
"100","Glyphorynchus_spirurus",347,1514,"Glyphorynchus_spirurus","yes","Glyphorynchus spirurus"
"101","Gymnoderus_foetidus",404,404,"Gymnoderus_foetidus","yes","Gymnoderus foetidus"
"102","Habia_rubica",381,680,"Habia_rubica","yes","Habia rubica"
"103","Hemispingus_atropileus",1950,3032,"Kleinothraupis_atropileus","yes","Hemispingus atropileus"
"104","Hemispingus_melanotis",1134,2816,"Sphenopsis_melanotis","yes","Hemispingus melanotis"
"105","Hemispingus_parodii",2576,2676,"Kleinothraupis_parodii","yes","Hemispingus parodii"
"106","Hemispingus_superciliaris",2324,2993,"Thlypopsis_superciliaris","yes","Hemispingus superciliaris"
"107","Hemispingus_trifasciatus",2830,3424,"Microspingus_trifasciatus","yes","Hemispingus trifasciatus"
"108","Hemispingus_xanthophthalmus",2520,3013,"Pseudospingus_xanthophthalmus","yes","Pseudospingus xanthophthalmus"
"109","Hemithraupis_flavicollis",404,826,"Hemithraupis_flavicollis","yes","Hemithraupis flavicollis"
"110","Hemithraupis_guira",407,1724,"Hemithraupis_guira","yes","Hemithraupis guira"
"111","Hemitriccus_granadensis",1033,3239,"Hemitriccus_granadensis","yes","Hemitriccus granadensis"
"112","Hemitriccus_rufigularis",1090,1173,"Hemitriccus_rufigularis","yes","Hemitriccus rufigularis"
"113","Herpsilochmus_axillaris",969,1578,"Herpsilochmus_axillaris","yes","Herpsilochmus axillaris"
"114","Herpsilochmus_rufimarginatus",762,1024,"Herpsilochmus_rufimarginatus","yes","Herpsilochmus rufimarginatus"
"115","Hyloctistes_subulatus",381,1129,"Automolus_subulatus","yes","Hyloctistes subulatus"
"116","Hylophilus_hypoxanthus",344,1024,"Pachysylvia_hypoxantha","yes","Hylophilus hypoxanthus"
"117","Hylophilus_ochraceiceps",355,1139,"Tunchiornis_ochraceiceps","yes","Hylophilus ochraceiceps"
"118","Hypocnemis_cantator",381,1496,"Hypocnemis_subflava","yes","Hypocnemis subflava"
"119","Icterus_cayanensis",404,419,"Icterus_cayanensis","yes","Icterus cayanensis"
"120","Iridophanes_pulcherrimus",1127,1888,"Iridophanes_pulcherrimus","yes","Iridophanes pulcherrimus"
"121","Iridosornis_analis",850,2816,"Iridosornis_analis","yes","Iridosornis analis"
"122","Iridosornis_jelskii",2312,3482,"Iridosornis_jelskii","yes","Iridosornis jelskii"
"123","Knipolegus_signatus",2783,2783,"Knipolegus_signatus","yes","Knipolegus signatus"
"124","Lanio_versicolor",392,1279,"Lanio_versicolor","yes","Lanio versicolor"
"125","Lathrotriccus_euleri",381,1716,"Lathrotriccus_euleri","yes","Lathrotriccus euleri"
"126","Legatus_leucophaius",400,1387,"Legatus_leucophaius","yes","Legatus leucophaius"
"127","Lepidocolaptes_lacrymiger",1131,2831,"Lepidocolaptes_lacrymiger","yes","Lepidocolaptes lacrymiger"
"128","Lepidothrix_coronata",363,1362,"Lepidothrix_coronata","yes","Lepidothrix coronata"
"129","Leptopogon_amaurocephalus",357,1337,"Leptopogon_amaurocephalus","yes","Leptopogon amaurocephalus"
"130","Leptopogon_superciliaris",866,2369,"Leptopogon_superciliaris","yes","Leptopogon superciliaris"
"131","Malacoptila_fulvogularis",1213,2728,"Malacoptila_fulvogularis","yes","Malacoptila fulvogularis"
"132","Margarornis_squamiger",1998,3424,"Margarornis_squamiger","yes","Margarornis squamiger"
"133","Mecocerculus_leucophrys",1954,3396,"Mecocerculus_leucophrys","yes","Mecocerculus leucophrys"
"134","Mecocerculus_stictopterus",2292,3383,"Mecocerculus_stictopterus","yes","Mecocerculus stictopterus"
"135","Melanerpes_cruentatus",404,1013,"Melanerpes_cruentatus","yes","Melanerpes cruentatus"
"136","Metopothrix_aurantiaca",433,433,"Metopothrix_aurantiaca","yes","Metopothrix aurantiaca"
"137","Microrhopias_quixensis",397,1279,"Microrhopias_quixensis","yes","Microrhopias quixensis"
"138","Mionectes_macconnelli",378,1514,"Mionectes_macconnelli","yes","Mionectes macconnelli"
"139","Mionectes_oleagineus",381,1735,"Mionectes_oleagineus","yes","Mionectes oleagineus"
"140","Mionectes_olivaceus",381,1735,"Mionectes_olivaceus","yes","Mionectes olivaceus"
"141","Mionectes_striaticollis",714,3377,"Mionectes_striaticollis","yes","Mionectes striaticollis"
"142","Monasa_morphoeus",385,599,"Monasa_morphoeus","yes","Monasa morphoeus"
"143","Monasa_nigrifrons",381,585,"Monasa_nigrifrons","yes","Monasa nigrifrons"
"144","Myiarchus_cephalotes",1013,1348,"Myiarchus_cephalotes","yes","Myiarchus cephalotes"
"145","Myiarchus_tuberculifer",520,3239,"Myiarchus_tuberculifer","yes","Myiarchus tuberculifer"
"146","Myiobius_barbatus",385,646,"Myiobius_barbatus","yes","Myiobius barbatus"
"147","Myioborus_melanocephalus",1376,3383,"Myioborus_melanocephalus","yes","Myioborus melanocephalus"
"148","Myioborus_miniatus",818,2986,"Myioborus_miniatus","yes","Myioborus miniatus"
"149","Myiodynastes_maculatus",381,1339,"Myiodynastes_maculatus","yes","Myiodynastes maculatus"
"150","Myiopagis_gaimardii",400,622,"Myiopagis_gaimardii","yes","Myiopagis gaimardii"
"151","Myiophobus_fasciatus",387,1672,"Myiophobus_fasciatus","yes","Myiophobus fasciatus"
"152","Myiophobus_inornatus",956,1998,"Myiophobus_inornatus","yes","Myiophobus inornatus"
"153","Myiophobus_ochraceiventris",2324,3215,"Nephelomyias_ochraceiventris","yes","Nephelomyias ochraceiventris"
"154","Myiozetetes_cayanensis",1371,1371,"Myiozetetes_cayanensis","yes","Myiozetetes cayanensis"
"155","Myrmeciza_fortis",385,1101,"Hafferia_fortis","yes","Myrmeciza fortis"
"156","Myrmeciza_goeldii",381,1090,"Akletos_goeldii","yes","Myrmeciza goeldii"
"157","Myrmoborus_leucophrys",381,1279,"Myrmoborus_leucophrys","yes","Myrmoborus leucophrys"
"158","Myrmoborus_myotherinus",381,1262,"Myrmoborus_myotherinus","yes","Myrmoborus myotherinus"
"159","Myrmotherula_axillaris",381,1501,"Myrmotherula_axillaris","yes","Myrmotherula axillaris"
"160","Myrmotherula_brachyura",399,1301,"Myrmotherula_brachyura","yes","Myrmotherula brachyura"
"161","Myrmotherula_hauxwelli",376,599,"Isleria_hauxwelli","yes","Isleria hauxwelli"
"162","Myrmotherula_longicauda",837,1429,"Myrmotherula_longicauda","yes","Myrmotherula longicauda"
"163","Myrmotherula_longipennis",381,643,"Myrmotherula_longipennis","yes","Myrmotherula longipennis"
"164","Myrmotherula_menetriesii",397,1380,"Myrmotherula_menetriesii","yes","Myrmotherula menetriesii"
"165","Myrmotherula_multostriata",397,1279,"Myrmotherula_multostriata","yes","Myrmotherula multostriata"
"166","Myrmotherula_schisticolor",989,2578,"Myrmotherula_schisticolor","yes","Myrmotherula schisticolor"
