"","X","elevation_cat","sociality","foraging_cat","species_jetz","sample_size","species_clean","mass_tidy","Family","ectoparasites_presence","elevation_midpoint","proportion_ectoparasites","notes","mean_lice"
"1",1,"high_montane_manu",0,"ground","Chamaeza_mollissima",1,"Chamaeza mollissima",72.6175,"Formicariidae",1,2585,1,"",6
"2",2,"high_montane_manu",1,"undersory-midhigh","Pipreola_intermedia",19,"Pipreola intermedia",48.25075,"Cotingidae
",16,2648,0.842105263,"",1.5
"3",3,"high_montane_manu",0,"undersory-midhigh","Pipreola_arcuata",8,"Pipreola arcuata",101.4315,"Cotingidae
",5,2750,0.625,"",6.333333333
"4",4,"high_montane_manu",1,"understory","Rhynchocyclus_fulvipectus",6,"Rhynchocyclus fulvipectus",24.23724138,"Tyrannidae",4,1365,0.666666667,"",0
"5",5,"high_montane_manu",1,"midhigh","Chlorornis_riefferii",14,"Chlorornis riefferii",48.93459016,"Thraupidae",14,2728,1,"",5
"6",6,"high_montane_manu",1,"midhigh","Anisognathus_igniventris",14,"Anisognathus igniventris",34.8345,"Thraupidae
",10,2932,0.714285714,"",1.5
"7",7,"high_montane_manu",1,"understory","Iridosornis_jelskii",18,"Iridosornis jelskii",20.34714286,"Thraupidae
",15,2859,0.833333333,"",6.333333333
"8",8,"high_montane_manu",1,"undersory-midhigh","Arremon_torquatus",13,"Arremon torquatus",42.28636364,"Passerellidae
",11,2742,0.846153846,"",6.777777778
"9",9,"high_montane_manu",1,"understory","Hemispingus_atropileus",28,"Kleinothraupis atropileus",20.552,"Thraupidae
",22,2742,0.785714286,"",5
"10",10,"high_montane_manu",1,"canopy","Myioborus_melanocephalus",12,"Myioborus melanocephalus",11.53984848,"Parulidae
",9,2578,0.75,"",1
"11",11,"high_montane_manu",1,"midhigh-canopy","Mecocerculus_stictopterus",1,"Mecocerculus stictopterus",10.18833333,"Tyrannidae
",1,2739,1,"",0
"12",12,"high_montane_manu",1,"understory","Pyrrhomyias_cinnamomeus",3,"Pyrrhomyias cinnamomeus",11.10103448,"Tyrannidae",3,2324,1,"",1
"13",13,"high_montane_manu",1,"midhigh","Buthraupis_montana",4,"Buthraupis montana",89.22766667,"Thraupidae",3,2784,0.75,"",1.333333333
"14",14,"high_montane_manu",1,"understory","Hemispingus_melanotis",10,"Sphenopsis melanotis",18.04464286,"Thraupidae",7,1515,0.7,"",3.333333333
"15",15,"high_montane_manu",1,"canopy","Thraupis_cyanocephala",12,"Sporathraupis cyanocephala",38.99776119,"Thraupidae",10,2742.5,0.833333333,"",13
"16",16,"high_montane_manu",0,"understory","Dubusia_taeniata",1,"Dubusia taeniata",38.46333333,"Thraupidae",1,2734,1,"",0
"17",17,"high_montane_manu",0,"ground","Haplospiza_rustica",5,"Haplospiza rustica",16.3045,"Thraupidae",5,2391,1,"",2
"18",18,"lowland_manu",0,"ground","Formicarius_analis",7,"Formicarius analis",57.04347826,"Formicariidae",5,430,0.714285714,"",4
"19",19,"lowland_manu",0,"ground","Formicarius_rufipectus",1,"Formicarius rufipectus",63.83571429,"Formicariidae",1,1431,1,"",5
