,X,sample,Sample_label,Sample_No,Full_Label,species_jetz,species_clean,species_binomial,family,sociality,mass_tidy,elevation_cat,foraging_cat,Powder.lvl,elevation_midpoint,ectoparasites_PA,Lice,Mites,Ticks,total_lice,Female,Male,Nimph,Eggs,total_mites,total_mesostigmatidae,total_no_feathers_mites,species_binomial.x
1,1,120622,,P120622,P120622,Formicarius_analis,Formicarius analis,Formicarius_analis,Formicariidae,0,57.04347826,lowland_manu,ground,,430,0,0,0,0,0,0,0,0,0,0,0,0,NA
2,2,116125,,P116125,P116125,Formicarius_analis,Formicarius analis,Formicarius_analis,Formicariidae,0,57.04347826,lowland_manu,ground,low,430,1,0,1,0,0,0,0,0,0,18,0,16,Formicarius_analis
3,3,120778,,P120778,P120778,Formicarius_analis,Formicarius analis,Formicarius_analis,Formicariidae,0,57.04347826,lowland_manu,ground,very low,430,0,0,0,0,0,0,0,0,0,0,0,0,NA
4,4,120896,,P120896,P120896,Formicarius_analis,Formicarius analis,Formicarius_analis,Formicariidae,0,57.04347826,lowland_manu,ground,low,430,1,0,1,0,0,0,0,0,0,3,0,0,Formicarius_analis
5,5,121420,,P121420,P121420,Formicarius_analis,Formicarius analis,Formicarius_analis,Formicariidae,0,57.04347826,lowland_manu,ground,very low,430,1,0,1,0,0,0,0,0,0,7,0,6,Formicarius_analis
6,6,121421,,P121421,P121421,Formicarius_analis,Formicarius analis,Formicarius_analis,Formicariidae,0,57.04347826,lowland_manu,ground,low,430,1,0,1,0,0,0,0,0,0,2,0,1,Formicarius_analis
7,7,120085,,P120085,P120085,Formicarius_rufipectus,Formicarius rufipectus,Formicarius_rufipectus,Formicariidae,0,63.83571429,lowland_manu,ground,very low,1431,1,1,0,0,5,0,3,2,0,0,0,0,NA
8,8,120733,,W120733,W120733,Chamaeza_mollissima,Chamaeza mollissima,Chamaeza_mollissima,Formicariidae,0,72.6175,high_montane_manu,ground,med,2585,1,1,1,1,6,1,2,3,0,3,0,0,Chamaeza_mollissima
9,9,120112,,VC120112,VC120112,Formicarius_analis,Formicarius analis,Formicarius_analis,Formicariidae,0,57.04347826,lowland_manu,ground,low,430,1,1,0,0,4,1,1,2,0,0,0,0,NA
10,10,110029,,P110029,P110029,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA
11,11,110033,,P110033,P110033,Thamnomanes_ardesiacus,Thamnomanes ardesiacus,Thamnomanes_ardesiacus,Thamnophilidae,1,18.58714286,lowland_manu,midhigh,low,421,0,0,0,0,0,0,0,0,0,0,0,0,NA
12,12,110039,,P110039,P110039,Thamnomanes_ardesiacus,Thamnomanes ardesiacus,Thamnomanes_ardesiacus,Thamnophilidae,1,18.58714286,lowland_manu,midhigh,low,421,0,0,0,0,0,0,0,0,0,0,0,0,NA
13,13,110040,,P110040,P110040,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA
14,14,110073,,P110073,P110073,Thamnomanes_ardesiacus,Thamnomanes ardesiacus,Thamnomanes_ardesiacus,Thamnophilidae,1,18.58714286,lowland_manu,midhigh,med,421,1,0,1,0,0,0,0,0,0,4,0,0,Thamnomanes_ardesiacus
15,15,110076,,P110076,P110076,Thamnomanes_ardesiacus,Thamnomanes ardesiacus,Thamnomanes_ardesiacus,Thamnophilidae,1,18.58714286,lowland_manu,midhigh,low,421,0,0,0,0,0,0,0,0,0,0,0,0,NA
16,16,110082,,P110082,P110082,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA
17,17,110085,,P110085,P110085,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,very low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA
18,18,110086,,P110086,P110086,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,very low,415,1,0,1,0,0,0,0,0,0,1,0,0,Isleria_hauxwelli
19,19,110125,,P110125,P110125,Hylophilus_ochraceiceps,Tunchiornis ochraceiceps,Hylophilus_ochraceiceps,Vireonidae,1,11.72933333,lowland_manu,understory,very low,892,0,0,0,0,0,0,0,0,0,0,0,0,NA
20,20,110128,,P110128,P110128,Thamnomanes_schistogynus,Thamnomanes schistogynus,Thamnomanes_schistogynus,Thamnophilidae,1,17.905,lowland_manu,midhigh,low,430,1,0,1,0,0,0,0,0,0,33,0,0,Thamnomanes_schistogynus
21,21,110140,,P110140,P110140,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,low,419,1,0,1,0,0,0,0,0,0,3,3,3,Corythopis_torquatus
22,22,110149,,P110149,P110149,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,1,0,0,1,0,0,0,0,0,0,0,0,NA
23,23,110154,,P110154,P110154,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,low,419,0,0,0,0,0,0,0,0,0,0,0,0,NA
24,24,110159,,P110159,P110159,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,1,0,1,0,0,0,0,0,0,2,0,0,Willisornis_poecilinotus
25,25,110171,,P110171,P110171,Sclerurus_caudacutus,Sclerurus caudacutus,Sclerurus_caudacutus,Furnariidae,0,37.54095238,lowland_manu,ground,low,413,1,1,1,0,1,1,0,0,0,3,1,1,Sclerurus_caudacutus
26,26,110172,,P110172,P110172,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,low,415,1,0,1,0,0,0,0,0,0,1,0,0,Isleria_hauxwelli
27,27,110233,,P110233,P110233,Microcerculus_marginatus,Microcerculus marginatus,Microcerculus_marginatus,Troglodytidae,0,18.81613333,lowland_manu,ground-understory,very low,754,0,0,0,0,0,0,0,0,0,0,0,0,NA
28,28,110215,,P110215,P110215,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA
29,29,110216,,P110216,P110216,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,med,419,1,0,1,0,0,0,0,0,0,2,0,0,Corythopis_torquatus
30,30,110238,,P110238,P110238,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,1,0,1,0,0,0,0,0,0,1,0,0,Willisornis_poecilinotus
