sample,Sample_label,Sample_No,Full_Label,species_jetz,species_clean,species_binomial,family,sociality,mass_tidy,elevation_cat,foraging_cat,Powder.lvl,elevation_midpoint,ectoparasites_PA,Lice,Mites,Ticks,total_lice,Female,Male,Nimph,Eggs,total_mites,total_mesostigmatidae,total_no_feathers_mites,species_binomial.x,X.y,ectoparasite_code,species,species_taxonomy_SACC_2021,jetz_species,elevation_all_years,net_elevation,elevation_extrapolated_date,elevation_midpoint,Species_parameters,Station
120622,,P120622,P120622,Formicarius_analis,Formicarius analis,Formicarius_analis,Formicariidae,0,57.04347826,lowland_manu,ground,med,430,0,0,0,0,0,0,0,0,0,0,0,0,NA,1061,25_6_2012_pantiacolla_Formicarius analis,Formicarius analis,Formicarius analis,Formicarius analis,438,NA,438,430,Formicarius analis,pantiacolla
116125,,P116125,P116125,Formicarius_analis,Formicarius analis,Formicarius_analis,Formicariidae,0,57.04347826,lowland_manu,ground,low,430,1,0,1,0,0,0,0,0,0,18,0,16,Formicarius_analis,130,16_8_2011_pantiacolla_Formicarius analis,Formicarius analis,Formicarius analis,Formicarius analis,415,NA,415,430,Formicarius analis,pantiacolla
120778,,P120778,P120778,Formicarius_analis,Formicarius analis,Formicarius_analis,Formicariidae,0,57.04347826,lowland_manu,ground,very low,430,0,0,0,0,0,0,0,0,0,0,0,0,NA,1131,12_7_2012_pantiacolla_Formicarius analis,Formicarius analis,Formicarius analis,Formicarius analis,NA,NA,NA,430,Formicarius analis,pantiacolla
120896,,P120896,P120896,Formicarius_analis,Formicarius analis,Formicarius_analis,Formicariidae,0,57.04347826,lowland_manu,ground,low,430,1,0,1,0,0,0,0,0,0,3,0,0,Formicarius_analis,1175,21_8_2012_pantiacolla_Formicarius analis,Formicarius analis,Formicarius analis,Formicarius analis,NA,NA,NA,430,Formicarius analis,pantiacolla
121420,,P121420,P121420,Formicarius_analis,Formicarius analis,Formicarius_analis,Formicariidae,0,57.04347826,lowland_manu,ground,very low,430,1,0,1,0,0,0,0,0,0,7,0,6,Formicarius_analis,1393,26_10_2012_pantiacolla_Formicarius analis,Formicarius analis,Formicarius analis,Formicarius analis,385,NA,385,430,Formicarius analis,pantiacolla
121421,,P121421,P121421,Formicarius_analis,Formicarius analis,Formicarius_analis,Formicariidae,0,57.04347826,lowland_manu,ground,low,430,1,0,1,0,0,0,0,0,0,2,0,1,Formicarius_analis,1394,26_10_2012_pantiacolla_Formicarius analis,Formicarius analis,Formicarius analis,Formicarius analis,385,NA,385,430,Formicarius analis,pantiacolla
120085,,P120085,P120085,Formicarius_rufipectus,Formicarius rufipectus,Formicarius_rufipectus,Formicariidae,0,63.83571429,lowland_manu,ground,very low,1431,1,1,0,0,5,0,3,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1431,NA,NA
120733,,W120733,W120733,Chamaeza_mollissima,Chamaeza mollissima,Chamaeza_mollissima,Formicariidae,0,72.6175,high_montane_manu,ground,med,2585,1,1,1,1,6,1,2,3,0,3,0,0,Chamaeza_mollissima,2692,16_10_2012_wayqecha_Chamaeza mollissima,Chamaeza mollissima,Chamaeza mollissima,Chamaeza mollissima,2742,NA,2742,2585,Chamaeza mollissima,wayqecha
120112,,VC120112,VC120112,Formicarius_analis,Formicarius analis,Formicarius_analis,Formicariidae,0,57.04347826,lowland_manu,ground,low,430,1,1,0,0,4,1,1,2,0,0,0,0,NA,2298,16_9_2012_villa_carmen_Formicarius analis,Formicarius analis,Formicarius analis,Formicarius analis,604,NA,604,430,Formicarius analis,villa_carmen
110029,,P110029,P110029,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA,4109,28_9_2011_pantiacolla_Myrmotherula hauxwelli,NA,NA,NA,NA,NA,381,415,Myrmotherula hauxwelli,pantiacolla
