"","elevation_cat","sociality","foraging_cat","species_jetz","species_clean","ectoparasites_presence","sample_size","proportion_ectoparasites"
"1","high_montane_manu",0,"ground","Chamaeza_mollissima","Chamaeza mollissima",1,1,1
"2","high_montane_manu",1,"undersory-midhigh","Pipreola_intermedia","Pipreola intermedia",16,19,0.842105263157895
"3","high_montane_manu",0,"undersory-midhigh","Pipreola_arcuata","Pipreola arcuata",5,8,0.625
"4","high_montane_manu",1,"understory","Rhynchocyclus_fulvipectus","Rhynchocyclus fulvipectus",4,6,0.666666666666667
"5","high_montane_manu",1,"midhigh","Chlorornis_riefferii","Chlorornis riefferii",14,14,1
"6","high_montane_manu",1,"midhigh","Anisognathus_igniventris","Anisognathus igniventris",10,14,0.714285714285714
"7","high_montane_manu",1,"understory","Iridosornis_jelskii","Iridosornis jelskii",15,18,0.833333333333333
"8","high_montane_manu",1,"undersory-midhigh","Arremon_torquatus","Arremon torquatus",11,13,0.846153846153846
"9","high_montane_manu",1,"understory","Hemispingus_atropileus","Kleinothraupis atropileus",22,28,0.785714285714286
"10","high_montane_manu",1,"canopy","Myioborus_melanocephalus","Myioborus melanocephalus",9,12,0.75
"11","high_montane_manu",1,"midhigh-canopy","Mecocerculus_stictopterus","Mecocerculus stictopterus",1,1,1
"12","high_montane_manu",1,"understory","Pyrrhomyias_cinnamomeus","Pyrrhomyias cinnamomeus",3,3,1
"13","high_montane_manu",1,"midhigh","Buthraupis_montana","Buthraupis montana",3,4,0.75
"14","high_montane_manu",1,"understory","Hemispingus_melanotis","Sphenopsis melanotis",7,10,0.7
"15","high_montane_manu",1,"canopy","Thraupis_cyanocephala","Sporathraupis cyanocephala",10,12,0.833333333333333
"16","high_montane_manu",0,"understory","Dubusia_taeniata","Dubusia taeniata",1,1,1
"17","high_montane_manu",0,"ground","Haplospiza_rustica","Haplospiza rustica",5,5,1
"18","lowland_manu",0,"ground","Formicarius_analis","Formicarius analis",5,7,0.714285714285714
"19","lowland_manu",0,"ground","Formicarius_rufipectus","Formicarius rufipectus",1,1,1
"20","lowland_manu",1,"other","Myrmotherula_hauxwelli","Isleria hauxwelli",10,21,0.476190476190476
"21","lowland_manu",1,"midhigh","Thamnomanes_ardesiacus","Thamnomanes ardesiacus",7,13,0.538461538461538
"22","lowland_manu",1,"midhigh","Myrmotherula_axillaris","Myrmotherula axillaris",12,20,0.6
"23","lowland_manu",1,"understory","Hylophilus_ochraceiceps","Tunchiornis ochraceiceps",1,6,0.166666666666667
"24","lowland_manu",1,"midhigh","Thamnomanes_schistogynus","Thamnomanes schistogynus",10,12,0.833333333333333
"25","lowland_manu",0,"ground","Corythopis_torquatus","Corythopis torquatus",9,14,0.642857142857143
"26","lowland_manu",0,"ground","Willisornis_poecilinotus","Willisornis poecilinotus",15,26,0.576923076923077
"27","lowland_manu",0,"ground","Sclerurus_caudacutus","Sclerurus caudacutus",8,9,0.888888888888889
"28","lowland_manu",0,"ground-understory","Microcerculus_marginatus","Microcerculus marginatus",10,12,0.833333333333333
"29","lowland_manu",1,"canopy","Lanio_versicolor","Lanio versicolor",5,5,1
"30","lowland_manu",1,"ground-midhigh","Monasa_morphoeus","Monasa morphoeus",0,3,0
"31","lowland_manu",1,"undersory-midhigh","Lepidothrix_coronata","Lepidothrix coronata",14,16,0.875
"32","lowland_manu",0,"ground-midhigh","Malacoptila_semicincta","Malacoptila semicincta",1,5,0.2
"33","lowland_manu",1,"undersory-midhigh","Pipra_chloromeros","Ceratopipra chloromeros",78,102,0.764705882352941
"34","lowland_manu",1,"other","Monasa_nigrifrons","Monasa nigrifrons",0,2,0
"35","lowland_manu",0,"ground-midhigh","Rupicola_peruvianus","Rupicola peruvianus",8,8,1
"36","lowland_manu",1,"midhigh","Galbula_cyanescens","Galbula cyanescens",1,2,0.5
"37","lowland_manu",0,"understory","Schiffornis_turdina","Schiffornis turdina",5,9,0.555555555555556
"38","lowland_manu",1,"other","Chlorothraupis_carmioli","Chlorothraupis carmioli",6,6,1
"39","lowland_manu",1,"midhigh","Myiobius_barbatus","Myiobius barbatus",4,5,0.8
"40","lowland_manu",1,"canopy","Glyphorynchus_spirurus","Glyphorynchus spirurus",7,8,0.875
"41","lowland_manu",0,"midhigh","Platyrinchus_platyrhynchos","Platyrinchus platyrhynchos",0,6,0
"42","lowland_manu",0,"understory","Hylophylax_naevius","Hylophylax naevius",10,10,1
"43","lowland_manu",1,"understory","Mionectes_olivaceus","Mionectes olivaceus",19,23,0.826086956521739
"44","lowland_manu",1,"undersory-midhigh","Leptopogon_amaurocephalus","Leptopogon amaurocephalus",15,17,0.882352941176471
"45","lowland_manu",1,"undersory-midhigh","Pipra_fasciicauda","Pipra fasciicauda",23,25,0.92
"46","lowland_manu",1,"midhigh","Habia_rubica","Habia rubica",11,12,0.916666666666667
"47","lowland_manu",0,"ground-midhigh","Momotus_momota","Momotus momota",2,2,1
"48","lowland_manu",1,"undersory-midhigh","Myrmotherula_longipennis","Myrmotherula longipennis",2,4,0.5
"49","lowland_manu",1,"midhigh","Mionectes_macconnelli","Mionectes macconnelli",14,14,1
"50","lowland_manu",0,"ground","Geotrygon_montana","Geotrygon montana",4,5,0.8
"51","lowland_manu",0,"canopy","Psarocolius_angustifrons","Psarocolius angustifrons",1,1,1
"52","lowland_manu",1,"ground","Myrmoborus_leucophrys","Myrmoborus leucophrys",0,1,0
"53","lowland_manu",1,"midhigh","Terenotriccus_erythrurus","Terenotriccus erythrurus",6,7,0.857142857142857
"54","lowland_manu",1,"undersory-midhigh","Ramphotrigon_fuscicauda","Ramphotrigon fuscicauda",3,3,1
"55","lowland_manu",1,"ground-understory","Myrmoborus_myotherinus","Myrmoborus myotherinus",4,5,0.8
"56","lowland_manu",0,"undersory-midhigh","Laniocera_hypopyrra","Laniocera hypopyrra",3,3,1
"57","lowland_manu",1,"understory","Automolus_ochrolaemus","Automolus ochrolaemus",8,10,0.8
"58","lowland_manu",1,"canopy","Xenops_tenuirostris","Xenops tenuirostris",0,1,0
"59","lowland_manu",1,"midhigh","Tangara_schrankii","Tangara schrankii",3,6,0.5
"60","lowland_manu",0,"ground","Turdus_albicollis","Turdus albicollis",3,3,1
"61","lowland_manu",0,"canopy","Pteroglossus_azara","Pteroglossus azara",2,2,1
"62","lowland_manu",0,"understory","Synallaxis_cabanisi","Synallaxis cabanisi",1,1,1
"63","lowland_manu",1,"undersory-midhigh","Mionectes_oleagineus","Mionectes oleagineus",14,15,0.933333333333333
"64","lowland_manu",0,"ground","Gymnopithys_salvini","Oneillornis salvini",16,19,0.842105263157895
"65","lowland_manu",0,"canopy","Pteroglossus_beauharnaesii","Pteroglossus beauharnaisii",2,2,1
"66","lowland_manu",0,"understory","Platyrinchus_coronatus","Platyrinchus coronatus",0,2,0
"67","lowland_manu",1,"midhigh","Euphonia_xanthogaster","Euphonia xanthogaster",1,1,1
"68","lowland_manu",1,"midhigh-canopy","Philydor_erythropterum","Dendroma erythroptera",0,1,0
"69","lowland_manu",1,"undersory-midhigh","Xenops_minutus","Xenops minutus",4,5,0.8
"70","lowland_manu",0,"ground-understory","Catharus_ustulatus","Catharus ustulatus",3,3,1
"71","lowland_manu",1,"midhigh","Thamnophilus_schistaceus","Thamnophilus schistaceus",10,13,0.769230769230769
"72","lowland_manu",1,"understory","Epinecrophylla_leucophthalma","Epinecrophylla leucophthalma",1,2,0.5
"73","lowland_manu",1,"ground-understory","Arremon_taciturnus","Arremon taciturnus",14,17,0.823529411764706
"74","lowland_manu",0,"midhigh","Campylopterus_largipennis","Campylopterus largipennis",1,1,1
"75","lowland_manu",1,"undersory-midhigh","Hyloctistes_subulatus","Automolus subulatus",0,1,0
"76","lowland_manu",0,"midhigh","Neoctantes_niger","Neoctantes niger",0,1,0
"77","lowland_manu",1,"midhigh","Epinecrophylla_erythrura","Epinecrophylla erythrura",1,1,1
"78","lowland_manu",1,"ground","Cyanocompsa_cyanoides","Cyanoloxia cyanoides",6,7,0.857142857142857
"79","lowland_manu",1,"understory","Trogon_violaceus","Trogon violaceus",0,1,0
"80","lowland_manu",1,"other","Saltator_maximus","Saltator maximus",1,1,1
"81","lowland_manu",0,"ground","Phlegopsis_nigromaculata","Phlegopsis nigromaculata",4,5,0.8
"82","lowland_manu",1,"understory","Automolus_melanopezus","Automolus melanopezus",1,1,1
"83","lowland_manu",1,"understory","Simoxenops_ucayalae","Syndactyla ucayalae",1,1,1
"84","lowland_manu",1,"ground-understory","Myrmeciza_goeldii","Akletos goeldii",24,24,1
"85","lowland_manu",0,"ground-understory","Cyphorhinus_arada","Cyphorhinus arada",1,1,1
"86","lowland_manu",0,"canopy","Ramphastos_tucanus","Ramphastos tucanus",1,1,1
"87","lowland_manu",1,"midhigh","Anabazenops_dorsalis","Anabazenops dorsalis",1,1,1
"88","lowland_manu",0,"canopy","Philydor_rufum","Dendroma rufa",1,1,1
"89","lowland_manu",1,"midhigh","Deconychura_longicauda","Deconychura longicauda",3,5,0.6
"90","lowland_manu",0,"canopy","Piprites_chloris","Piprites chloris",1,1,1
"91","lowland_manu",1,"understory","Automolus_infuscatus","Automolus infuscatus",1,1,1
"92","lowland_manu",1,"ground","Conopophaga_peruviana","Conopophaga peruviana",1,1,1
"93","lowland_manu",0,"ground","Dichrozona_cincta","Dichrozona cincta",1,1,1
"94","lowland_manu",1,"ground-understory","Percnostola_lophotes","Myrmoborus lophotes",6,6,1
"95","lowland_manu",0,"ground-understory","Myrmeciza_hemimelaena","Sciaphylax hemimelaena",3,4,0.75
"96","lowland_manu",0,"undersory-midhigh","Rhytipterna_simplex","Rhytipterna simplex",3,3,1
"97","lowland_manu",1,"midhigh","Myrmotherula_menetriesii","Myrmotherula menetriesii",2,2,1
"98","lowland_manu",1,"midhigh","Xiphorhynchus_elegans","Xiphorhynchus elegans",2,3,0.666666666666667
"99","lowland_manu",0,"understory","Phaethornis_koepckeae","Phaethornis koepckeae",1,1,1
"100","lowland_manu",1,"ground","Myrmeciza_fortis","Hafferia fortis",1,1,1
"101","lowland_manu",0,"ground","Rhegmatorhina_melanosticta","Rhegmatorhina melanosticta",5,5,1
"102","lowland_manu",0,"other","Thalurania_furcata","Thalurania furcata",1,1,1
"103","lowland_manu",1,"ground-understory","Ancistrops_strigilatus","Ancistrops strigilatus",2,2,1
"104","lowland_manu",1,"midhigh","Mionectes_striaticollis","Mionectes striaticollis",1,1,1
"105","montane_manu",1,"undersory-midhigh","Malacoptila_fulvogularis","Malacoptila fulvogularis",4,7,0.571428571428571
"106","montane_manu",0,"ground-midhigh","Micromonacha_lanceolata","Micromonacha lanceolata",0,1,0
"107","montane_manu",1,"understory","Chlorospingus_flavigularis","Chlorospingus flavigularis",15,16,0.9375
"108","montane_manu",1,"midhigh","Tangara_arthus","Tangara arthus",10,10,1
"109","montane_manu",1,"midhigh","Leptopogon_superciliaris","Leptopogon superciliaris",8,8,1
"110","montane_manu",1,"understory","Premnoplex_brunnescens","Premnoplex brunnescens",27,28,0.964285714285714
"111","montane_manu",1,"midhigh","Myioborus_miniatus","Myioborus miniatus",5,5,1
"112","montane_manu",1,"understory","Basileuterus_tristriatus","Basileuterus tristriatus",11,11,1
"113","montane_manu",1,"other","Chlorospingus_ophthalmicus","Chlorospingus flavopectus",4,5,0.8
"114","montane_manu",0,"understory","Eutoxeres_condamini","Eutoxeres condamini",1,1,1
"115","montane_manu",1,"midhigh","Anabacerthia_striaticollis","Anabacerthia striaticollis",5,8,0.625
"116","montane_manu",1,"midhigh","Phylloscartes_ophthalmicus","Phylloscartes ophthalmicus",6,6,1
"117","montane_manu",1,"midhigh-canopy","Chlorochrysa_calliparaea","Chlorochrysa calliparaea",3,3,1
"118","montane_manu",1,"undersory-midhigh","Chiroxiphia_boliviana","Chiroxiphia boliviana",1,1,1
"119","montane_manu",1,"midhigh","Myrmotherula_schisticolor","Myrmotherula schisticolor",3,3,1
"120","montane_manu",1,"understory","Basileuterus_coronatus","Myiothlypis coronata",10,12,0.833333333333333
"121","montane_manu",0,"ground","Cyphorhinus_thoracicus","Cyphorhinus thoracicus",13,13,1
"122","montane_manu",1,"other","Trichothraupis_melanops","Trichothraupis melanops",8,8,1
"123","montane_manu",1,"understory","Thripadectes_melanorhynchus","Thripadectes melanorhynchus",12,14,0.857142857142857
"124","montane_manu",1,"midhigh","Basileuterus_bivittatus","Myiothlypis bivittata",9,11,0.818181818181818
"125","montane_manu",0,"midhigh","Lophotriccus_pileatus","Lophotriccus pileatus",3,4,0.75
"126","montane_manu",1,"midhigh","Myrmotherula_longicauda","Myrmotherula longicauda",1,2,0.5
"127","montane_manu",0,"understory","Sporophila_nigricollis","Sporophila nigricollis",2,3,0.666666666666667
"128","montane_manu",1,"midhigh","Diglossa_glauca","Diglossa glauca",1,1,1
"129","montane_manu",0,"ground","Ammodramus_aurifrons","Ammodramus aurifrons",1,2,0.5
"130","montane_manu",1,"midhigh","Xiphorhynchus_triangularis","Xiphorhynchus triangularis",0,1,0
"131","montane_manu",1,"canopy","Cyanerpes_caeruleus","Cyanerpes caeruleus",1,2,0.5
"132","montane_manu",1,"midhigh","Anisognathus_somptuosus","Anisognathus somptuosus",1,2,0.5
"133","montane_manu",1,"understory","Iridosornis_analis","Iridosornis analis",2,2,1
