,sample,Sample_label,Sample_No,Full_Label,species_jetz,species_clean,species_binomial,family,sociality,mass_tidy,elevation_cat,foraging_cat,Powder.lvl,elevation_midpoint,ectoparasites_PA,Lice,Mites,Ticks
1,120622,,P120622,P120622,Formicarius_analis,Formicarius analis,Formicarius_analis,Formicariidae,0,57.04347826,lowland_manu,ground,,430,0,0,0,0
2,116125,,P116125,P116125,Formicarius_analis,Formicarius analis,Formicarius_analis,Formicariidae,0,57.04347826,lowland_manu,ground,low,430,1,0,1,0
3,120778,,P120778,P120778,Formicarius_analis,Formicarius analis,Formicarius_analis,Formicariidae,0,57.04347826,lowland_manu,ground,very low,430,0,0,0,0
4,120896,,P120896,P120896,Formicarius_analis,Formicarius analis,Formicarius_analis,Formicariidae,0,57.04347826,lowland_manu,ground,low,430,1,0,1,0
5,121420,,P121420,P121420,Formicarius_analis,Formicarius analis,Formicarius_analis,Formicariidae,0,57.04347826,lowland_manu,ground,very low,430,1,0,1,0
6,121421,,P121421,P121421,Formicarius_analis,Formicarius analis,Formicarius_analis,Formicariidae,0,57.04347826,lowland_manu,ground,low,430,1,0,1,0
7,120085,,P120085,P120085,Formicarius_rufipectus,Formicarius rufipectus,Formicarius_rufipectus,Formicariidae,0,63.83571429,lowland_manu,ground,very low,1431,1,1,0,0
8,120733,,W120733,W120733,Chamaeza_mollissima,Chamaeza mollissima,Chamaeza_mollissima,Formicariidae,0,72.6175,high_montane_manu,ground,med,2585,1,1,1,1
9,120112,,VC120112,VC120112,Formicarius_analis,Formicarius analis,Formicarius_analis,Formicariidae,0,57.04347826,lowland_manu,ground,low,430,1,1,0,0
10,110029,,P110029,P110029,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,low,415,0,0,0,0
11,110033,,P110033,P110033,Thamnomanes_ardesiacus,Thamnomanes ardesiacus,Thamnomanes_ardesiacus,Thamnophilidae,1,18.58714286,lowland_manu,midhigh,low,421,0,0,0,0
12,110039,,P110039,P110039,Thamnomanes_ardesiacus,Thamnomanes ardesiacus,Thamnomanes_ardesiacus,Thamnophilidae,1,18.58714286,lowland_manu,midhigh,low,421,0,0,0,0
