"","species_jetz","species_clean","species_binomial","family","sociality","mass_tidy","elevation_cat","foraging_cat","ectoparasites_presence","sample_size","elevation_midpoint","proportion_ectoparasites"
"1","Chamaeza_mollissima","Chamaeza mollissima","Chamaeza_mollissima","Formicariidae",0,72.6175,"high_montane_manu","ground",1,1,2585,1
"2","Pipreola_intermedia","Pipreola intermedia","Pipreola_intermedia","Cotingidae",1,48.25075,"high_montane_manu","undersory-midhigh",16,19,2648,0.842105263157895
"3","Pipreola_arcuata","Pipreola arcuata","Pipreola_arcuata","Cotingidae",0,101.4315,"high_montane_manu","undersory-midhigh",5,8,2750,0.625
"4","Rhynchocyclus_fulvipectus","Rhynchocyclus fulvipectus","Rhynchocyclus_fulvipectus","Tyrannidae",1,24.23724138,"high_montane_manu","understory",4,6,1365,0.666666666666667
"5","Chlorornis_riefferii","Chlorornis riefferii","Chlorornis_riefferii","Thraupidae",1,48.93459016,"high_montane_manu","midhigh",14,14,2728,1
"6","Anisognathus_igniventris","Anisognathus igniventris","Anisognathus_igniventris","Thraupidae",1,34.8345,"high_montane_manu","midhigh",10,14,2932,0.714285714285714
"7","Iridosornis_jelskii","Iridosornis jelskii","Iridosornis_jelskii","Thraupidae",1,20.34714286,"high_montane_manu","understory",15,18,2859,0.833333333333333
"8","Arremon_torquatus","Arremon torquatus","Arremon_torquatus","Emberizidae",1,42.28636364,"high_montane_manu","undersory-midhigh",11,13,2742,0.846153846153846
"9","Hemispingus_atropileus","Kleinothraupis atropileus","Kleinothraupis_atropileus","Thraupidae",1,20.552,"high_montane_manu","understory",22,28,2742,0.785714285714286
"10","Myioborus_melanocephalus","Myioborus melanocephalus","Myioborus_melanocephalus","Parulidae",1,11.53984848,"high_montane_manu","canopy",9,12,2578,0.75
"11","Mecocerculus_stictopterus","Mecocerculus stictopterus","Mecocerculus_stictopterus","Tyrannidae",1,10.18833333,"high_montane_manu","midhigh-canopy",1,1,2739,1
"12","Pyrrhomyias_cinnamomeus","Pyrrhomyias cinnamomeus","Pyrrhomyias_cinnamomeus","Tyrannidae",1,11.10103448,"high_montane_manu","understory",3,3,2324,1
"13","Buthraupis_montana","Buthraupis montana","Buthraupis_montana","Thraupidae",1,89.22766667,"high_montane_manu","midhigh",3,4,2784,0.75
"14","Hemispingus_melanotis","Sphenopsis melanotis","Sphenopsis_melanotis","Thraupidae",1,18.04464286,"high_montane_manu","understory",7,10,1515,0.7
"15","Thraupis_cyanocephala","Sporathraupis cyanocephala","Sporathraupis _cyanocephala","Thraupidae",1,38.99776119,"high_montane_manu","canopy",10,12,2742.5,0.833333333333333
"16","Dubusia_taeniata","Dubusia taeniata","Dubusia_taeniata","Thraupidae",0,38.46333333,"high_montane_manu","understory",1,1,2734,1
"17","Haplospiza_rustica","Haplospiza rustica","Haplospiza_rustica","Emberizidae",0,16.3045,"high_montane_manu","ground",5,5,2391,1
"18","Formicarius_analis","Formicarius analis","Formicarius_analis","Formicariidae",0,57.04347826,"lowland_manu","ground",5,7,430,0.714285714285714
"19","Formicarius_rufipectus","Formicarius rufipectus","Formicarius_rufipectus","Formicariidae",0,63.83571429,"lowland_manu","ground",1,1,1431,1
"20","Myrmotherula_hauxwelli","Isleria hauxwelli","Isleria_hauxwelli","Thamnophilidae",1,11.27941606,"lowland_manu","other",10,21,415,0.476190476190476
"21","Thamnomanes_ardesiacus","Thamnomanes ardesiacus","Thamnomanes_ardesiacus","Thamnophilidae",1,18.58714286,"lowland_manu","midhigh",7,13,421,0.538461538461538
"22","Myrmotherula_axillaris","Myrmotherula axillaris","Myrmotherula_axillaris","Thamnophilidae",1,8.457105263,"lowland_manu","midhigh",12,20,415,0.6
"23","Hylophilus_ochraceiceps","Tunchiornis ochraceiceps","Hylophilus_ochraceiceps","Vireonidae",1,11.72933333,"lowland_manu","understory",1,6,892,0.166666666666667
"24","Thamnomanes_schistogynus","Thamnomanes schistogynus","Thamnomanes_schistogynus","Thamnophilidae",1,17.905,"lowland_manu","midhigh",10,12,430,0.833333333333333
"25","Corythopis_torquatus","Corythopis torquatus","Corythopis_torquatus","Tyrannidae",0,17.01754717,"lowland_manu","ground",9,14,419,0.642857142857143
"26","Willisornis_poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus","Thamnophilidae",0,18.39630137,"lowland_manu","ground",15,26,419,0.576923076923077
"27","Sclerurus_caudacutus","Sclerurus caudacutus","Sclerurus_caudacutus","Furnariidae",0,37.54095238,"lowland_manu","ground",8,9,413,0.888888888888889
"28","Microcerculus_marginatus","Microcerculus marginatus","Microcerculus_marginatus","Troglodytidae",0,18.81613333,"lowland_manu","ground-understory",10,12,754,0.833333333333333
"29","Lanio_versicolor","Lanio versicolor","Lanio_versicolor","Thraupidae",1,19.76205128,"lowland_manu","canopy",5,5,438,1
"30","Monasa_morphoeus","Monasa morphoeus","Monasa_morphoeus","Bucconidae",1,73.41272727,"lowland_manu","ground-midhigh",0,3,417,0
"31","Lepidothrix_coronata","Lepidothrix coronata","Lepidothrix_coronata","Pipridae",1,9.769768786,"lowland_manu","undersory-midhigh",14,16,417.5,0.875
"32","Malacoptila_semicincta","Malacoptila semicincta","Malacoptila_semicincta","Bucconidae",0,45.21722222,"lowland_manu","ground-midhigh",1,5,494.5,0.2
"33","Pipra_chloromeros","Ceratopipra chloromeros","Ceratopipra _chloromeros","Pipridae",1,16.72324324,"lowland_manu","undersory-midhigh",78,102,416,0.764705882352941
"34","Monasa_nigrifrons","Monasa nigrifrons","Monasa_nigrifrons","Bucconidae",1,80.46733333,"lowland_manu","other",0,2,409,0
"35","Rupicola_peruvianus","Rupicola peruvianus","Rupicola_peruvianus","Cotingidae",0,207.3219231,"lowland_manu","ground-midhigh",8,8,1362,1
"36","Galbula_cyanescens","Galbula cyanescens","Galbula_cyanescens","Galbulidae",1,24.96074074,"lowland_manu","midhigh",1,2,486.5,0.5
"37","Schiffornis_turdina","Schiffornis turdina","Schiffornis_turdina","Cotingidae",0,30.18625,"lowland_manu","understory",5,9,876,0.555555555555556
