"","X.No","Collection.x","Sample_group","Sample.No...","Full_Label","comment","species_binomial","Host.Order","Host.Family","New.Association","Lice.Genus","Lice.Species","Female","Male","Nimph","Eggs","Total","BoxLocation1","Lice.Genus2","Lice.Species2","Female2","Male2","Nimph2","Eggs2","Total2","BoxLocation2","Lice.Genus3","Lice.Species3","Female3","Male3","Nimph3","Eggs3","Total.1","BoxLocation3","total_lice","species_clean","mass_tidy","bill_tidy","wing_tidy","tail_tidy","wing_index_tidy","tarsus_tidy","sociality","ForStrat_ground","ForStrat_understory","ForStrat_midhigh","ForStrat_canopy","species_jetz","WJSpecID","TipLabel","PatchClade","Hackett_FineClades","Hackett_CoarseClades","English","FileName","Taxo","BLFamilyLatin","BLFamilyEnglish","FamSequID","IOCOrder","PassNonPass","OscSubOsc","foraging_cat","elevation_cat","sample","infestation_lice","Collection.y","powder_level","Host.genus","Host.species"
"1",115,"JEJ","","P120085","P120085","","Formicarius_rufipectus","Passeriformes","Formicariidae","No","Formicaricola","analoides?","0","3","2","",5,"L-03","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,5,"Formicarius rufipectus",63.83571429,12.8375,87.44444444,55.4,12.7,36.5,"0",100,0,0,0,"Formicarius_rufipectus",6959,"Formicarius_rufipectus","Antthrushes","Antthrushes","Ovenbirds, Woodcreepers, Antthrushes","Rufous-breasted Antthrush","bow06959","BL3","Formicariidae","Antthrushes and antpittas",109,"PASSERIFORMES","PASSERIFORMES","Tyranni","ground","lowland_manu",120085,0,"JEJ","very low","Formicarius","rufipectus"
"2",116,"JEJ","","W120733","W120733","","Chamaeza_mollissima","Passeriformes","Formicariidae","Yes","Formicaricola","(willisi?)","1","2","3","",6,"L-03","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,6,"Chamaeza mollissima",72.6175,10.75,88.75,66.2,12.9,37.1,"0",100,0,0,0,"Chamaeza_mollissima",6965,"Chamaeza_mollissima","Antthrushes","Antthrushes","Ovenbirds, Woodcreepers, Antthrushes","Barred Antthrush","bow06965","BL3","Formicariidae","Antthrushes and antpittas",109,"PASSERIFORMES","PASSERIFORMES","Tyranni","ground","high_montane_manu",120733,0,"JEJ","med","Chamaeza","mollissima"
"3",117,"JEJ","","VC120112","VC120112","","Formicarius_analis","Passeriformes","Formicariidae","No","Formicaricola","analoides?","1","1","2","",4,"L-03","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,4,"Formicarius analis",57.04347826,12.79475,89.42857143,56.8,16.6,32.4,"0",100,0,0,0,"Formicarius_analis",6955,"Formicarius_analis","Antthrushes","Antthrushes","Ovenbirds, Woodcreepers, Antthrushes","Black-faced Antthrush","bow06955","BL3","Formicariidae","Antthrushes and antpittas",109,"PASSERIFORMES","PASSERIFORMES","Tyranni","ground","lowland_manu",120112,0,"JEJ","low","Formicarius","analis"
"4",118,"JEJ","","P110171","P110171","","Sclerurus_caudacutus","Passeriformes","Furnariidae","No","Furnariphilus","parkeri?","1","0","0","",1,"L-03","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Sclerurus caudacutus",37.54095238,15.42761905,88.47619048,63.4,17.4,22.6,"0",100,0,0,0,"Sclerurus_caudacutus",6874,"Sclerurus_caudacutus","Furnaridae","Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes","Black-tailed Leaftosser","bow06874","BL3","Furnariidae","Ovenbirds",110,"PASSERIFORMES","PASSERIFORMES","Tyranni","ground","lowland_manu",110171,0,"JEJ","low","Sclerurus","caudacutus"
"5",120,"JEJ","","P115901","P115901","","Sclerurus_caudacutus","Passeriformes","Furnariidae","No","Furnariphilus","parkeri?","5","2","0","",7,"L-03","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,7,"Sclerurus caudacutus",37.54095238,15.42761905,88.47619048,63.4,17.4,22.6,"0",100,0,0,0,"Sclerurus_caudacutus",6874,"Sclerurus_caudacutus","Furnaridae","Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes","Black-tailed Leaftosser","bow06874","BL3","Furnariidae","Ovenbirds",110,"PASSERIFORMES","PASSERIFORMES","Tyranni","ground","lowland_manu",115901,0,"JEJ","low","Sclerurus","caudacutus"
"6",125,"JEJ","","P115976","P115976","","Lanio_versicolor","Passeriformes","Thraupidae","Yes","Myrsidea","new sp?","5","2","13","",20,"L-03","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,20,"Lanio versicolor",19.76205128,10.39833333,79.825,67.6,20.3,15.3,"1",0,0,20,60,"Lanio_versicolor",12886,"Lanio_versicolor","P13P14P16","Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","White-winged Shrike-tanager","bow12886","BL3","Thraupidae","Tanagers",193,"PASSERIFORMES","PASSERIFORMES","Passeri","canopy","lowland_manu",115976,0,"JEJ","low","Lanio","versicolor"
"7",135,"JEJ","P12","1372","P121372","","Malacoptila_semicincta","Piciformes","Bucconidae","No","Picicola?","osheai?","2","0","0","",2,"L-03","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,2,"Malacoptila semicincta",45.21722222,18.82,87.45,63.8,23.5,18.8,"0",30,40,30,0,"Malacoptila_semicincta",1269,"Malacoptila_semicincta","Bucconidae","Puffbirds","Puffbirds, Jacamars","Semicollared Puffbird","bow01269","BL3","Bucconidae","Puffbirds",97,"PICIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","ground-midhigh","lowland_manu",121372,0,"JEJ","low","Malacoptila","semicincta"
"8",136,"JEJ","SP12","642","SP120642","","Rupicola_peruvianus","Passeriformes","Cotingidae","No","Cotingacola","rupicolae?","3","3","2","",8,"L-03","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,8,"Rupicola peruvianus",207.3219231,15.4936,180.9428571,120.3,11.6,36.7,"0",30,30,40,0,"Rupicola_peruvianus",6329,"Rupicola_peruvianus","Cotingidae","Cotingas","Cotingas","Andean Cock-of-the-rock","bow06329","BL3","Cotingidae","Cotingas",104,"PASSERIFORMES","PASSERIFORMES","Tyranni","ground-midhigh","montane_manu",120642,0,"JEJ","low","Rupicola","peruvianus"
"9",137,"JEJ","SP12","665","SP120665","","Rupicola_peruvianus","Passeriformes","Cotingidae","No","Cotingacola","rupicolae?","5","2","8","",15,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,15,"Rupicola peruvianus",207.3219231,15.4936,180.9428571,120.3,11.6,36.7,"0",30,30,40,0,"Rupicola_peruvianus",6329,"Rupicola_peruvianus","Cotingidae","Cotingas","Cotingas","Andean Cock-of-the-rock","bow06329","BL3","Cotingidae","Cotingas",104,"PASSERIFORMES","PASSERIFORMES","Tyranni","ground-midhigh","montane_manu",120665,0,"JEJ","low","Rupicola","peruvianus"
"10",138,"JEJ","SP12","678","SP120678","","Rupicola_peruvianus","Passeriformes","Cotingidae","No","Cotingacola","rupicolae?","4","3","4","",11,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,11,"Rupicola peruvianus",207.3219231,15.4936,180.9428571,120.3,11.6,36.7,"0",30,30,40,0,"Rupicola_peruvianus",6329,"Rupicola_peruvianus","Cotingidae","Cotingas","Cotingas","Andean Cock-of-the-rock","bow06329","BL3","Cotingidae","Cotingas",104,"PASSERIFORMES","PASSERIFORMES","Tyranni","ground-midhigh","montane_manu",120678,0,"JEJ","low","Rupicola","peruvianus"
