Collection,Full_Label,powder_level,Host genus,Host species
JUM,V01,,Willisornis,poecilinotus
JUM,V02,,Glyphorynchus,spirurus
JUM,V03,,Willisornis,poecilinotus
JUM,V05,,Glyphorynchus,spirurus
JUM,V06,,Hylophylax,naevius
JUM,V07,,Hylophylax,naevius
JUM,V10,,Glyphorynchus,spirurus
JUM,V11,,Megastictus,margaritatus
JUM,V12,,Xenops,margaritatus
JUM,V13,,Glyphorynchus,spirurus
JUM,V14,,Megastictus,margaritatus
JUM,V15,,Myrmelastes,leucostigma
JUM,V17,,Glyphorynchus,spirurus
JUM,V19,,Corythopis,torquatus
JUM,V20,,Myrmelastes,leucostigma
JUM,V22,,Myrmelastes,leucostigma
JUM,V23,,Myrmelastes,leucostigma
JUM,V26,,Schiffornis,turdina
JUM,V29,,Megastictus,margaritatus
JUM,V30,,Glyphorynchus,spirurus
JUM,V31,,Glyphorynchus,spirurus
JUM,V32,,Pithys,albifrons
JUM,V33,,Glyphorynchus,spirurus
JUM,V34,,Myrmelastes,leucostigma
JUM,V36,,Megastictus,margaritatus
JUM,V39,,Megastictus,margaritatus
JUM,V40,,Myrmotherula,axillaris
JUM,V41,,Megastictus,margaritatus
JUM,V44,,Myrmoborus,myotherinus
JUM,V49,,Corythopis,torquatus
JUM,V50,,Loriotus,cristatus
JUM,V64,,Ceratopipra,erythrocephala
JUM,V68,,Epinecrophylla,haematonota
JUM,V81,,Megastictus,margaritatus
JUM,V82,,Pithys,albifrons
JUM,V87,,Pithys,albifrons
JUM,V90,,Manacus,manacus
JUM,V91,,Mionectes,oleagineus
JUM,V93,,Willisornis,poecilinotus
JUM,V96,,Lepidothrix,coronata
JUM,V102,,Pheugopedius,coraya
JUM,V103,,Hylophylax,naevius
JUM,V104,,Megastictus,margaritatus
JUM,V108,,Glyphorynchus,spirurus
JUM,V109,,Mionectes,oleagineus
JUM,V110,,Megastictus,margaritatus
JUM,V112,,Gymnopithys,leucaspis
JUM,V113,,Gymnopithys,leucaspis
JUM,V114,,Xiphorhynchus,elegans
JUM,V115,,Epinecrophylla,haematonota
JUM,V116,,Glyphorynchus,spirurus
JUM,V118,,Mionectes,oleagineus
JUM,V120,,Threnetes,leucurus
JUM,V122,,Mionectes,oleagineus
JUM,V123,,Schiffornis,turdina
JUM,V124,,Schiffornis,turdina
JUM,V125?,,Isleria,hauxwelli
JUM,V126,,Isleria,hauxwelli
JUM,V127,,Myrmotherula,axillaris
JUM,V129,,Dendrocincla,fuliginosa
JUM,V130,,Ceratopipra,erythrocephala
JUM,V132,,Thamnophilus,murinus
JUM,V135,,Sclerurus,caudatus
JUM,V137,,Philydor,erythrocercum
JUM,V138,,Dendrocincla,merula
JUM,V139,,Synallaxis,rutilans
JUM,V140,,Tangara,chilensis
JUM,V145,,Glyphorynchus,spirurus
JUM,V148,,Willisornis,poecilinotus
JUM,V149,,Hypocnemis,hypoxantha
JUM,V155,,Hypocnemis,hypoxantha
JUM,V156,,Hypocnemis,hypoxantha
JUM,V157,,Xenops,minutus
JUM,V158,,Pithys,albifrons
JUM,V160,,Microcerculus,marginatus
JUM,V162,,Myrmotherula,axillaris
JUM,V163,,Willisornis,poecilinotus
JUM,V167,,Epinecrophylla,haematonota
JUM,V168,,Tachyphonus,surinamus
JUM,V173,,Glyphorynchus,spirurus
JUM,V175,,Megastictus,margaritatus
JUM,V179,,Willisornis,poecilinotus
JUM,V182,,Willisornis,poecilinotus
JUM,V183,,Dendrocincla,fuliginosa
JUM,V187,,Megastictus,margaritatus
JUM,V184,,Dendrocincla,fuliginosa
JUM,V192,,Xiphorhynchus,elegans
JUM,V196,,Attila,citriniventris
JUM,V200,,Glyphorynchus,spirurus
JUM,V204,,Dendrocincla,merula
JUM,V209,,Gymnopithys,leucaspis
JUM,V210,,Willisornis,poecilinotus
JUM,V215,,Dendrocincla,fuliginosa
JUM,V216,,Onychorhynchus,coronatus
JUM,V223,,Formicarius,colma
JUM,V220,,Glyphorynchus,spirurus
JUM,V225,,Glyphorynchus,spirurus
JUM,V227,,Heterocercus,aurantiivertex
JUM,V228,,Pithys,albifrons
JUM,V223,,Formicarius,colma
JUM,V224,,Pithys,albifrons
JUM,V235,,Glyphorynchus,spirurus
JUM,V240,,Glyphorynchus,spirurus
JUM,V243,,Xiphorhynchus,elegans
JUM,V245,,Heterocercus,aurantiivertex
JUM,V253,,Sclerurus,mexicanus
JUM,V254,,Formicarius,colma
JUM,V256,,Megastictus,margaritatus
JUM,V257,,Glyphorynchus,spirurus
JUM,V259,,Xenops,minutus
JUM,V260,,Willisornis,poecilinotus
JUM,V261,,Glyphorynchus,spirurus
JUM,V268,,Megastictus,margaritatus
JUM,V269,,Willisornis,poecilinotus
JUM,V270,,Heterocercus,aurantiivertex
JUM,V274,,Willisornis,poecilinotus
JUM,V282,,Ceratopipra,erythrocephala
JUM,V283,,Geotrygon,montana
JUM,V285,,Dendrocincla,fuliginosa
JUM,V289,,Gymnopithys,leucaspis
