Host.Family,BLFamilyLatin,species_clean,species_jetz,Lice.Species,Lice.Species2,Lice.Species3,sociality,foraging_cat,elevation_cat,TipLabel,Full_Label,keycol,valuecol
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,new sp?,new sp?,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V694,Lice.Genus,Myrsidea
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,(various…),,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,M502,Lice.Genus,Rallicola
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,(various…),,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V192,Lice.Genus,Rallicola
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,new sp?,,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V820,Lice.Genus,Ricinus
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,new sp?,new sp?,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V694,Lice.Genus2,Ricinus
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,(various…),,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,M502,Lice.Genus2,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,(various…),,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V192,Lice.Genus2,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,new sp?,,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V820,Lice.Genus2,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,new sp?,new sp?,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V694,Lice.Genus3,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,(various…),,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,M502,Lice.Genus3,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,(various…),,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V192,Lice.Genus3,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,new sp?,,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V820,Lice.Genus3,
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,new sp?,,,1,undersory-midhigh,lowland_iquitos,Xenops_minutus,M561,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,inexpectata?,,,1,undersory-midhigh,lowland_manu,Xenops_minutus,P116096,Lice.Genus,Rallicola
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,new sp?,,,1,undersory-midhigh,lowland_iquitos,Xenops_minutus,M561,Lice.Genus2,
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,inexpectata?,,,1,undersory-midhigh,lowland_manu,Xenops_minutus,P116096,Lice.Genus2,
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,new sp?,,,1,undersory-midhigh,lowland_iquitos,Xenops_minutus,M561,Lice.Genus3,
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,inexpectata?,,,1,undersory-midhigh,lowland_manu,Xenops_minutus,P116096,Lice.Genus3,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,new sp?,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V813,Lice.Genus,Myrsidea
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,new sp.?,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V163,Lice.Genus,Philopteridae
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,new sp?,,,0,ground,lowland_manu,Willisornis_poecilinotus,P120675,Lice.Genus,Ricinus
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,new sp?,,,0,ground,other_iquitos,Willisornis_poecilinotus,1022,Lice.Genus,Ricinus
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,new sp?,new sp?,,0,ground,other_iquitos,Willisornis_poecilinotus,1022,Lice.Genus,Ricinus
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,new sp?,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V813,Lice.Genus2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,new sp.?,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V163,Lice.Genus2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,new sp?,,,0,ground,lowland_manu,Willisornis_poecilinotus,P120675,Lice.Genus2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,new sp?,,,0,ground,other_iquitos,Willisornis_poecilinotus,1022,Lice.Genus2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,new sp?,new sp?,,0,ground,other_iquitos,Willisornis_poecilinotus,1022,Lice.Genus2,Philopterus?
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,new sp?,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V813,Lice.Genus3,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,new sp.?,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V163,Lice.Genus3,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,new sp?,,,0,ground,lowland_manu,Willisornis_poecilinotus,P120675,Lice.Genus3,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,new sp?,,,0,ground,other_iquitos,Willisornis_poecilinotus,1022,Lice.Genus3,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,new sp?,new sp?,,0,ground,other_iquitos,Willisornis_poecilinotus,1022,Lice.Genus3,
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,(various?),,,0,ground,lowland_iquitos,Turdus_albicollis,M581,Lice.Genus,Myrsidea
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,(various?),,,0,ground,lowland_manu,Turdus_albicollis,P110144,Lice.Genus,Myrsidea
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,(various?),,,0,ground,lowland_manu,Turdus_albicollis,P110166,Lice.Genus,Myrsidea
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,(various?),,,0,ground,lowland_manu,Turdus_albicollis,P110334,Lice.Genus,Myrsidea
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,(various…),,,0,ground,lowland_iquitos,Turdus_albicollis,M500,Lice.Genus,Philopterus
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,(various?),,,0,ground,lowland_iquitos,Turdus_albicollis,M581,Lice.Genus2,
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,(various?),,,0,ground,lowland_manu,Turdus_albicollis,P110144,Lice.Genus2,
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,(various?),,,0,ground,lowland_manu,Turdus_albicollis,P110166,Lice.Genus2,
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,(various?),,,0,ground,lowland_manu,Turdus_albicollis,P110334,Lice.Genus2,
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,(various…),,,0,ground,lowland_iquitos,Turdus_albicollis,M500,Lice.Genus2,
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,(various?),,,0,ground,lowland_iquitos,Turdus_albicollis,M581,Lice.Genus3,
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,(various?),,,0,ground,lowland_manu,Turdus_albicollis,P110144,Lice.Genus3,
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,(various?),,,0,ground,lowland_manu,Turdus_albicollis,P110166,Lice.Genus3,
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,(various?),,,0,ground,lowland_manu,Turdus_albicollis,P110334,Lice.Genus3,
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,(various…),,,0,ground,lowland_iquitos,Turdus_albicollis,M500,Lice.Genus3,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,new sp?,,,1,other,montane_manu,Trichothraupis_melanops,SP110004,Lice.Genus,Myrsidea
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,new sp?,,,1,other,montane_manu,Trichothraupis_melanops,SP110036,Lice.Genus,Myrsidea
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,new sp?,,,1,other,montane_manu,Trichothraupis_melanops,SP110038,Lice.Genus,Myrsidea
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,new sp?,,,1,other,montane_manu,Trichothraupis_melanops,SP120764,Lice.Genus,Myrsidea
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,new sp?,,,1,other,montane_manu,Trichothraupis_melanops,SP110004,Lice.Genus2,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,new sp?,,,1,other,montane_manu,Trichothraupis_melanops,SP110036,Lice.Genus2,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,new sp?,,,1,other,montane_manu,Trichothraupis_melanops,SP110038,Lice.Genus2,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,new sp?,,,1,other,montane_manu,Trichothraupis_melanops,SP120764,Lice.Genus2,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,new sp?,,,1,other,montane_manu,Trichothraupis_melanops,SP110004,Lice.Genus3,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,new sp?,,,1,other,montane_manu,Trichothraupis_melanops,SP110036,Lice.Genus3,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,new sp?,,,1,other,montane_manu,Trichothraupis_melanops,SP110038,Lice.Genus3,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,new sp?,,,1,other,montane_manu,Trichothraupis_melanops,SP120764,Lice.Genus3,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110027,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110047,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110367,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121002,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121046,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121163,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,leeae?,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110039,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,leeae?,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121019,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,leeae?,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121090,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,leeae?,new sp?,1,understory,montane_manu,Thripadectes_melanorhynchus,SP120954,Lice.Genus,Myrsidea
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP120061,Lice.Genus,unknown
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110027,Lice.Genus2,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110047,Lice.Genus2,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110367,Lice.Genus2,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121002,Lice.Genus2,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121046,Lice.Genus2,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121163,Lice.Genus2,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,leeae?,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110039,Lice.Genus2,Rallicola
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,leeae?,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121019,Lice.Genus2,Rallicola
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,leeae?,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121090,Lice.Genus2,Rallicola
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,leeae?,new sp?,1,understory,montane_manu,Thripadectes_melanorhynchus,SP120954,Lice.Genus2,Rallicola
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP120061,Lice.Genus2,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110027,Lice.Genus3,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110047,Lice.Genus3,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110367,Lice.Genus3,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121002,Lice.Genus3,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121046,Lice.Genus3,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121163,Lice.Genus3,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,leeae?,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP110039,Lice.Genus3,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,leeae?,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121019,Lice.Genus3,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,leeae?,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP121090,Lice.Genus3,
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,new sp?,leeae?,new sp?,1,understory,montane_manu,Thripadectes_melanorhynchus,SP120954,Lice.Genus3,Menoponidae
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,,,,1,understory,montane_manu,Thripadectes_melanorhynchus,SP120061,Lice.Genus3,
Apodiformes,Trochilidae,Threnetes leucurus,Threnetes leucurus,new sp.?/or contamination,,,0,understory,lowland_iquitos,Threnetes_leucurus,V120,Lice.Genus,Myrsidea
Apodiformes,Trochilidae,Threnetes leucurus,Threnetes leucurus,new sp.?/or contamination,,,0,understory,lowland_iquitos,Threnetes_leucurus,V120,Lice.Genus2,
Apodiformes,Trochilidae,Threnetes leucurus,Threnetes leucurus,new sp.?/or contamination,,,0,understory,lowland_iquitos,Threnetes_leucurus,V120,Lice.Genus3,
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,cyanocephalae?,new sp?,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130566,Lice.Genus,Myrsidea
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,new sp?,,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W120525,Lice.Genus,Philopterus-like
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,new sp?,,,1,canopy,high_montane_manu,Thraupis_cyanocephala,W130188,Lice.Genus,Philopterus-like
