Host.Family,BLFamilyLatin,species_clean,species_jetz,Mite.Genus,Mite.Genus2,sociality,foraging_cat,elevation_cat,TipLabel,Sample.Full..,keycol,valuecol
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,M533,Mite.Group,Feather
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V1268,Mite.Group,Feather
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,,,1,midhigh,lowland_manu,Xiphorhynchus_elegans,P120795,Mite.Group,Feather
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,,,1,midhigh,lowland_manu,Xiphorhynchus_elegans,P121399,Mite.Group,Feather
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V694,Mite.Group,Feather
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,,,1,midhigh,other_iquitos,Xiphorhynchus_elegans,820,Mite.Group,Feather
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,,Oribatida,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V680,Mite.Group,Feather
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V1235,Mite.Group,Feather
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V299,Mite.Group,Feather
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,M533,Mite.Group2,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V1268,Mite.Group2,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,,,1,midhigh,lowland_manu,Xiphorhynchus_elegans,P120795,Mite.Group2,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,,,1,midhigh,lowland_manu,Xiphorhynchus_elegans,P121399,Mite.Group2,
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V694,Mite.Group2,Mesostigmatid
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,,,1,midhigh,other_iquitos,Xiphorhynchus_elegans,820,Mite.Group2,Mesostigmatid
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,,Oribatida,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V680,Mite.Group2,Oribatida
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V1235,Mite.Group2,Trombiculid
Furnariidae,Dendrocolaptidae,Xiphorhynchus elegans,Xiphorhynchus elegans,,,1,midhigh,lowland_iquitos,Xiphorhynchus_elegans,V299,Mite.Group2,Unknown
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,,,1,undersory-midhigh,lowland_iquitos,Xenops_minutus,M561,Mite.Group,Feather
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,,,1,undersory-midhigh,lowland_iquitos,Xenops_minutus,V157,Mite.Group,Feather
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,,,1,undersory-midhigh,lowland_manu,Xenops_minutus,P116096,Mite.Group,Feather
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,,,1,undersory-midhigh,lowland_manu,Xenops_minutus,P116097,Mite.Group,Feather
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,,,1,undersory-midhigh,lowland_manu,Xenops_minutus,P110367,Mite.Group,Feather
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,,,1,undersory-midhigh,lowland_manu,Xenops_minutus,P115935,Mite.Group,Feather
Furnariidae,Furnariidae,Xenops minutus,Xenops minutus,,,1,undersory-midhigh,lowland_iquitos,Xenops_minutus,M561,Mite.Group2,
