,sample,Sample_label,Sample_No,Full_Label,species_jetz,species_clean,species_binomial,family,sociality,mass_tidy,elevation_cat,foraging_cat,Powder.lvl,elevation_midpoint,ectoparasites_PA,general_diversity,Lice,Mites,Ticks,total_lice,Female,Male,Nimph,Eggs,total_mites,total_mesostigmatidae,total_no_feathers_mites,species_binomial.x,x,ectoparasite_code,species_taxonomy_SACC_2021,elevation_all_years,net_elevation,elevation_extrapolated_date,elevation_midpoint.1,Species_parameters,Station,X,species.y,degree,w_degree,elevation,date,year_seasonality,degree_species,degree_w_species
1,120069,SP12,69,SP120069,Anabacerthia_striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,Furnariidae,1,24.58886525,montane_manu,midhigh,low,1397,1,1,0,1,0,0,0,0,0,0,11,0,0,Anabacerthia_striaticollis,4586,29_6_2012_san_pedro_Anabacerthia striaticollis,Anabacerthia_striaticollis,NA,NA,1387,1397,Anabacerthia striaticollis,san_pedro,1,Anabacerthia_striaticollis,67,8.122886626,1387,2012-06-29,181,78,8.768245732
2,110073,NA,P110073,P110073,Thamnomanes_ardesiacus,Thamnomanes ardesiacus,Thamnomanes_ardesiacus,Thamnophilidae,1,18.58714286,lowland_manu,midhigh,med,421,1,1,0,1,0,0,0,0,0,0,4,0,0,Thamnomanes_ardesiacus,484,1_10_2011_pantiacolla_Thamnomanes ardesiacus,Thamnomanes_ardesiacus,392,NA,392,421,Thamnomanes ardesiacus,pantiacolla,2,Thamnomanes_ardesiacus,36,3.602134217,392,2011-10-01,274,67,5.552660458
3,110076,NA,P110076,P110076,Thamnomanes_ardesiacus,Thamnomanes ardesiacus,Thamnomanes_ardesiacus,Thamnophilidae,1,18.58714286,lowland_manu,midhigh,low,421,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,485,1_10_2011_pantiacolla_Thamnomanes ardesiacus,Thamnomanes_ardesiacus,392,NA,392,421,Thamnomanes ardesiacus,pantiacolla,3,Thamnomanes_ardesiacus,36,3.602134217,392,2011-10-01,274,67,5.552660458
4,110082,NA,P110082,P110082,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,489,1_10_2011_pantiacolla_Myrmotherula axillaris,Myrmotherula_axillaris,392,NA,392,415,Myrmotherula axillaris,pantiacolla,4,Myrmotherula_axillaris,50,5.115572387,392,2011-10-01,274,95,7.661990829
5,110125,NA,P110125,P110125,Hylophilus_ochraceiceps,Tunchiornis ochraceiceps,Hylophilus_ochraceiceps,Vireonidae,1,11.72933333,lowland_manu,understory,very low,892,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,516,7_10_2011_pantiacolla_Hylophilus ochraceiceps,Tunchiornis_ochraceiceps,397,NA,397,892,Hylophilus ochraceiceps,pantiacolla,5,Tunchiornis_ochraceiceps,27,2.378921098,397,2011-10-07,280,48,4.195097283
6,110128,NA,P110128,P110128,Thamnomanes_schistogynus,Thamnomanes schistogynus,Thamnomanes_schistogynus,Thamnophilidae,1,17.905,lowland_manu,midhigh,low,430,1,1,0,1,0,0,0,0,0,0,33,0,0,Thamnomanes_schistogynus,518,7_10_2011_pantiacolla_Thamnomanes schistogynus,Thamnomanes_schistogynus,397,NA,397,430,Thamnomanes schistogynus,pantiacolla,6,Thamnomanes_schistogynus,61,4.883413016,397,2011-10-07,280,108,7.204062452
7,110149,NA,P110149,P110149,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,1,1,0,0,1,0,0,0,0,0,0,0,0,NA,523,10_10_2011_pantiacolla_Myrmotherula axillaris,Myrmotherula_axillaris,413,NA,413,415,Myrmotherula axillaris,pantiacolla,7,Myrmotherula_axillaris,84,7.364299375,413,2011-10-10,283,95,7.661990829
8,110297,NA,P110297,P110297,Thamnomanes_ardesiacus,Thamnomanes ardesiacus,Thamnomanes_ardesiacus,Thamnophilidae,1,18.58714286,lowland_manu,midhigh,low,421,1,1,0,1,0,0,0,0,0,0,13,0,0,Thamnomanes_ardesiacus,598,22_10_2011_pantiacolla_Thamnomanes ardesiacus,Thamnomanes_ardesiacus,398,NA,398,421,Thamnomanes ardesiacus,pantiacolla,8,Thamnomanes_ardesiacus,48,4.541416425,398,2011-10-22,295,67,5.552660458
9,110337,NA,P110337,P110337,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,626,28_10_2011_pantiacolla_Myrmotherula axillaris,Myrmotherula_axillaris,432,NA,432,415,Myrmotherula axillaris,pantiacolla,9,Myrmotherula_axillaris,87,7.503515061,432,2011-10-28,301,95,7.661990829
10,110387,NA,P110387,P110387,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,654,2_11_2011_pantiacolla_Myrmotherula axillaris,Myrmotherula_axillaris,414,NA,414,415,Myrmotherula axillaris,pantiacolla,10,Myrmotherula_axillaris,84,7.364299375,414,2011-11-02,306,95,7.661990829
11,110391,NA,P110391,P110391,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,655,2_11_2011_pantiacolla_Myrmotherula axillaris,Myrmotherula_axillaris,414,NA,414,415,Myrmotherula axillaris,pantiacolla,11,Myrmotherula_axillaris,84,7.364299375,414,2011-11-02,306,95,7.661990829
12,115908,NA,P115908,P115908,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,1,1,0,1,0,0,0,0,0,0,5,0,0,Myrmotherula_axillaris,8,9_8_2011_pantiacolla_Myrmotherula axillaris,Myrmotherula_axillaris,397,NA,397,415,Myrmotherula axillaris,pantiacolla,12,Myrmotherula_axillaris,57,5.801869935,397,2011-08-09,221,95,7.661990829
13,115909,NA,P115909,P115909,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,med,415,1,1,0,1,0,0,0,0,0,0,1,1,1,Myrmotherula_axillaris,9,9_8_2011_pantiacolla_Myrmotherula axillaris,Myrmotherula_axillaris,397,NA,397,415,Myrmotherula axillaris,pantiacolla,13,Myrmotherula_axillaris,57,5.801869935,397,2011-08-09,221,95,7.661990829
14,115953,NA,P115953,P115953,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,1,1,0,1,0,0,0,0,0,0,24,0,0,Myrmotherula_axillaris,28,10_8_2011_pantiacolla_Myrmotherula axillaris,Myrmotherula_axillaris,397,NA,397,415,Myrmotherula axillaris,pantiacolla,14,Myrmotherula_axillaris,57,5.801869935,397,2011-08-10,222,95,7.661990829
15,115954,NA,P115954,P115954,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,med,415,1,1,0,1,0,0,0,0,0,0,5,0,0,Myrmotherula_axillaris,29,10_8_2011_pantiacolla_Myrmotherula axillaris,Myrmotherula_axillaris,397,NA,397,415,Myrmotherula axillaris,pantiacolla,15,Myrmotherula_axillaris,57,5.801869935,397,2011-08-10,222,95,7.661990829
16,115976,NA,P115976,P115976,Lanio_versicolor,Lanio versicolor,Lanio_versicolor,Thraupidae,1,19.76205128,lowland_manu,canopy,low,438,1,2,1,1,0,20,5,2,13,0,40,16,16,Lanio_versicolor,38,10_8_2011_pantiacolla_Lanio versicolor,Lanio_versicolor,397,NA,397,438,Lanio versicolor,pantiacolla,16,Lanio_versicolor,45,5.045559418,397,2011-08-10,222,96,9.571115041
17,115979,NA,P115979,P115979,Thamnomanes_schistogynus,Thamnomanes schistogynus,Thamnomanes_schistogynus,Thamnophilidae,1,17.905,lowland_manu,midhigh,med,430,1,1,0,1,0,0,0,0,0,0,14,1,1,Thamnomanes_schistogynus,46,11_8_2011_pantiacolla_Thamnomanes schistogynus,Thamnomanes_schistogynus,397,NA,397,430,Thamnomanes schistogynus,pantiacolla,17,Thamnomanes_schistogynus,61,4.883413016,397,2011-08-11,223,108,7.204062452
18,116000,NA,P116000,P116000,Thamnomanes_schistogynus,Thamnomanes schistogynus,Thamnomanes_schistogynus,Thamnophilidae,1,17.905,lowland_manu,midhigh,low,430,1,1,0,1,0,0,0,0,0,0,37,0,0,Thamnomanes_schistogynus,48,11_8_2011_pantiacolla_Thamnomanes schistogynus,Thamnomanes_schistogynus,397,NA,397,430,Thamnomanes schistogynus,pantiacolla,18,Thamnomanes_schistogynus,61,4.883413016,397,2011-08-11,223,108,7.204062452
19,110167,P11,167,P110167,Monasa_morphoeus,Monasa morphoeus,Monasa_morphoeus,Bucconidae,1,73.41272727,lowland_manu,ground-midhigh,low,417,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,539,11_10_2011_pantiacolla_Monasa morphoeus,Monasa_morphoeus,413,NA,413,417,Monasa morphoeus,pantiacolla,19,Monasa_morphoeus,61,7.098039175,413,2011-10-11,284,68,7.765871343
20,116435,P11,6435,P116435,Lepidothrix_coronata,Lepidothrix coronata,Lepidothrix_coronata,Pipridae,1,9.769768786,lowland_manu,undersory-midhigh,med,417.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,373,4_9_2011_pantiacolla_Monasa nigrifrons,Monasa_nigrifrons,397,NA,397,417.5,Monasa nigrifrons,pantiacolla,20,Monasa_nigrifrons,13,1.026944494,397,2011-09-04,247,10,0.853043121
21,120872,P12,872,P120872,Monasa_nigrifrons,Monasa nigrifrons,Monasa_nigrifrons,Bucconidae,1,80.46733333,lowland_manu,other,low,409,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1158,15_8_2012_pantiacolla_Monasa nigrifrons,Monasa_nigrifrons,NA,NA,415,409,Monasa nigrifrons,pantiacolla,21,Monasa_nigrifrons,24,2.648558251,415,2012-08-15,228,25,3.148558251
22,120813,SP12,SP120813,SP120813,Malacoptila_fulvogularis,Malacoptila fulvogularis,Malacoptila_fulvogularis,Bucconidae,1,48.74470588,montane_manu,undersory-midhigh,low,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1935,19_8_2012_san_pedro_Malacoptila fulvogularis,Malacoptila_fulvogularis,1337,NA,1337,1395,Malacoptila fulvogularis,san_pedro,22,Malacoptila_fulvogularis,14,1.402664,1337,2012-08-19,232,15,1.493573091
23,120878,SP12,SP120878,SP120878,Galbula_cyanescens,Galbula cyanescens,Galbula_cynescens,Galbulidae,1,24.96074074,montane_manu,midhigh,low,486.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1671,30_8_2012_san_pedro_Galbula cyanescens,Galbula_cyanescens,1376,NA,1376,486.5,Galbula cyanescens,san_pedro,23,Galbula_cyanescens,10,0.814447448,1376,2012-08-30,243,18,1.936167346
24,120917,SP12,SP120917,SP120917,Malacoptila_fulvogularis,Malacoptila fulvogularis,Malacoptila_fulvogularis,Bucconidae,1,48.74470588,montane_manu,undersory-midhigh,low,1395,1,1,0,1,0,0,0,0,0,0,1,0,0,Malacoptila_fulvogularis,1697,3_9_2012_san_pedro_Malacoptila fulvogularis,Malacoptila_fulvogularis,1395,NA,1395,1395,Malacoptila fulvogularis,san_pedro,24,Malacoptila_fulvogularis,14,1.402664,1395,2012-09-03,247,15,1.493573091
25,115929,P11,5929,P115929,Automolus_melanopezus,Automolus melanopezus,Automolus_melanopezus,Furnariidae,1,31.118,lowland_manu,understory,high,413,1,2,1,1,0,40,7,4,5,0,151,0,0,Automolus_melanopezus,4177,10_8_2011_pantiacolla_Automolus melanopezus,Automolus_melanopezus,NA,NA,397,413,Automolus melanopezus,pantiacolla,25,Automolus_melanopezus,20,1.736322145,397,2011-08-10,222,43,4.177260727
26,121176,SP12,SP121176,SP121176,Malacoptila_fulvogularis,Malacoptila fulvogularis,Malacoptila_fulvogularis,Bucconidae,1,48.74470588,montane_manu,undersory-midhigh,low,1395,1,1,0,1,0,0,0,0,0,0,1,1,1,Malacoptila_fulvogularis,1841,22_10_2012_san_pedro_Malacoptila fulvogularis,Malacoptila_fulvogularis,1418,NA,1418,1395,Malacoptila fulvogularis,san_pedro,26,Malacoptila_fulvogularis,14,1.402664,1418,2012-10-22,296,15,1.493573091
