"","sample","species","degree","w_degree","elevation"
"1","SP120069","Anabacerthia_striaticollis",67,8.12288662616433,1387
"2","P110073","Thamnomanes_ardesiacus",36,3.60213421736833,392
"3","P110076","Thamnomanes_ardesiacus",36,3.60213421736833,392
"4","P110082","Myrmotherula_axillaris",50,5.11557238677621,392
"5","P110125","Tunchiornis_ochraceiceps",27,2.37892109798044,397
"6","P110128","Thamnomanes_schistogynus",61,4.88341301642313,397
"7","P110149","Myrmotherula_axillaris",84,7.3642993751884,413
"8","P110297","Thamnomanes_ardesiacus",48,4.54141642452287,398
"9","P110337","Myrmotherula_axillaris",87,7.50351506146291,432
"10","P110387","Myrmotherula_axillaris",84,7.3642993751884,414
"11","P110391","Myrmotherula_axillaris",84,7.3642993751884,414
"12","P115908","Myrmotherula_axillaris",57,5.80186993471915,397
"13","P115909","Myrmotherula_axillaris",57,5.80186993471915,397
"14","P115953","Myrmotherula_axillaris",57,5.80186993471915,397
"15","P115954","Myrmotherula_axillaris",57,5.80186993471915,397
"16","P115976","Lanio_versicolor",45,5.04555941832352,397
"17","P115979","Thamnomanes_schistogynus",61,4.88341301642313,397
"18","P116000","Thamnomanes_schistogynus",61,4.88341301642313,397
"19","P110167","Monasa_morphoeus",61,7.09803917481899,413
"20","P116435","Monasa_nigrifrons",13,1.02694449431777,397
"21","P120872","Monasa_nigrifrons",24,2.64855825093152,415
"22","SP120813","Malacoptila_fulvogularis",14,1.40266400043966,1337
"23","SP120878","Galbula_cyanescens",10,0.81444744797686,1376
"24","SP120917","Malacoptila_fulvogularis",14,1.40266400043966,1395
"25","P115929","Automolus_melanopezus",20,1.73632214508142,397
"26","SP121176","Malacoptila_fulvogularis",14,1.40266400043966,1418
"27","SP121189","Malacoptila_fulvogularis",14,1.40266400043966,1418
"28","SP121235","Malacoptila_fulvogularis",14,1.40266400043966,1418
"29","SP121276","Malacoptila_fulvogularis",14,1.32690642468208,1307
"30","W120481","Pipreola_intermedia",17,2.23393697362685,2816
"31","W120662","Pipreola_intermedia",16,2.12282586251574,2833
"32","W120693","Pipreola_intermedia",17,2.23393697362685,2742
"33","W120701","Pipreola_intermedia",17,2.23393697362685,2742
"34","W120816","Pipreola_intermedia",17,2.23393697362685,2681
"35","W121017","Pipreola_intermedia",17,2.23393697362685,2650
"36","W121018","Pipreola_intermedia",17,2.23393697362685,2650
