species_taxonomy_SACC_2021,deg_numeric,deg_weighted,species.x,species_jetz,TipLabel.x
Akletos_goeldii,10,0.83036485,Myrmeciza goeldi,Myrmeciza_goeldii,Myrmeciza_goeldii
Ampelion_rubrocristatus,15,1.354023475,Ampelion rubrocristatus,Ampelion_rubrocristatus,Ampelion_rubrocristatus
Anabacerthia_ruficaudata,12,1.923050787,Philydor ruficaudatum,Philydor_ruficaudatum,Philydor_ruficaudatum
Anabacerthia_striaticollis,78,8.768245732,Anabacerthia striaticollis,Anabacerthia_striaticollis,Anabacerthia_striaticollis
Anabazenops_dorsalis,51,4.477773579,Anabazenops dorsalis,Anabazenops_dorsalis,Anabazenops_dorsalis
Ancistrops_strigilatus,11,1.844945752,Ancistrops strigilatus,Ancistrops_strigilatus,Ancistrops_strigilatus
Anisognathus_igniventris,40,5.462899245,Anisognathus igniventris,Anisognathus_igniventris,Anisognathus_igniventris
Anisognathus_somptuosus,17,3.156796682,Anisognathus somptuosus,Anisognathus_somptuosus,Anisognathus_somptuosus
Arremon_taciturnus,20,2.583508787,Arremon taciturnus,Arremon_taciturnus,Arremon_taciturnus
Arremon_torquatus,10,0.555642463,Arremon torquatus,Arremon_torquatus,Arremon_torquatus
Atlapetes_melanolaemus,64,5.733462527,Atlapetes melanolaemus,Atlapetes_melanolaemus,Atlapetes_melanolaemus
Automolus_infuscatus,68,6.55732564,Automolus infuscatus,Automolus_infuscatus,Automolus_infuscatus
Automolus_melanopezus,43,4.177260727,Automolus melanopezus,Automolus_melanopezus,Automolus_melanopezus
Automolus_ochrolaemus,127,9.301351402,Automolus ochrolaemus,Automolus_ochrolaemus,Automolus_ochrolaemus
Automolus_rufipileatus,18,1.75939075,Automolus rufipileatus,Automolus_rufipileatus,Automolus_rufipileatus
Automolus_subulatus,45,4.584758723,Hyloctistes subulatus,Hyloctistes_subulatus,Hyloctistes_subulatus
Basileuterus_tristriatus,66,7.910535746,Basileuterus tristriatus,Basileuterus_tristriatus,Basileuterus_tristriatus
Bucco_capensis,16,4.11350402,Bucco capensis,Bucco_capensis,Bucco_capensis
Buthraupis_montana,47,6.173414929,Buthraupis montana,Buthraupis_montana,Buthraupis_montana
Cacicus_chrysonotus,27,3.434844195,Cacicus chrysonotus,Cacicus_chrysonotus,Cacicus_chrysonotus
Campephilus_melanoleucos,7,0.324933862,Campephilus melanoleucos,Campephilus_melanoleucos,Campephilus_melanoleucos
Campephilus_rubricollis,21,4.04207549,Campephilus rubricollis,Campephilus_rubricollis,Campephilus_rubricollis
Campylorhamphus_trochilirostris,35,3.496844967,Campylorhamphus trochilirostris,Campylorhamphus_trochilirostris,Campylorhamphus_trochilirostris
Capito_auratus,60,7.862744628,Capito auratus,Capito_auratus,Capito_auratus
Catamblyrhynchus_diadema,14,1.661572271,Catamblyrhynchus diadema,Catamblyrhynchus_diadema,Catamblyrhynchus_diadema
Celeus_grammicus,38,4.924340919,Celeus grammicus,Celeus_grammicus,Celeus_grammicus
Ceratopipra_chloromeros,5,0.204069659,Dixiphia chloromeros,Pipra_chloromeros,Pipra_chloromeros
Cercomacra_manu,7,0.780836198,Cercomacra manu,Cercomacra_manu,Cercomacra_manu
