"","species_binomial","cumulative_richness","sample_size","host_family","species_jetz","elevation_midpoint","total_sample_size","foraging_cat","sociality","mass_tidy_species","degree_species","degree_w_species"
"1","Anabacerthia_striaticollis",1,2,"Furnariidae","Anabacerthia_striaticollis",1397,8,"midhigh",1,24.58886525,78,8.768245732
"2","Ancistrops_strigilatus",1,1,"Furnariidae","Ancistrops_strigilatus",476.5,2,"ground-understory",1,33.46333333,11,1.844945752
"3","Anisognathus_igniventris",2,2,"Thraupidae
","Anisognathus_igniventris",2932,8,"midhigh",1,34.8345,40,5.462899245
"4","Arremon_taciturnus",1,8,"Passerellidae","Arremon_taciturnus",429,12,"ground-understory",1,27.7755,20,2.583508787
"5","Arremon_torquatus",2,9,"Passerellidae
","Arremon_torquatus",2742,11,"undersory-midhigh",1,42.28636364,10,0.555642463
"6","Automolus_infuscatus",1,1,"Furnariidae","Automolus_infuscatus",419,1,"understory",1,39.19135135,68,6.55732564
"7","Automolus_melanopezus",2,1,"Furnariidae","Automolus_melanopezus",413,1,"understory",1,31.118,43,4.177260727
"8","Automolus_ochrolaemus",2,4,"Furnariidae","Automolus_ochrolaemus",680,9,"understory",1,34.96803922,127,9.301351402
"9","Basileuterus_tristriatus",3,9,"Parulidae","Basileuterus_tristriatus",1459,11,"understory",1,12.9,66,7.910535746
"10","Buthraupis_montana",2,3,"Thraupidae","Buthraupis_montana",2784,4,"midhigh",1,89.22766667,47,6.173414929
"11","Ceratopipra _chloromeros",3,9,"Pipridae","Pipra_chloromeros",416,16,"undersory-midhigh",1,16.72324324,5,0.204069659
"12","Chlorochrysa_calliparaea",1,1,"Thraupidae","Chlorochrysa_calliparaea",1387,3,"midhigh-canopy",1,17.34217391,106,11.10692484
"13","Chlorornis_riefferii",3,8,"Thraupidae","Chlorornis_riefferii",2728,14,"midhigh",1,48.93459016,49,6.446265492
"14","Chlorospingus_flavigularis",3,14,"Passerellidae","Chlorospingus_flavigularis",1362,16,"understory",1,25.95577586,106,10.27773746
"15","Chlorothraupis_carmioli",1,6,"Cardinalidae","Chlorothraupis_carmioli",600,5,"other",1,37.5053125,60,5.179619391
"16","Conopophaga_peruviana",1,1,"Conopophagidae","Conopophaga_peruviana",415.5,1,"ground",1,24.6675,2,0.061666667
"17","Cyanoloxia_cyanoides",1,3,"Cardinalidae","Cyanocompsa_cyanoides",423.5,6,"ground",1,26.23404255,13,1.138794539
"18","Diglossa_glauca",1,1,"Thraupidae","Diglossa_glauca",1758,1,"midhigh",1,12.82984848,41,4.780878022
"19","Epinecrophylla_erythrura",1,1,"Thamnophilidae","Epinecrophylla_erythrura",424,1,"midhigh",1,10.562,64,5.838193593
"20","Galbula_cyanescens",1,1,"Galbulidae","Galbula_cyanescens",486.5,2,"midhigh",1,24.96074074,18,1.936167346
"21","Glyphorynchus_spirurus",2,4,"Furnariidae","Glyphorynchus_spirurus",421,8,"canopy",1,15.41370221,106,8.887999604
"22","Habia_rubica",1,7,"Cardinalidae
","Habia_rubica",413,8,"midhigh",1,33.58774194,19,2.014367205
"23","Iridosornis_analis",1,2,"Thraupidae","Iridosornis_analis",1541,2,"understory",1,27.53977273,66,8.128682743
"24","Iridosornis_jelskii",2,6,"Thraupidae
","Iridosornis_jelskii",2859,14,"understory",1,20.34714286,23,2.685575813
"25","Kleinothraupis_atropileus",2,3,"Thraupidae
","Hemispingus_atropileus",2742,28,"understory",1,20.552,58,7.555573571
"26","Lanio_versicolor",1,4,"Thraupidae","Lanio_versicolor",438,4,"canopy",1,19.76205128,96,9.571115041
"27","Lepidothrix_coronata",2,2,"Pipridae","Lepidothrix_coronata",417.5,15,"undersory-midhigh",1,9.769768786,10,0.853043121
"28","Leptopogon_amaurocephalus",2,8,"Tyrannidae
","Leptopogon_amaurocephalus",417,14,"undersory-midhigh",1,11.67782609,92,8.553338964
"29","Leptopogon_superciliaris",3,7,"Tyrannidae","Leptopogon_superciliaris",1387,8,"midhigh",1,13.20830645,111,10.01949443
"30","Malacoptila_fulvogularis",1,1,"Bucconidae","Malacoptila_fulvogularis",1395,7,"undersory-midhigh",1,48.74470588,15,1.493573091
"31","Mionectes_macconnelli",3,13,"Tyrannidae","Mionectes_macconnelli",414,14,"midhigh",1,12.63060606,39,4.140692494
"32","Mionectes_oleagineus",2,4,"Tyrannidae","Mionectes_oleagineus",421,15,"undersory-midhigh",1,11.49915698,62,4.771319754
"33","Mionectes_olivaceus",1,18,"Tyrannidae","Mionectes_olivaceus",1262,21,"understory",1,14.85200461,76,5.901747981
"34","Myioborus_melanocephalus",1,1,"Parulidae
","Myioborus_melanocephalus",2578,12,"canopy",1,11.53984848,69,8.183346828
"35","Myioborus_miniatus",1,1,"Parulidae","Myioborus_miniatus",1404,5,"midhigh",1,9.782295082,119,10.67468762
"36","Myiothlypis_bivittata",2,5,"Parulidae","Basileuterus_bivittatus",1217,10,"midhigh",1,15.17214286,33,3.777219963
"37","Myiothlypis_coronata",2,6,"Parulidae","Basileuterus_coronatus",1541,12,"understory",1,16.03027273,39,5.300949067
"38","Myrmoborus_lophotes",1,1,"Thamnophilidae","Percnostola_lophotes",670,1,"ground-understory",1,30.48875,7,0.600269274
"39","Myrmoborus_myotherinus",1,2,"Thamnophilidae","Myrmoborus_myotherinus",426,5,"ground-understory",1,20.73168831,54,5.595179627
"40","Myrmotherula_axillaris",1,2,"Thamnophilidae","Myrmotherula_axillaris",415,19,"midhigh",1,8.457105263,95,7.661990829
"41","Percnostola_fortis",1,1,"Thamnophilidae","Myrmeciza_fortis",422.5,1,"ground",1,48.60083333,9,0.388662668
"42","Percnostola_goeldii",2,4,"Thamnophilidae","Myrmeciza_goeldii",438,4,"ground-understory",1,44.03666667,10,0.83036485
"43","Pipra_fasciicauda",3,19,"Pipridae","Pipra_fasciicauda",413,25,"undersory-midhigh",1,16.82485876,26,3.039821312
"44","Pipreola_intermedia",2,2,"Cotingidae","Pipreola_intermedia",2648,16,"undersory-midhigh",1,48.25075,17,2.233936974
"45","Premnoplex_brunnescens",1,3,"Furnariidae","Premnoplex_brunnescens",1366,28,"understory",1,15.77809045,5,0.429296484
"46","Pyrrhomyias_cinnamomeus",1,1,"Tyrannidae
","Pyrrhomyias_cinnamomeus",2324,2,"understory",1,11.10103448,102,8.938209634
"47","Saltator_maximus",1,1,"Thraupidae","Saltator_maximus",989,1,"other",1,45.26047619,104,9.489172598
"48","Sphenopsis_melanotis",1,3,"Thraupidae","Hemispingus_melanotis",1515,10,"understory",1,18.04464286,72,7.648793343
"49","Sporathraupis _cyanocephala",2,4,"Thraupidae","Thraupis_cyanocephala",2742.5,8,"canopy",1,38.99776119,45,5.160589524
"50","Syndactyla _ucayalae",1,1,"Furnariidae
","Simoxenops_ucayalae",717,1,"understory",1,52.21692308,25,2.683742831
"51","Tangara_arthus",1,5,"Thraupidae","Tangara_arthus",1308.5,10,"midhigh",1,21.19101695,102,10.47767758
"52","Tangara_schrankii",1,2,"Thraupidae","Tangara_schrankii",421,6,"midhigh",1,19.85320755,98,9.304499853
"53","Terenotriccus_erythrurus",2,2,"Tityridae
","Terenotriccus_erythrurus",413,6,"midhigh",1,7.369767442,7,0.390033069
"54","Thamnophilus_schistaceus",2,3,"Thamnophilidae","Thamnophilus_schistaceus",439,11,"midhigh",1,21.191,89,7.052464235
"55","Thripadectes_melanorhynchus",3,11,"Furnariidae","Thripadectes_melanorhynchus",1337,14,"understory",1,45.98929688,52,5.994101102
"56","Trichothraupis_melanops",1,4,"Thraupidae","Trichothraupis_melanops",1387,8,"other",1,24.68761468,54,5.778017008
"57","Xenops_minutus",1,1,"Furnariidae","Xenops_minutus",414,5,"undersory-midhigh",1,12.16725806,69,4.871310843
"58","Chlorospingus_ophthalmicus",NA,NA,NA,"Chlorospingus_ophthalmicus",1821,5,"other",1,21.97914286,58,6.352051618
"59","Cyanerpes_caeruleus",NA,NA,NA,"Cyanerpes_caeruleus",1124,2,"canopy",1,12.668,67,5.757468603
"60","Deconychura_longicauda",NA,NA,NA,"Deconychura_longicauda",439,5,"midhigh",1,30.6912,16,4.11350402
"61","Epinecrophylla_leucophthalma",NA,NA,NA,"Epinecrophylla_leucophthalma",415,2,"understory",1,10.10645161,54,5.323434718
"62","Euphonia_xanthogaster",NA,NA,NA,"Euphonia_xanthogaster",1337,1,"midhigh",1,13.62148594,110,8.935766985
"63","Automolus_subulatus",NA,NA,NA,"Hyloctistes_subulatus",419,1,"undersory-midhigh",1,28.85,45,4.584758723
"64","Hylophilus_ochraceiceps",NA,NA,NA,"Hylophilus_ochraceiceps",892,6,"understory",1,11.72933333,48,4.195097283
"65","Mecocerculus_stictopterus",NA,NA,NA,"Mecocerculus_stictopterus",2739,1,"midhigh-canopy",1,10.18833333,65,8.70661462
"66","Monasa_morphoeus",NA,NA,NA,"Monasa_morphoeus",417,1,"ground-midhigh",1,73.41272727,68,7.765871343
"67","Monasa_nigrifrons",NA,NA,NA,"Monasa_nigrifrons",409,2,"other",1,80.46733333,25,3.148558251
"68","Myiobius_barbatus",NA,NA,NA,"Myiobius_barbatus",424,2,"midhigh",1,12.84714286,19,2.079535399
"69","Myrmoborus_leucophrys",NA,NA,NA,"Myrmoborus_leucophrys",889,1,"ground",1,19.82189189,21,1.907735784
"70","Isleria_hauxwelli",NA,NA,NA,"Myrmotherula_hauxwelli",415,19,"other",1,11.27941606,18,1.42312775
"71","Myrmotherula_longicauda",NA,NA,NA,"Myrmotherula_longicauda",1210,2,"midhigh",1,8.21,20,2.395527284
"72","Myrmotherula_longipennis",NA,NA,NA,"Myrmotherula_longipennis",418.5,3,"undersory-midhigh",1,9.109375,84,8.225946015
"73","Myrmotherula_menetriesii",NA,NA,NA,"Myrmotherula_menetriesii",423.5,1,"midhigh",1,9.046,75,6.874567084
"74","Myrmotherula_schisticolor",NA,NA,NA,"Myrmotherula_schisticolor",1487,3,"midhigh",1,9.628441558,27,2.500404426
"75","Dendroma_erythroptera",NA,NA,NA,"Philydor_erythropterum",430,1,"midhigh-canopy",1,30,21,3.301011406
"76","Pogonotriccus_opthalmicus",NA,NA,NA,"Phylloscartes_ophthalmicus",1371,6,"midhigh",1,9.276296296,67,7.216003229
"77","Ramphotrigon_fuscicauda",NA,NA,NA,"Ramphotrigon_fuscicauda",431,2,"undersory-midhigh",1,18.96923077,55,5.934204634
"78","Rhyncgocyclus_fulvipectus",NA,NA,NA,"Rhynchocyclus_fulvipectus",1365,5,"understory",1,24.23724138,14,1.348078439
"79","Thamnomanes_ardesiacus",NA,NA,NA,"Thamnomanes_ardesiacus",421,11,"midhigh",1,18.58714286,67,5.552660458
"80","Thamnomanes_schistogynus",NA,NA,NA,"Thamnomanes_schistogynus",430,12,"midhigh",1,17.905,108,7.204062452
"81","Trogon_violaceus",NA,NA,NA,"Trogon_violaceus",583,1,"understory",1,46.18,34,3.922804418
"82","Xiphorhynchus_elegans",NA,NA,NA,"Xiphorhynchus_elegans",421,1,"midhigh",1,38.50835294,83,7.663382594
"83","Xiphorhynchus_triangularis",NA,NA,NA,"Xiphorhynchus_triangularis",1501,1,"midhigh",1,43.98926829,90,8.061920788
