,sample,Sample_label,Sample_No,Full_Label,species_jetz,species_clean,species_binomial,family,sociality,mass_tidy,elevation_cat,foraging_cat,Powder.lvl,elevation_midpoint,ectoparasites_PA,general_diversity,Lice,Mites,Ticks,total_lice,Female,Male,Nimph,Eggs,total_mites,total_mesostigmatidae,total_no_feathers_mites,species_binomial.x,x,ectoparasite_code,species,species_taxonomy_SACC_2021,elevation_all_years,net_elevation,elevation,elevation_midpoint.1,Species_parameters,Station,X,day,month,year,full_date,date_status,date,year_seasonality,mass_individual_day,mass_ind_count,
856,13248,SP13,248,SP13248,Ammodramus_aurifrons,Ammodramus aurifrons,Ammodramus_aurifrons,Emberizidae,0,17.815,montane_manu,ground,low,387,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3497,21_10_2013_san_pedro_Ammodramus aurifrons,Ammodramus aurifrons,Ammodramus_aurifrons,1262,NA,1262,387,Ammodramus aurifrons,san_pedro,NA,21,10,2013,2013-10-21,NA,2013-10-21,294,17.61,1,
846,121054,SP12,1054,SP121054,Ammodramus_aurifrons,Ammodramus aurifrons,Ammodramus_aurifrons,Emberizidae,0,17.815,montane_manu,ground,low,387,1,1,0,1,0,0,0,0,0,0,1,0,0,Ammodramus_aurifrons,1972,29_9_2012_san_pedro_Ammodramus aurifrons,Ammodramus aurifrons,Ammodramus_aurifrons,1337,NA,1337,387,Ammodramus aurifrons,san_pedro,NA,29,9,2012,2012-09-29,NA,2012-09-29,273,17.6,1,
408,13006,SP13,6,SP13006,Anabacerthia_striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,Furnariidae,1,24.58886525,montane_manu,midhigh,low,1397,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3417,10_9_2013_san_pedro_Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,1362,NA,1362,1397,Anabacerthia striaticollis,san_pedro,NA,10,9,2013,2013-09-10,NA,2013-09-10,253,NA,NA,
171,110188,SP11,188,SP110188,Anabacerthia_striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,Furnariidae,1,24.58886525,montane_manu,midhigh,med,1397,1,1,0,1,0,0,0,0,0,0,1,0,0,Anabacerthia_striaticollis,842,6_10_2011_san_pedro_Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,1337,NA,1337,1397,Anabacerthia striaticollis,san_pedro,NA,6,10,2011,2011-10-06,NA,2011-10-06,279,25.31333333,3,
306,120020,TL12,20,TL120020,Anabacerthia_striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,Furnariidae,1,24.58886525,montane_manu,midhigh,low,1397,1,1,0,1,0,0,0,0,0,0,2,0,0,Anabacerthia_striaticollis,1735,28_10_2012_san_pedro_Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,1514,NA,1514,1397,Anabacerthia striaticollis,san_pedro,NA,28,10,2012,2012-10-28,NA,2012-10-28,302,26.5,1,
7,120069,SP12,69,SP120069,Anabacerthia_striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,Furnariidae,1,24.58886525,montane_manu,midhigh,low,1397,1,1,0,1,0,0,0,0,0,0,11,0,0,Anabacerthia_striaticollis,4586,29_6_2012_san_pedro_Anabacerthia striaticollis,NA,Anabacerthia_striaticollis,NA,NA,1387,1397,Anabacerthia striaticollis,san_pedro,NA,29,6,2012,2012-06-29,NA,2012-06-29,181,22.2,NA,
313,120075,TL12,75,TL120075,Anabacerthia_striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,Furnariidae,1,24.58886525,montane_manu,midhigh,low,1397,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1788,31_10_2012_san_pedro_Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,1735,NA,1735,1397,Anabacerthia striaticollis,san_pedro,NA,31,10,2012,2012-10-31,NA,2012-10-31,305,26.14,1,
319,120109,TL12,109,TL120109,Anabacerthia_striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,Furnariidae,1,24.58886525,montane_manu,midhigh,low,1397,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1809,2_11_2012_san_pedro_Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,1735,NA,1735,1397,Anabacerthia striaticollis,san_pedro,NA,2,11,2012,2012-11-02,NA,2012-11-02,307,25.05,1,
271,120861,SP12,861,SP120861,Anabacerthia_striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,Furnariidae,1,24.58886525,montane_manu,midhigh,low,1397,1,1,1,0,0,5,3,0,2,0,0,0,0,NA,1660,29_8_2012_san_pedro_Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,1376,NA,1376,1397,Anabacerthia striaticollis,san_pedro,NA,29,8,2012,2012-08-29,NA,2012-08-29,242,25.3,1,
287,121151,SP12,1151,SP121151,Anabacerthia_striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,Furnariidae,1,24.58886525,montane_manu,midhigh,low,1397,1,1,0,1,0,0,0,0,0,0,3,0,0,Anabacerthia_striaticollis,1816,18_10_2012_san_pedro_Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,1339,NA,1339,1397,Anabacerthia striaticollis,san_pedro,NA,18,10,2012,2012-10-18,NA,2012-10-18,292,27.05,1,
