Full_Label,species_jetz,date,year_seasonality
P120622,Formicarius_analis,2012-06-25,177
P116125,Formicarius_analis,2011-08-16,228
P120778,Formicarius_analis,2012-07-12,194
P120896,Formicarius_analis,2012-08-21,234
P121420,Formicarius_analis,2012-10-26,300
P121421,Formicarius_analis,2012-10-26,300
SP120069,Anabacerthia_striaticollis,2012-06-29,181
W120733,Chamaeza_mollissima,2012-10-16,290
VC120112,Formicarius_analis,2012-09-16,260
W120284,Anisognathus_igniventris,2012-08-27,240
P110033,Thamnomanes_ardesiacus,2011-09-28,271
P110039,Thamnomanes_ardesiacus,2011-09-28,271
P110040,Myrmotherula_axillaris,2011-09-28,271
P110073,Thamnomanes_ardesiacus,2011-10-01,274
P110076,Thamnomanes_ardesiacus,2011-10-01,274
P110082,Myrmotherula_axillaris,2011-10-01,274
W120318,Anisognathus_igniventris,2012-08-27,240
W120319,Anisognathus_igniventris,2012-08-27,240
P110125,Hylophilus_ochraceiceps,2011-10-07,280
P110128,Thamnomanes_schistogynus,2011-10-07,280
P110140,Corythopis_torquatus,2011-10-10,283
P110149,Myrmotherula_axillaris,2011-10-10,283
P110154,Corythopis_torquatus,2011-10-10,283
P110159,Willisornis_poecilinotus,2011-10-11,284
P110171,Sclerurus_caudacutus,2011-10-13,286
W120330,Anisognathus_igniventris,2012-08-27,240
P116041,Arremon_taciturnus,2011-08-14,226
P120779,Arremon_taciturnus,2012-07-13,195
P110216,Corythopis_torquatus,2011-10-15,288
P110238,Willisornis_poecilinotus,2011-10-18,291
P110290,Willisornis_poecilinotus,2011-10-21,294
P110297,Thamnomanes_ardesiacus,2011-10-22,295
P110337,Myrmotherula_axillaris,2011-10-28,301
P110342,Sclerurus_caudacutus,2011-10-28,301
W120305,Arremon_torquatus,2012-08-16,229
P110387,Myrmotherula_axillaris,2011-11-02,306
P110390,Microcerculus_marginatus,2011-11-02,306
P110391,Myrmotherula_axillaris,2011-11-02,306
P115901,Sclerurus_caudacutus,2011-08-09,221
P115908,Myrmotherula_axillaris,2011-08-09,221
P115909,Myrmotherula_axillaris,2011-08-09,221
P115953,Myrmotherula_axillaris,2011-08-10,222
P115954,Myrmotherula_axillaris,2011-08-10,222
P115962,Willisornis_poecilinotus,2011-08-10,222
P115972,Willisornis_poecilinotus,2011-08-10,222
P115976,Lanio_versicolor,2011-08-10,222
P115979,Thamnomanes_schistogynus,2011-08-11,223
P116000,Thamnomanes_schistogynus,2011-08-11,223
W130377,Arremon_torquatus,2013-09-26,269
P116087,Willisornis_poecilinotus,2011-08-15,227
P110167,Monasa_morphoeus,2011-10-11,284
P116337,Monasa_morphoeus,2011-08-29,241
P116338,Monasa_morphoeus,2011-08-29,241
P116435,Lepidothrix_coronata,2011-09-04,247
P120740,Malacoptila_semicincta,2012-07-02,184
W130378,Arremon_torquatus,2013-09-30,273
P120872,Monasa_nigrifrons,2012-08-15,228
P121117,Monasa_nigrifrons,2012-09-19,263
P121372,Malacoptila_semicincta,2012-10-22,296
SP120642,Rupicola_peruvianus,2012-07-23,205
SP120665,Rupicola_peruvianus,2012-07-24,206
SP120678,Rupicola_peruvianus,2012-07-25,207
SP120797,Rupicola_peruvianus,2012-08-14,227
SP120813,Malacoptila_fulvogularis,2012-08-19,232
SP120819,Rupicola_peruvianus,2012-08-20,233
SP120821,Micromonacha_lanceolata,2012-08-20,233
SP120878,Galbula_cyanescens,2012-08-30,243
SP120917,Malacoptila_fulvogularis,2012-09-03,247
P115929,Automolus_melanopezus,2011-08-10,222
SP121176,Malacoptila_fulvogularis,2012-10-22,296
SP121189,Malacoptila_fulvogularis,2012-10-22,296
SP121234,Rupicola_peruvianus,2012-10-25,299
SP121235,Malacoptila_fulvogularis,2012-10-25,299
SP121276,Malacoptila_fulvogularis,2012-11-07,312
SP121319,Rupicola_peruvianus,2012-11-10,315
W120250,Pipreola_intermedia,2012-07-24,206
P120715,Automolus_ochrolaemus,NA,NA
W120481,Pipreola_intermedia,2012-09-06,250
W120617,Pipreola_intermedia,2012-10-04,278
W120650,Pipreola_arcuata,2012-10-09,283
W120662,Pipreola_intermedia,2012-10-11,285
W120683,Pipreola_arcuata,2012-10-15,289
W120693,Pipreola_intermedia,2012-10-15,289
W120701,Pipreola_intermedia,2012-10-15,289
W120717,Pipreola_arcuata,2012-10-16,290
W120722,Pipreola_arcuata,2012-10-16,290
W120737,Pipreola_arcuata,2012-10-16,290
W120816,Pipreola_intermedia,2012-10-20,294
W121017,Pipreola_intermedia,2012-11-20,325
W121018,Pipreola_intermedia,2012-11-20,325
W121045,Pipreola_intermedia,2012-11-21,326
W121150,Pipreola_intermedia,2012-12-01,336
SP13356,Malacoptila_fulvogularis,2013-11-14,318
P130043,Malacoptila_semicincta,2013-08-27,239
P130063,Malacoptila_semicincta,2013-08-28,240
P130357,Malacoptila_semicincta,2013-09-17,260
P130765,Galbula_cyanescens,2013-10-13,286
W130133,Pipreola_intermedia,2013-08-31,243
P120800,Automolus_ochrolaemus,2012-07-21,203
