,sample,species,degree,w_degree,elevation
1,SP120917,Malacoptila_fulvogularis,14,1.402664,1395
2,P116213,Chlorothraupis_carmioli,55,4.792229977,600
3,P130233,Lanio_versicolor,54,6.320564597,398
4,SP110066,Chlorospingus_flavigularis,79,9.554253893,1376
5,P120872,Monasa_nigrifrons,24,2.648558251,415
6,P116048,Deconychura_longicauda,15,3.11350402,415
7,P115940,Akletos_goeldii,6,0.459902462,397
8,P120713,Habia_rubica,19,2.014367205,415
9,W120483,Buthraupis_montana,40,5.755359373,2816
10,SP120859,Myiothlypis_bivittata,29,3.254110719,1337
11,SP110047,Thripadectes_melanorhynchus,44,5.119461852,1387
12,SP120813,Malacoptila_fulvogularis,14,1.402664,1337
13,P116082,Conopophaga_peruviana,2,0.061666667,415
14,P116085,Habia_rubica,19,2.014367205,415
15,W120876,Sporathraupis_cyanocephala,36,4.635851208,2973
16,P115919,Mionectes_olivaceus,28,1.890609853,397
17,TU120066,Chlorornis_riefferii,43,6.149474048,2728
18,W130860,Pipreola_intermedia,16,2.122825863,2833
19,W130861,Pipreola_intermedia,16,2.122825863,2833
20,W130862,Pipreola_intermedia,16,2.122825863,2833
21,W130255,Chlorornis_riefferii,44,6.185077763,2617
22,P120715,Automolus_ochrolaemus,76,6.125611001,415
23,SP110017,Myiothlypis_coronata,36,4.772666239,1383
24,W120645,Arremon_torquatus,10,0.555642463,3013
25,W121045,Pipreola_intermedia,17,2.233936974,2650
26,W130188,Sporathraupis_cyanocephala,40,4.938487718,2542
27,P116116,Myrmoborus_lophotes,7,0.600269274,415
28,SP121210,Myiothlypis_bivittata,27,2.768396433,1418
29,P120933,Myrmotherula_axillaris,87,7.503515061,438
30,W120481,Pipreola_intermedia,17,2.233936974,2816
31,P116038,Thamnomanes_schistogynus,91,6.642970917,415
32,P115937,Syndactyla_ucayalae,18,1.615416808,397
33,W130603,Sporathraupis_cyanocephala,40,4.938487718,2650
34,P120629,Akletos_goeldii,9,0.758936278,438
35,SP120057,Myiothlypis_coronata,36,4.772666239,1387
36,W120750,Chlorornis_riefferii,43,6.149474048,2742
37,SP121270,Premnoplex_brunnescens,5,0.429296484,1307
38,TL120058,Chlorospingus_flavopectus,53,6.073339154,1514
39,P116110,Mionectes_olivaceus,44,3.442331438,415
40,P115942,Thamnophilus_schistaceus,45,4.313409004,397
41,W120436,Anisognathus_igniventris,37,5.270679565,2816
42,W120676,Iridosornis_jelskii,23,2.685575813,2833
43,SP120769,Premnoplex_brunnescens,5,0.429296484,1395
44,SP120934,Chlorospingus_flavigularis,79,9.546871095,1395
45,P116123,Thamnophilus_schistaceus,72,6.338502102,415
46,SP110041,Myiothlypis_coronata,36,4.772666239,1387
47,P110055,Mionectes_macconnelli,8,0.994091568,381
48,P115945,Thamnophilus_schistaceus,45,4.313409004,397
49,SP110073,Premnoplex_brunnescens,5,0.429296484,1376
50,P116155,Hafferia_fortis,9,0.388662668,600
51,TL120047,Premnoplex_brunnescens,5,0.429296484,1514
52,W120455,Iridosornis_jelskii,22,2.531729659,2816
53,P115895,Mionectes_olivaceus,28,1.890609853,397
54,SP110039,Thripadectes_melanorhynchus,44,5.119461852,1387
55,SP120658,Premnoplex_brunnescens,5,0.429296484,1307
56,P116183,Mionectes_olivaceus,47,3.847093343,600
57,P110275,Dendroma_erythroptera,20,2.801011406,422
58,P110333,Lepidothrix_coronata,10,0.853043121,432
59,P116089,Deconychura_longicauda,15,3.11350402,415
60,SP110188,Anabacerthia_striaticollis,67,8.122886626,1337
61,P110137,Tangara_schrankii,83,8.742056951,413
62,P121354,Arremon_taciturnus,18,1.583508787,415
63,SP120767,Leptopogon_superciliaris,77,9.064686966,1395
64,P110278,Ceratopipra_chloromeros,5,0.204069659,422
65,P116051,Lepidothrix_coronata,9,0.603043121,415
66,P121796,Isleria_hauxwelli,12,0.870708919,392
67,TU120065,Chlorornis_riefferii,43,6.149474048,2728
68,P116177,Lepidothrix_coronata,9,0.603043121,600
69,P110312,Mionectes_oleagineus,56,4.294742328,410
70,W120719,Kleinothraupis_atropileus,51,7.176187748,2742
71,P110323,Arremon_taciturnus,18,1.583508787,410
72,W120755,Chlorornis_riefferii,43,6.149474048,2742
73,TL120016,Chlorospingus_flavopectus,53,6.073339154,1514
74,P110034,Ceratopipra_chloromeros,0,0,381
75,SP121308,Tangara_arthus,79,9.647596103,1262
76,SP121269,Premnoplex_brunnescens,5,0.429296484,1307
77,P116254,Automolus_ochrolaemus,72,5.798623237,600
78,P120924,Thamnomanes_schistogynus,94,6.734140634,438
79,P110368,Pipra_fasciicauda,24,2.589821312,414
80,P121593,Myrmotherula_longipennis,76,7.769930977,413
81,SP120069,Anabacerthia_striaticollis,67,8.122886626,1387
82,P110059,Lepidothrix_coronata,3,0.259294872,381
83,SP120636,Premnoplex_brunnescens,5,0.429296484,1307
84,P121064,Tangara_schrankii,83,8.739973618,421
85,W130287,Kleinothraupis_atropileus,51,7.176187748,2743
86,P116210,Chlorothraupis_carmioli,55,4.792229977,600
87,SP121000,Myiothlypis_coronata,36,4.772666239,1395
88,SP121047,Phylloscartes_ophthalmicus,56,6.370476533,1337
89,W130824,Kleinothraupis_atropileus,51,7.176187748,2742
90,SP120670,Trichothraupis_melanops,45,4.739254382,1307
91,P116012,Pipra_fasciicauda,25,2.789821312,415
92,W130376,Pipreola_intermedia,17,2.233936974,2742
93,P110053,Ceratopipra_chloromeros,0,0,381
94,W130080,Kleinothraupis_atropileus,53,7.242244659,2726
95,TL120095,Basileuterus_tristriatus,45,6.394010444,1735
96,P110311,Mionectes_oleagineus,56,4.294742328,410
97,W130286,Kleinothraupis_atropileus,51,7.176187748,2743
98,W130063,Pyrrhomyias_cinnamomeus,61,6.677055621,2726
99,SP120080,Myiothlypis_coronata,36,4.772666239,1387
100,W120468,Iridosornis_jelskii,22,2.531729659,2816
