,family,family_name,total_samples,total_positive,prevalence
1,Bucconidae,Bucconidae,18,5,27.77777778
2,Cardinalidae,Cardinalidae,24,22,91.66666667
3,Columbidae,Columbidae,5,4,80
4,Cotingidae,Cotingidae,43,35,81.39534884
5,Dendrocolaptidae,Dendrocolaptidae,15,11,73.33333333
6,Emberizidae,Emberizidae,36,29,80.55555556
7,Formicariidae,Formicariidae,6,5,83.33333333
8,Furnariidae,Furnariidae,83,71,85.54216867
9,Parulidae,Parulidae,51,44,86.2745098
10,Pipridae,Pipridae,57,51,89.47368421
11,Ramphastidae,Ramphastidae,5,5,100
12,Thamnophilidae,Thamnophilidae,169,120,71.00591716
13,Thraupidae,Thraupidae,147,125,85.03401361
14,Troglodytidae,Troglodytidae,25,23,92
15,Turdidae,Turdidae,6,6,100
16,Tyrannidae,Tyrannidae,124,105,84.67741935
17,Vireonidae,Vireonidae,6,1,16.66666667
