#No,Collection,Sample_group,Sample No. #,Full_Label,comment,Host Genus,Host Species,species_binomial,Host Order,host_family,New Association,Lice Genus,lice_genus_tidy,Lice Species,Female,Male,Nimph,Eggs,Total,BoxLocation1
88,JUM,,V738,V738,,,,,,,???,Philopterus,Philopteridae,,0,0,1,,,L-02
88,JUM,,V738,V738,,,,,,,???,,,,,,,,,
88,JUM,,V738,V738,,,,,,,???,,,,,,,,,
169,JEJ,SP11,22,SP110022,,Anabacerthia,striaticollis,Anabacerthia_striaticollis,Passeriformes,Furnariidae,Yes,Myrsidea,Myrsidea,(ochrolaemi/ waterstoni),1,1,2,,4,L-04
169,JEJ,SP11,22,SP110022,,Anabacerthia,striaticollis,Anabacerthia_striaticollis,Passeriformes,Furnariidae,Yes,,,,,,,,,
169,JEJ,SP11,22,SP110022,,Anabacerthia,striaticollis,Anabacerthia_striaticollis,Passeriformes,Furnariidae,Yes,,,,,,,,,
196,JEJ,SP12,861,SP120861,,Anabacerthia,striaticollis,Anabacerthia_striaticollis,Passeriformes,Furnariidae,Yes,Myrsidea,Myrsidea,(ochrolaemi/ waterstoni),3,0,2,,5,L-05
196,JEJ,SP12,861,SP120861,,Anabacerthia,striaticollis,Anabacerthia_striaticollis,Passeriformes,Furnariidae,Yes,,,,,,,,,
196,JEJ,SP12,861,SP120861,,Anabacerthia,striaticollis,Anabacerthia_striaticollis,Passeriformes,Furnariidae,Yes,,,,,,,,,
335,JEJ,P11,5999,P115999,,Anabazenops,dorsalis,Anabazenops_dorsalis,Passeriformes,Furnariidae,,Philopteridae,Philopteridae,new sp?,1,0,0,,1,
335,JEJ,P11,5999,P115999,,Anabazenops,dorsalis,Anabazenops_dorsalis,Passeriformes,Furnariidae,,,,,,,,,,
335,JEJ,P11,5999,P115999,,Anabazenops,dorsalis,Anabazenops_dorsalis,Passeriformes,Furnariidae,,,,,,,,,,
431,JEJ,P12,616,P120616,,Ancistrops,strigilatus,Ancistrops_strigilatus,Passeriformes,Furnariidae,,Myrsidea,Myrsidea,new sp?,2,1,0,,3,
431,JEJ,P12,616,P120616,,Ancistrops,strigilatus,Ancistrops_strigilatus,Passeriformes,Furnariidae,,,,,,,,,,
431,JEJ,P12,616,P120616,,Ancistrops,strigilatus,Ancistrops_strigilatus,Passeriformes,Furnariidae,,,,,,,,,,
77,JUM,,V695,V695,,Ancistrops,strigilatus,Ancistrops_strigilatus,Passeriformes,Furnariidae,Yes,Myrsidea,Myrsidea,new sp?,0,0,2,,2,L-02
77,JUM,,V695,V695,,Ancistrops,strigilatus,Ancistrops_strigilatus,Passeriformes,Furnariidae,Yes,,,,,,,,,
