#No,Collection,Sample_group,Sample No. #,Full_Label,comment,Host Genus,Host Species,Host Order,Host Family,New Association,Lice Genus,Lice Species,Female,Male,Nimph,Eggs,Total,BoxLocation1,Lice Genus2,Lice Species2,Female2,Male2,Nimph2,Eggs2,Total2,BoxLocation2,Lice Genus3,Lice Species3,Female3,Male3,Nimph3,Eggs3,Total,BoxLocation3,total_lice
1,JUM,,V32,V32,,Pithys,albifrons,Passeriformes,Thamnophilidae,No,Myrsidea,mayermae?,0,0,1,,1,L-01,,,,,,,0,,,,,,,,,,1
2,JUM,,V33,V33,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Myrsidea,dalgleishi?,0,1,0,,1,L-01,,,,,,,0,,,,,,,,,,1
3,JUM,,V64,V64,,Ceratopipra,erythrocephala,Passeriformes,Pipridae,No,Myrsidea,baileyae/edgarsmithi?,1,0,0,,1,L-01,,,,,,,0,,,,,,,,,,1
4,JUM,,V87,V87,,Pithys,albifrons,Passeriformes,Thamnophilidae,No,Myrsidea,mayermae?,1,0,0,,1,L-01,,,,,,,0,,,,,,,,,,1
5,JUM,,V90,V90,,Manacus,manacus,Passeriformes,Pipridae,No,Philopterus,bruneri?,1,0,0,,1,L-01,Ricinus,pessimalis?,0,0,2,,2,L-01,,,,,,,,,3
6,JUM,,V91,V91,,Mionectes,oleagineus,Passeriformes,Tyrannidae,No,Myrsidea,oleaginei?,0,0,2,,2,L-01,,,,,,,0,,,,,,,,,,2
7,JUM,,V110,V110,,Megastictus,margaritatus,Passeriformes,Thamnophilidae,Yes,Myrsidea,new sp?,5,5,4,,14,L-01,,,,,,,0,,,,,,,,,,14
8,JUM,,V120,V120,,Threnetes,leucurus,Passeriformes,Apodiformes,Yes,Myrsidea,new sp.?/or contamination,1,0,0,,1,L-01,,,,,,,0,,,,,,,,,,1
9,JUM,,V135,V135,,Sclerurus,caudacutus,Passeriformes,Furnariidae,Yes,Myrsidea,(scansori/calvi),2,0,0,,2,L-01,,,,,,,0,,,,,,,,,,2
10,JUM,,V163,V163,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,Yes,Philopteridae,new sp.?,0,0,1,,1,L-01,,,,,,,0,,,,,,,,,,1
11,JUM,,V168,V168,,Tachyphonus,surinamus,Passeriformes,Thraupidae,No,Myrsidea,surinami?,0,0,3,,3,L-01,,,,,,,0,,,,,,,,,,3
12,JUM,,V187,V187,,Megastictus,margaritatus,Passeriformes,Thamnophilidae,Yes,Myrsidea,new sp?,3,4,5,,12,L-01,,,,,,,0,,,,,,,,,,12
13,JUM,,V192,V192,,Xiphorhynchus,elegans,Passeriformes,Furnariidae,Yes,Rallicola,(various…),2,1,1,,4,L-01,,,,,,,0,,,,,,,,,,4
14,JUM,,V235,V235,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,0,1,2,,3,L-01,,,,,,,0,,,,,,,,,,3
15,JUM,,V240,V240,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,0,0,1,,1,L-01,,,,,,,0,,,,,,,,,,1
16,JUM,,V245,V245,,Heterocercus,aurantiivertex,Passeriformes,Pipridae,Yes,Myrsidea,(andyolsoni?),1,0,3,,4,L-01,,,,,,,0,,,,,,,,,,4
17,JUM,,V253,V253,,Sclerurus,mexicanus,Passeriformes,Furnariidae,Yes,Myrsidea,(scansori/calvi?),1,0,3,,4,L-01,,,,,,,0,,,,,,,,,,4
18,JUM,,V254,V254,,Formicarius,colma,Passeriformes,Formicariidae,No,Formicaricola,analoides?,0,0,1,,1,L-01,,,,,,,0,,,,,,,,,,1
19,JUM,,V283,V283,,Geotrygon,montana,Passeriformes,Columbidae,No,Columbicola,macrourae?,3,1,11,,15,L-01,,,,,,,0,,,,,,,,,,15
20,JUM,,V285,V285,,Dendrocincla,fuliginosa,Passeriformes,Furnariidae,No,Rallicola,fuliginosa?,2,3,6,,11,L-01,,,,,,,0,,,,,,,,,,11
21,JUM,,V298,V298,,Automolus,ochrolaemus,Passeriformes,Furnariidae,No,Myrsidea,ochrolaemi?,1,0,0,,1,L-01,,,,,,,0,,,,,,,,,,1
22,JUM,,V300,V300,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,Yes,Myrsidea,(milleri?),2,0,1,,3,L-01,,,,,,,0,,,,,,,,,,3
23,JUM,,V304,V304,,Celeus,elegans,Piciformes,Picidae,Yes,Picicola?,new sp?,0,0,1,,1,L-01,,,,,,,0,,,,,,,,,,1
24,JUM,,V384,V384,,Celeus,elegans,Piciformes,Picidae,Yes,Picicola?,new sp?,1,2,0,,3,L-01,,,,,,,0,,,,,,,,,,3
25,JUM,,V398,V398,,Megastictus,margaritatus,Passeriformes,Thamnophilidae,Yes,Myrsidea,new sp?,3,3,6,,12,L-01,,,,,,,0,,,,,,,,,,12
26,JUM,,V400,V400,,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,Yes,Myrsidea,new sp?,2,3,3,,8,L-01,,,,,,,0,,,,,,,,,,8
27,JUM,,V408,V408,,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,Yes,Myrsidea,new sp?,0,1,0,,1,L-01,,,,,,,0,,,,,,,,,,1
28,JUM,,V443,V443,,Pithys,albifrons,Passeriformes,Thamnophilidae,No,Myrsidea,mayermae?,1,0,1,,2,L-01,,,,,,,0,,,,,,,,,,2
