#,Collection,Sample_Group,Sample No. #,Sample Full #,Host genus,Host species,Host Order,Host Family,Box Location,Mite Group,Mite Genus,Mite Species,Total,Mite Group2,Mite Genus2,Mite Species2,Total2,Comment,total_mites,,,,
1,JUM,V,V02,V02,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Mesostigmatid,,,1,,,,,,1,,,,
2,JUM,V,V17,V17,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,unknown,?/Aceria,,2,,,,,,2,,,,
3,JUM,V,V30,V30,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Mesostigmatid,,,1,,,,,,1,,,,
4,JUM,V,V39,V39,Megastictus,margaritatus,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
5,JUM,V,V40,V40,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,,Feather,,,4,,,,,,4,,,,
6,JUM,V,V68,V68,Epinecrophylla,haematonota,Passeriformes,Thamnophilidae,,Oribatida,Oribatida,,1,,,,,,1,,,,
7,JUM,V,V96,V96,Lepidothrix,coronata,Passeriformes,Pipridae,,not found in box,,,1,,,,,,1,,,,
8,JUM,V,V102,V102,Pheugopedius,coraya,Passeriformes,Troglodytidae,,Mesostigmatid,,,1,,,,,,1,,,,
9,JUM,V,V108,V108,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,1,,,,,,1,,,,
10,JUM,Delete?,V138,V138,Dendrocincla,merula,Passeriformes,"Furnariidae
",,Feather,,,1,Mesostigmatid,,,1,,2,,,,
11,JUM,V,V157,V157,Xenops,minutus,Passeriformes,Furnariidae,,Feather,,,1,,,,,,1,,,,
12,JUM,V,V163,V163,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
13,JUM,V,V168,V168,Tachyphonus,surinamus,Passeriformes,"Thraupidae
",,Feather,,,1,,,,,,1,,,,
14,JUM,V,V173,V173,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,1,,,,,,1,,,,
15,JUM,V,V182,V182,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
16,JUM,V,V187,V187,Megastictus,margaritatus,Passeriformes,Thamnophilidae,,Feather,,,7,,,,,,7,,,,
17,JUM,V,V184,V184,Dendrocincla,fuliginosa,Passeriformes,"Furnariidae
",,unknown,,,1,,,,,,1,,,,
18,JUM,V,V196,V196,Attila,citriniventris,Passeriformes,"Tyrannidae
",,Mesostigmatid,,,2,Feather,,,1,,3,,,,
19,JUM,V,V209,V209,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
20,JUM,V,V216,V216,Onychorhynchus,coronatus,Passeriformes,Tityridae,,Feather,,,1,,,,,,1,,,,
21,JUM,V,V223,V223,Formicarius,colma,Passeriformes,"Formicariidae
",,Mesostigmatid,,,14,,,,,,14,,,,
22,JUM,V,V220,V220,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,1,,,,,,1,,,,
23,JUM,V,V235,V235,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,50,Mesostigmatid,,,1,,51,,,,
24,JUM,V,V240,V240,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,3,Unknown,,,1,,4,,,,
25,JUM,V,V253,V253,Sclerurus,mexicanus,Passeriformes,"Furnariidae
",,Feather,,,2,,,,,,2,,,,
26,JUM,V,V254,V254,Formicarius,colma,Passeriformes,"Formicariidae
",,Feather,,,2,Mesostigmatid,,,1,,3,,,,
27,JUM,V,V257,V257,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,1,,,,,,1,,,,
28,JUM,V,V261,V261,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,2,Mesostigmatid,,,1,,3,,,,
29,JUM,V,V268,V268,Megastictus,margaritatus,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
30,JUM,V,V269,V269,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Mesostigmatid,,,2,,,,,,2,,,,
31,JUM,V,V282,V282,Ceratopipra,erythrocephala,Passeriformes,Pipridae,,Feather,,,10,Mesostigmatid,,,9,,19,,,,
32,JUM,V,V283,V283,Geotrygon,montana,Columbiformes,"Columbidae
",,Meso,,,2,,,,,,2,,,,
33,JUM,V,V285,V285,Dendrocincla,fuliginosa,Passeriformes,"Furnariidae
",,Feather,,,3,,,,,,3,,,,
34,JUM,V,V293,V293,Hypocnemis,hypoxantha,Passeriformes,Thamnophilidae,,Feather,,,8,,,,,,8,,,,
35,JUM,V,V296,V296,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,7,,,,,,7,,,,
36,JUM,V,V297,V297,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,3,,,,,,3,,,,
37,JUM,V,V298,V298,Automolus,ochrolaemus,Passeriformes,Furnariidae,,Feather,,,1,,,,,,1,,,,
38,JUM,V,V299,V299,Xiphorhynchus,elegans,Passeriformes,Furnariidae,,Feather,,,3,Unknown,,,2,,5,,,,
39,JUM,V,V300,V300,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
40,JUM,V,V301,V301,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,1,,,,,,1,,,,
41,JUM,V,V304,V304,Celeus,elegans,Piciformes,Picidae,,Mesostigmatid,,,1,,,,,,1,,,,
42,JUM,V,V314,V314,Formicarius,colma,Passeriformes,"Formicariidae
",,Feather,,,1,,,,,,1,,,,
43,JUM,V,V319,V319,Notarchus,ordii,,,,Feather,,,2,,,,,,2,,,,
44,JUM,V,V327,V327,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,,Feather,,,1,Mesostigmatid?,,,3,,4,,,,
45,JUM,V,V383,V383,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Mesostigmatid,,,2,,,,,,2,,,,
46,JUM,V,V384,V384,Celeus,elegans,Piciformes,Picidae,,Mesostigmatid,,,7,,,,,,7,,,,
47,JUM,V,V385,V385,Formicarius,colma,Passeriformes,"Formicariidae
",,Feather,,,1,,,,,,1,,,,
48,JUM,V,V386,V386,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Mesostigmatid,,,2,,,,,,2,,,,
49,JUM,V,V393,V393,Megastictus,margaritatus,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
50,JUM,V,V396,V396,Megastictus,margaritatus,Passeriformes,Thamnophilidae,,Feather,,,2,,,,,,2,,,,
51,JUM,V,V399,V399,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Feather,,,2,,,,,,2,,,,
52,JUM,V,V400,V400,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
53,JUM,V,V401,V401,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Feather,,,4,,,,,,4,,,,
54,JUM,V,V405,V405,Megastictus,margaritatus,Passeriformes,Thamnophilidae,,Feather,,,5,,,,,,5,,,,
55,JUM,V,V406,V406,Megastictus,margaritatus,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
56,JUM,V,V409,V409,Megastictus,margaritatus,Passeriformes,Thamnophilidae,,Trombiculid,,,2,Oribatida?,Oribatida,,1,,3,,,,
57,JUM,V,V410,V410,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather?,,,1,,,,,,1,,,,
58,JUM,V,V412,V412,Lepidothrix,coronata,Passeriformes,Pipridae,,Feather,,,2,,,,,,2,,,,
59,JUM,V,V413,V413,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,1,Mesostigmatid,,,2,,3,,,,
60,JUM,V,V414,V414,Phlegopsis,erythroptera,Passeriformes,Thamnophilidae,,Feather,,,1,Unknown,,,1,,2,,,,
61,JUM,V,V415,V415,Phlegopsis,erythroptera,Passeriformes,Thamnophilidae,,Feather,,,1,Unknown,,,1,,2,,,,
62,JUM,V,V416,V416,Phlegopsis,erythroptera,Passeriformes,Thamnophilidae,,Feather,,,2,,,,,,2,,,,
63,JUM,V,V419,V419,Megastictus,margaritatus,Passeriformes,Thamnophilidae,,Feather,,,1,Trombiculid,,,1,,2,,,,
64,JUM,V,V422,V422,Hypocnemis,hypoxantha,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
65,JUM,V,V443,V443,Pithys,albifrons,Passeriformes,Thamnophilidae,,Feather,,,8,,,,,,8,,,,
