"","species_jetz"
"1","Aglaiocercus kingi"
"2","Heliodoxa rubinoides"
"3","Adelomyia melanogenys"
"4","Carduelis magellanica"
"5","Coeligena coeligena"
"6","Henicorhina leucophrys"
"7","Basileuterus tristriatus"
"8","Schistes geoffroyi"
"9","Basileuterus coronatus"
"10","Mionectes striaticollis"
"11","Chaetocercus mulsant"
"12","Atlapetes melanolaemus"
"13","Thlypopsis ruficeps"
"14","Synallaxis azarae"
"15","Elaenia pallatangae"
"16","Turdus chiguanco"
"17","Haplophaedia assimilis"
"18","Premnornis guttuligera"
"19","Pseudotriccus simplex"
"20","Xiphorhynchus triangularis"
"21","Mecocerculus leucophrys"
"22","Tangara xanthocephala"
"23","Colibri thalassinus"
"24","Pyrrhomyias cinnamomeus"
"25","Lepidothrix coeruleocapilla"
"26","Chrysuronia oenone"
"27","Phlogophilus harterti"
"28","Tangara arthus"
"29","Myadestes ralloides"
"30","Eutoxeres condamini"
"31","Phaethornis guy"
"32","Ocreatus underwoodii"
"33","Thripadectes melanorhynchus"
"34","Chlorochrysa calliparaea"
"35","Heliodoxa schreibersii"
"36","Euphonia xanthogaster"
"37","Threnetes leucurus"
"38","Conopophaga ardesiaca"
"39","Chiroxiphia boliviana"
"40","Heliodoxa leadbeateri"
"41","Mionectes olivaceus"
"42","Phaethornis koepckeae"
"43","Chlorospingus canigularis"
"44","Dendrocincla fuliginosa"
"45","Philydor rufum"
"46","Doryfera ludovicae"
"47","Myiobius villosus"
"48","Myioborus miniatus"
"49","Myiophobus inornatus"
"50","Chlorophanes spiza"
"51","Anabacerthia striaticollis"
"52","Premnoplex brunnescens"
"53","Myiotriccus ornatus"
"54","Geotrygon montana"
"55","Chlorospingus flavigularis"
"56","Thalurania furcata"
"57","Basileuterus bivittatus"
"58","Automolus ochrolaemus"
"59","Dendrocolaptes picumnus"
"60","Microcerculus marginatus"
"61","Epinecrophylla spodionota"
"62","Myrmotherula schisticolor"
"63","Malacoptila fulvogularis"
"64","Turdus ignobilis"
"65","Iridosornis analis"
"66","Thryothorus genibarbis"
"67","Leptopogon superciliaris"
"68","Lophotriccus pileatus"
