"","species_clean","detections_flocks","NO.","Collection","Sample.label","Sample.No...","Full_Label","Powder.lvl","species_binomial","Order","Family","Lice","Mites","Ticks","Other","Host.Family","Order2","Date.of.collection","Country","Province","Locality","Altitude","mass_tidy","bill_tidy","wing_tidy","tail_tidy","wing_index_tidy","tarsus_tidy","sociality","ForStrat_ground","ForStrat_understory","ForStrat_midhigh","ForStrat_canopy","species_jetz","WJSpecID","TipLabel","PatchClade","Hackett_FineClades","Hackett_CoarseClades","English","FileName","Taxo","BLFamilyLatin","BLFamilyEnglish","FamSequID","IOCOrder","PassNonPass","OscSubOsc","foraging_cat","elevation_cat","sample"
"1","Thamnomanes schistogynus",64,481,"JEJ","","P110128","P110128","low","Thamnomanes_schistogynus","Passeriformes","Thamnophilidae",0,1,0,"Yes",NA,NA,NA,NA,NA,NA,NA,17.905,10.43661765,69.76623377,62,13.2,17.6,1,0,20,80,0,"Thamnomanes schistogynus",6462,"Thamnomanes_schistogynus","Thamnophilidae","Antbirds","Antbirds","Bluish-slate Antshrike","bow06462","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","110128"
"2","Thamnomanes schistogynus",64,538,"JEJ","","P115979","P115979","med","Thamnomanes_schistogynus","Passeriformes","Thamnophilidae",0,1,0,"No",NA,NA,NA,NA,NA,NA,NA,17.905,10.43661765,69.76623377,62,13.2,17.6,1,0,20,80,0,"Thamnomanes schistogynus",6462,"Thamnomanes_schistogynus","Thamnophilidae","Antbirds","Antbirds","Bluish-slate Antshrike","bow06462","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","115979"
"3","Thamnomanes schistogynus",64,550,"JEJ","","P116000","P116000","low","Thamnomanes_schistogynus","Passeriformes","Thamnophilidae",0,1,0,"No",NA,NA,NA,NA,NA,NA,NA,17.905,10.43661765,69.76623377,62,13.2,17.6,1,0,20,80,0,"Thamnomanes schistogynus",6462,"Thamnomanes_schistogynus","Thamnophilidae","Antbirds","Antbirds","Bluish-slate Antshrike","bow06462","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","116000"
"4","Thamnomanes schistogynus",64,631,"JEJ","P11","6038","P116038","med","Thamnomanes_schistogynus","Passeriformes","Thamnophilidae",0,1,0,"No",NA,NA,NA,NA,NA,NA,NA,17.905,10.43661765,69.76623377,62,13.2,17.6,1,0,20,80,0,"Thamnomanes schistogynus",6462,"Thamnomanes_schistogynus","Thamnophilidae","Antbirds","Antbirds","Bluish-slate Antshrike","bow06462","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","116038"
"5","Thamnomanes schistogynus",64,664,"JEJ","P11","6360","P116360","med","Thamnomanes_schistogynus","Passeriformes","Thamnophilidae",0,1,0,"No",NA,NA,NA,NA,NA,NA,NA,17.905,10.43661765,69.76623377,62,13.2,17.6,1,0,20,80,0,"Thamnomanes schistogynus",6462,"Thamnomanes_schistogynus","Thamnophilidae","Antbirds","Antbirds","Bluish-slate Antshrike","bow06462","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","116360"
"6","Thamnomanes schistogynus",64,666,"JEJ","P11","6378","P116378","low","Thamnomanes_schistogynus","Passeriformes","Thamnophilidae",0,0,0,"No",NA,NA,NA,NA,NA,NA,NA,17.905,10.43661765,69.76623377,62,13.2,17.6,1,0,20,80,0,"Thamnomanes schistogynus",6462,"Thamnomanes_schistogynus","Thamnophilidae","Antbirds","Antbirds","Bluish-slate Antshrike","bow06462","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","116378"
"7","Thamnomanes schistogynus",64,672,"JEJ","P11","6467","P116467","low","Thamnomanes_schistogynus","Passeriformes","Thamnophilidae",0,1,0,"No",NA,NA,NA,NA,NA,NA,NA,17.905,10.43661765,69.76623377,62,13.2,17.6,1,0,20,80,0,"Thamnomanes schistogynus",6462,"Thamnomanes_schistogynus","Thamnophilidae","Antbirds","Antbirds","Bluish-slate Antshrike","bow06462","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","116467"
"8","Thamnomanes schistogynus",64,719,"JEJ","P12","916","P120916","low","Thamnomanes_schistogynus","Passeriformes","Thamnophilidae",0,1,0,"No",NA,NA,NA,NA,NA,NA,NA,17.905,10.43661765,69.76623377,62,13.2,17.6,1,0,20,80,0,"Thamnomanes schistogynus",6462,"Thamnomanes_schistogynus","Thamnophilidae","Antbirds","Antbirds","Bluish-slate Antshrike","bow06462","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","120916"
"9","Thamnomanes schistogynus",64,720,"JEJ","P12","921","P120921","low","Thamnomanes_schistogynus","Passeriformes","Thamnophilidae",0,1,0,"No",NA,NA,NA,NA,NA,NA,NA,17.905,10.43661765,69.76623377,62,13.2,17.6,1,0,20,80,0,"Thamnomanes schistogynus",6462,"Thamnomanes_schistogynus","Thamnophilidae","Antbirds","Antbirds","Bluish-slate Antshrike","bow06462","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","120921"
"10","Thamnomanes schistogynus",64,721,"JEJ","P12","923","P120923","low","Thamnomanes_schistogynus","Passeriformes","Thamnophilidae",0,1,0,"No",NA,NA,NA,NA,NA,NA,NA,17.905,10.43661765,69.76623377,62,13.2,17.6,1,0,20,80,0,"Thamnomanes schistogynus",6462,"Thamnomanes_schistogynus","Thamnophilidae","Antbirds","Antbirds","Bluish-slate Antshrike","bow06462","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","120923"
