Jetz_name,midpoint
Ailuroedus_buccoides,570
Amalocichla_incerta,1890
Amblyornis_macgregoriae,1905
Chaetorhynchus_papuensis,1270
Colluricincla_megarhyncha,1010
Crateroscelis_murina,1025
Crateroscelis_nigrorufa,1780
Crateroscelis_robusta,2160
Gallicolumba_beccarii,1335
Heteromyias_albispecularis,2040
Ifrita_kowaldi,2105
Melanocharis_longicauda,1575
Melanocharis_nigra,660
Melanocharis_versteri,2222.5
Melilestes_megarhynchus,1010
Meliphaga_montana,1055
Microeca_papuana,2105
Monarcha_axillaris,1515
Monarcha_guttula,570
Monarcha_manadensis,420
Toxorhamphus_iliolophus,1010
Pachycephala_hyperythra,875
Aleadryas_rufinucha,2040
Pachycephala_schlegelii,2362.5
Pachycephala_soror,1495
Pachycephalopsis_poliosoma,1270
Peneothello_bimaculata,650
Peneothello_cyanus,1965
Peneothello_sigillatus,2822.5
Pitohui_dichrous,1025
Pitohui_kirhocephalus,490
Pitohui_nigrescens,2105
Ptiloprora_guisei,2040
Ptilorrhoa_caerulescens,420
Ptilorrhoa_castanonota,1055
Ptilorrhoa_leucosticta,1965
Rhagologus_leucostigma,1755
Rhipidura_albolimbata,2160
Rhipidura_atra,1515
Rhipidura_hyperythra,850
Rhipidura_threnothorax,490
Sericornis_arfakianus,1375
Sericornis_nouhuysi,2040
Sericornis_papuensis,2417.5
Sericornis_perspicillatus,2230
Sericornis_spilodera,650
Timeliopsis_fulvigula,1895
Toxorhamphus_novaeguineae,570
Toxorhamphus_poliopterus,1515
Tregellasia_leucops,1130
Xanthotis_flaviventer,570
