species_jetz,sociality,Powder.lvl,elevation,total_parasites
Formicarius_analis,0,med,430,0
Formicarius_analis,0,low,430,18
Formicarius_analis,0,very low,430,0
Formicarius_analis,0,low,430,3
Formicarius_analis,0,very low,430,7
Formicarius_analis,0,low,430,2
Anabacerthia_striaticollis,1,low,1397,11
Chamaeza_mollissima,0,med,2585,3
Formicarius_analis,0,low,430,0
Anisognathus_igniventris,1,low,2932,0
Thamnomanes_ardesiacus,1,low,421,0
Thamnomanes_ardesiacus,1,low,421,0
Myrmotherula_axillaris,1,low,415,0
Thamnomanes_ardesiacus,1,med,421,4
Thamnomanes_ardesiacus,1,low,421,0
Myrmotherula_axillaris,1,low,415,0
Anisognathus_igniventris,1,low,2932,9
Anisognathus_igniventris,1,low,2932,1
Hylophilus_ochraceiceps,1,very low,892,0
Thamnomanes_schistogynus,1,low,430,33
Corythopis_torquatus,0,low,419,3
Myrmotherula_axillaris,1,low,415,0
Corythopis_torquatus,0,low,419,0
Willisornis_poecilinotus,0,low,419,2
Sclerurus_caudacutus,0,low,413,3
Anisognathus_igniventris,1,med,2932,0
Arremon_taciturnus,1,low,429,7
Arremon_taciturnus,1,low,429,3
Corythopis_torquatus,0,med,419,2
Willisornis_poecilinotus,0,low,419,1
Willisornis_poecilinotus,0,low,419,1
Thamnomanes_ardesiacus,1,low,421,13
Myrmotherula_axillaris,1,low,415,0
Sclerurus_caudacutus,0,low,413,6
Arremon_torquatus,1,high,2742,5
Myrmotherula_axillaris,1,low,415,0
Microcerculus_marginatus,0,low,754,12
Myrmotherula_axillaris,1,low,415,0
Sclerurus_caudacutus,0,low,413,548
Myrmotherula_axillaris,1,low,415,5
Myrmotherula_axillaris,1,med,415,1
Myrmotherula_axillaris,1,low,415,24
Myrmotherula_axillaris,1,med,415,5
Willisornis_poecilinotus,0,med,419,10
Willisornis_poecilinotus,0,low,419,0
Lanio_versicolor,1,low,438,40
Thamnomanes_schistogynus,1,med,430,14
Thamnomanes_schistogynus,1,low,430,37
Arremon_torquatus,1,med,2742,85
Willisornis_poecilinotus,0,low,419,6
Monasa_morphoeus,1,low,417,0
Monasa_morphoeus,1,med,417,0
Monasa_morphoeus,1,low,417,0
Lepidothrix_coronata,1,med,417.5,0
Malacoptila_semicincta,0,very low,494.5,0
Arremon_torquatus,1,med,2742,32
Monasa_nigrifrons,1,low,409,0
Monasa_nigrifrons,1,low,409,0
Malacoptila_semicincta,0,low,494.5,0
Rupicola_peruvianus,0,low,1362,9
Rupicola_peruvianus,0,low,1362,6
Rupicola_peruvianus,0,low,1362,8
Rupicola_peruvianus,0,low,1362,11
Malacoptila_fulvogularis,1,low,1395,0
Rupicola_peruvianus,0,low,1362,13
Micromonacha_lanceolata,0,low,1113.5,0
Galbula_cyanescens,1,low,486.5,0
Malacoptila_fulvogularis,1,low,1395,1
Automolus_melanopezus,1,high,413,151
Malacoptila_fulvogularis,1,low,1395,1
Malacoptila_fulvogularis,1,low,1395,5
Rupicola_peruvianus,0,med,1362,0
Malacoptila_fulvogularis,1,low,1395,0
Malacoptila_fulvogularis,1,low,1395,22
Basileuterus_bivittatus,1,low,1217,2
Chlorothraupis_carmioli,1,med,600,75
Myiobius_barbatus,1,low,424,4
Glyphorynchus_spirurus,1,low,421,10
Lanio_versicolor,1,low,438,30
Thamnomanes_ardesiacus,1,low,421,12
Willisornis_poecilinotus,0,low,419,16
Myrmotherula_axillaris,1,low,415,72
Corythopis_torquatus,0,low,419,148
Schiffornis_turdina,0,low,876,10
Willisornis_poecilinotus,0,low,419,0
Willisornis_poecilinotus,0,low,419,8
Willisornis_poecilinotus,0,med,419,0
Schiffornis_turdina,0,med,876,0
Schiffornis_turdina,0,low,876,0
Schiffornis_turdina,0,low,876,0
Schiffornis_turdina,0,low,876,0
Platyrinchus_platyrhynchos,0,low,421.5,0
Basileuterus_bivittatus,1,low,1217,21
Hylophilus_ochraceiceps,1,low,892,0
Basileuterus_bivittatus,1,low,1217,20
Hylophilus_ochraceiceps,1,low,892,0
Corythopis_torquatus,0,med,419,0
Glyphorynchus_spirurus,1,low,421,0
Hylophylax_naevius,0,low,850,2
Microcerculus_marginatus,0,low,754,1
Thamnomanes_schistogynus,1,low,430,2
Basileuterus_bivittatus,1,med,1217,43
Chlorospingus_flavigularis,1,low,1362,0
Tangara_arthus,1,med,1308.5,0
Tangara_arthus,1,med,1308.5,7
Chlorospingus_flavigularis,1,low,1362,1
Leptopogon_superciliaris,1,low,1387,0
Premnoplex_brunnescens,1,low,1366,0
Chlorospingus_flavigularis,1,low,1362,1
Chlorospingus_flavigularis,1,low,1362,5
Premnoplex_brunnescens,1,low,1366,22
Premnoplex_brunnescens,1,low,1366,55
