"","BLFamilyLatin","n()"
"1","Bucconidae",18
"2","Cardinalidae",26
"3","Columbidae",5
"4","Conopophagidae",1
"5","Cotingidae",47
"6","Dendrocolaptidae",17
"7","Emberizidae",40
"8","Formicariidae",9
"9","Furnariidae",85
"10","Galbulidae",2
"11","Icteridae",1
"12","Momotidae",2
"13","Parulidae",51
"14","Pipridae",145
"15","Ramphastidae",5
"16","Thamnophilidae",201
"17","Thraupidae",162
"18","Trochilidae",4
"19","Troglodytidae",26
"20","Trogonidae",1
"21","Turdidae",6
"22","Tyrannidae",138
"23","Vireonidae",6
