"","species_taxonomy_SACC_2021","species_jetz","family","sample_size"
"1","Malacoptila_fulvogularis","Malacoptila_fulvogularis","Bucconidae",7
"2","Malacoptila_semicincta","Malacoptila_semicincta","Bucconidae",4
"3","Micromonacha_lanceolata","Micromonacha_lanceolata","Bucconidae",1
"4","Monasa_morphoeus","Monasa_morphoeus","Bucconidae",3
"5","Monasa_nigrifrons","Monasa_nigrifrons","Bucconidae",3
"6","Chlorothraupis_carmioli","Chlorothraupis_carmioli","Cardinalidae",6
"7","Cyanoloxia_cyanoides","Cyanocompsa_cyanoides","Cardinalidae",6
"8","Habia_rubica","Habia_rubica","Cardinalidae",10
"9","Saltator_maximus","Saltator_maximus","Cardinalidae",1
"10","Turdus_albicollis","Habia_rubica","Cardinalidae",1
"11","Geotrygon_montana","Geotrygon_montana","Columbidae",5
"12","Conopophaga_peruviana","Conopophaga_peruviana","Conopophagidae",1
"13","Laniocera_hypopyrra","Laniocera_hypopyrra","Cotingidae",3
"14","Pipreola_arcuata","Pipreola_arcuata","Cotingidae",8
"15","Pipreola_intermedia","Pipreola_intermedia","Cotingidae",16
"16","Rupicola_peruvianus","Rupicola_peruvianus","Cotingidae",7
"17","Schiffornis_turdina","Schiffornis_turdina","Cotingidae",9
"18","Deconychura_longicauda","Deconychura_longicauda","Dendrocolaptidae",5
"19","Glyphorynchus_spirurus","Glyphorynchus_spirurus","Dendrocolaptidae",8
"20","Xiphorhynchus_elegans","Xiphorhynchus_elegans","Dendrocolaptidae",1
"21","Xiphorhynchus_triangularis","Xiphorhynchus_triangularis","Dendrocolaptidae",1
"22","Ammodramus_aurifrons","Ammodramus_aurifrons","Emberizidae",2
"23","Arremon_taciturnus","Arremon_taciturnus","Emberizidae",15
"24","Arremon_torquatus","Arremon_torquatus","Emberizidae",10
"25","Atlapetes_melanolaemus","Arremon_torquatus","Emberizidae",1
"26","Haplospiza_rustica","Haplospiza_rustica","Emberizidae",5
"27","Sporophila_nigricollis","Sporophila_nigricollis","Emberizidae",3
"28","Chamaeza_mollissima","Chamaeza_mollissima","Formicariidae",1
"29","Formicarius_analis","Formicarius_analis","Formicariidae",5
"30","Anabacerthia_striaticollis","Anabacerthia_striaticollis","Furnariidae",8
"31","Anabazenops_dorsalis","Anabazenops_dorsalis","Furnariidae",1
"32","Ancistrops_strigilatus","Ancistrops_strigilatus","Furnariidae",2
"33","Automolus_infuscatus","Automolus_infuscatus","Furnariidae",1
"34","Automolus_melanopezus","Automolus_melanopezus","Furnariidae",1
"35","Automolus_ochrolaemus","Automolus_ochrolaemus","Furnariidae",9
